INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST
DTXSID7052317,DSSTox_Substance_Id,DTXSID7052317,4-(Isopropyl)cyclohexyl propionate,63449-95-6,-,-,-,-,-,-,-,-
DTXSID7047190,DSSTox_Substance_Id,DTXSID7047190,gamma-Dodecalactone,2305-05-7,-,-,-,-,-,-,-,-
DTXSID1027974,DSSTox_Substance_Id,DTXSID1027974,4-tert-Butylcyclohexyl acetate,32210-23-4,-,-,-,-,-,-,-,-
DTXSID8044832,DSSTox_Substance_Id,DTXSID8044832,"1,1-Dimethoxy-3,7-dimethylocta-2,6-diene",7549-37-3,-,-,-,-,-,-,-,-
DTXSID3024447,DSSTox_Substance_Id,DTXSID3024447,Allyl nonanoate,7493-72-3,-,-,-,-,-,-,-,-
DTXSID3027293,DSSTox_Substance_Id,DTXSID3027293,2-Ethylhexyl 2-methyl-2-propenoate,688-84-6,-,-,-,-,-,-,-,-
DTXSID4047125,DSSTox_Substance_Id,DTXSID4047125,9-Decenyl acetate,50816-18-7,-,-,-,-,-,-,-,-
DTXSID7047560,DSSTox_Substance_Id,DTXSID7047560,(3Z)-Hex-3-en-1-yl hexanoate,31501-11-8,-,-,-,-,-,-,-,-
DTXSID8044832,DSSTox_Substance_Id,DTXSID8044832,"1,1-Dimethoxy-3,7-dimethylocta-2,6-diene",7549-37-3,-,-,-,-,-,-,-,-
DTXSID7052317,DSSTox_Substance_Id,DTXSID7052317,4-(Isopropyl)cyclohexyl propionate,63449-95-6,-,-,-,-,-,-,-,-
DTXSID7047560,DSSTox_Substance_Id,DTXSID7047560,(3Z)-Hex-3-en-1-yl hexanoate,31501-11-8,-,-,-,-,-,-,-,-
DTXSID4047125,DSSTox_Substance_Id,DTXSID4047125,9-Decenyl acetate,50816-18-7,-,-,-,-,-,-,-,-
DTXSID5046566,DSSTox_Substance_Id,DTXSID5046566,Methyl 10-undecenoate,111-81-9,-,-,-,-,-,-,-,-
DTXSID1027974,DSSTox_Substance_Id,DTXSID1027974,4-tert-Butylcyclohexyl acetate,32210-23-4,-,-,-,-,-,-,-,-
DTXSID7047190,DSSTox_Substance_Id,DTXSID7047190,gamma-Dodecalactone,2305-05-7,-,-,-,-,-,-,-,-
DTXSID3024447,DSSTox_Substance_Id,DTXSID3024447,Allyl nonanoate,7493-72-3,-,-,-,-,-,-,-,-
DTXSID3027293,DSSTox_Substance_Id,DTXSID3027293,2-Ethylhexyl 2-methyl-2-propenoate,688-84-6,-,-,-,-,-,-,-,-
DTXSID6042446,DSSTox_Substance_Id,DTXSID6042446,Dihydroterpineol acetate,58985-18-5,-,-,-,-,-,-,-,-
DTXSID2047567,DSSTox_Substance_Id,DTXSID2047567,2-Phenylethyl 2-methylbutanoate,24817-51-4,-,-,-,-,-,-,-,-
DTXSID9025403,DSSTox_Substance_Id,DTXSID9025403,Hexyl benzoate,6789-88-4,-,-,-,-,-,-,-,-
DTXSID1024702,DSSTox_Substance_Id,DTXSID1024702,tert-Butyl phenyl glycidyl ether,3101-60-8,-,-,-,-,-,-,-,-
DTXSID9052345,DSSTox_Substance_Id,DTXSID9052345,1-Methyl-4-(4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,66327-54-6,-,-,-,-,-,-,-,-
DTXSID5026889,DSSTox_Substance_Id,DTXSID5026889,Methyl dodecanoate,111-82-0,Y,-,-,-,-,-,-,-
DTXSID5033836,DSSTox_Substance_Id,DTXSID5033836,4-Nonylphenol,104-40-5,-,-,-,-,-,-,-,-
DTXSID1041502,DSSTox_Substance_Id,DTXSID1041502,"3-Methyl-4,6-di-tert-butylphenol",497-39-2,-,-,-,-,-,-,-,-
DTXSID2020216,DSSTox_Substance_Id,DTXSID2020216,Butylated hydroxytoluene,128-37-0,Y,-,-,-,-,-,-,-
DTXSID4038924,DSSTox_Substance_Id,DTXSID4038924,Hexyl salicylate,6259-76-3,-,-,-,-,-,-,-,-
DTXSID1044514,DSSTox_Substance_Id,DTXSID1044514,Hexylparaben,1083-27-8,-,-,-,-,-,-,-,-
DTXSID6047490,DSSTox_Substance_Id,DTXSID6047490,Linalyl isobutyrate,78-35-3,-,-,-,-,-,-,-,-
DTXSID1047152,DSSTox_Substance_Id,DTXSID1047152,Geranyl butyrate,106-29-6,-,-,-,-,-,-,-,-
DTXSID6040371,DSSTox_Substance_Id,DTXSID6040371,Fenaminosulf,140-56-7,-,-,-,-,-,-,-,-
DTXSID0052469,DSSTox_Substance_Id,DTXSID0052469,"Diethyl 1,4-cyclohexanedicarboxylate",72903-27-6,-,-,-,-,-,-,-,-
DTXSID9065734,DSSTox_Substance_Id,DTXSID9065734,Diisobutyl maleate,14234-82-3,-,-,-,-,-,-,-,-
DTXSID3026724,DSSTox_Substance_Id,DTXSID3026724,Dibutyl maleate,105-76-0,-,-,-,-,-,-,-,-
DTXSID9044825-BTMR0196,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID1020221-BTMR0197,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID3047425-BTMR0197,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID7022332-BTMR0197,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID30241000,DSSTox_Substance_Id,DTXSID30241000,"1,1-Dimethyl-2-phenylethyl 3-methyl-2-butenoate",94201-15-7,-,-,-,-,-,-,-,-
DTXSID5027019,DSSTox_Substance_Id,DTXSID5027019,Methyl tetradecanoate,124-10-7,Y,-,-,-,-,-,-,-
DTXSID3041904,DSSTox_Substance_Id,DTXSID3041904,Isopropyl Laurate,10233-13-3,-,-,-,-,-,-,-,-
DTXSID1052248,DSSTox_Substance_Id,DTXSID1052248,(Ethoxymethoxy)cyclododecane,58567-11-6,-,-,-,-,-,-,-,-
DTXSID2021652,DSSTox_Substance_Id,DTXSID2021652,Pentadecanoic acid,1002-84-2,-,-,-,-,-,-,-,-
DTXSID3052432,DSSTox_Substance_Id,DTXSID3052432,"2,4,6,8-Tetramethylnonyl acetate",68922-14-5,-,-,-,-,-,-,-,-
DTXSID5031133,DSSTox_Substance_Id,DTXSID5031133,Di-n-propylphthalate,131-16-8,Y,-,-,-,-,-,-,-
DTXSID2040731,DSSTox_Substance_Id,DTXSID2040731,Diisopropyl phthalate,605-45-8,Y,-,-,-,-,-,-,-
DTXSID7025217,DSSTox_Substance_Id,DTXSID7025217,(2-Dodecenyl)succinic anhydride,19780-11-1,-,-,-,-,-,-,-,-
DTXSID6035784,DSSTox_Substance_Id,DTXSID6035784,(7S)-Hydroprene,65733-18-8,-,-,-,-,-,-,-,-
DTXSID4029149,DSSTox_Substance_Id,DTXSID4029149,Methyl hexadecanoate,112-39-0,Y,-,-,-,-,-,-,-
DTXSID5021596,DSSTox_Substance_Id,DTXSID5021596,Heptadecanoic acid,506-12-7,-,-,-,-,-,-,-,-
DTXSID0026838,DSSTox_Substance_Id,DTXSID0026838,Isopropyl tetradecanoate,110-27-0,-,-,-,-,-,-,Y,-
DTXSID9046239,DSSTox_Substance_Id,DTXSID9046239,Metazide,1707-15-9,-,-,-,-,-,-,-,-
DTXSID4020379,DSSTox_Substance_Id,DTXSID4020379,Dehydroepiandrosterone,53-43-0,Y,-,-,-,Y,-,Y,-
DTXSID8022329,DSSTox_Substance_Id,DTXSID8022329,Epitestosterone,481-30-1,Y,-,-,-,Y,-,Y,-
DTXSID8022371,DSSTox_Substance_Id,DTXSID8022371,Testosterone,58-22-0,Y,-,-,-,Y,-,Y,-
DTXSID3075044,DSSTox_Substance_Id,DTXSID3075044,Triton X-100.2,2315-61-9,-,-,-,-,-,-,-,-
DTXSID5025811,DSSTox_Substance_Id,DTXSID5025811,Methyl (9Z)-octadec-9-enoate,112-62-9,Y,-,-,-,-,-,-,-
DTXSID4029276,DSSTox_Substance_Id,DTXSID4029276,"2-Propenoic acid, 2-methyl-, pentadecyl ester",6140-74-5,-,-,-,-,-,-,-,-
DTXSID0046858,DSSTox_Substance_Id,DTXSID0046858,2-Dodecylisoquinolinium tosylate,5412-37-3,-,-,-,-,-,-,-,-
DTXSID5042322_1,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID5042322_2,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID0041567,DSSTox_Substance_Id,DTXSID0041567,"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid",141-22-0,-,-,-,-,Y,-,Y,-
DTXSID3052727,DSSTox_Substance_Id,DTXSID3052727,"Nonanoic acid, 8-methylnonyl ester",109-32-0,-,-,-,-,-,-,-,-
DTXSID9027104,DSSTox_Substance_Id,DTXSID9027104,"Hexadecanoic acid, 1-methylethyl ester",142-91-6,Y,-,-,-,-,-,-,-
DTXSID0047111,DSSTox_Substance_Id,DTXSID0047111,Sclareol,515-03-7,-,-,-,-,-,-,-,-
DTXSID5022437-BTMR0213,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID6029204,DSSTox_Substance_Id,DTXSID6029204,"Ethanol, 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis-",901-44-0,-,-,-,-,-,-,-,-
DTXSID5022437-BTMR0212,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID3041293-BTMR0244,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID4022525-BTMR0197,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID4044901,DSSTox_Substance_Id,DTXSID4044901,Triallyl trimellitate,2694-54-4,-,-,-,-,-,-,-,-
DTXSID20231551,DSSTox_Substance_Id,DTXSID20231551,"4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(2-hydroxy-5-methoxyphenyl)-6,8-dimethyl-, (S)-",82051-52-3,-,-,-,-,-,-,-,-
DTXSID0047957-BTMR0197,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-
DTXSID4032619,DSSTox_Substance_Id,DTXSID4032619,Halofenozide,112226-61-6,-,-,-,-,-,-,-,-
DTXSID6046503,DSSTox_Substance_Id,DTXSID6046503,Ganaxolone,38398-32-2,-,-,-,-,Y,-,Y,-
DTXSID5041778,DSSTox_Substance_Id,DTXSID5041778,Chloropropylate,5836-10-2,-,-,-,-,-,-,-,-
DTXSID2023690,DSSTox_Substance_Id,DTXSID2023690,Torsemide,56211-40-6,-,-,-,-,Y,-,Y,-
DTXSID5046229,DSSTox_Substance_Id,DTXSID5046229,Diamfenetide,36141-82-9,-,-,-,-,-,-,-,-
DTXSID4057712,DSSTox_Substance_Id,DTXSID4057712,Lexiscan,313348-27-5,-,-,-,-,Y,-,Y,-
DTXSID2047274,DSSTox_Substance_Id,DTXSID2047274,CP-114271,113734-18-2,-,-,-,-,-,-,-,-
DTXSID7025215,DSSTox_Substance_Id,DTXSID7025215,Diundecyl phthalate,3648-20-2,Y,-,-,-,-,-,-,-
DTXSID6023367,DSSTox_Substance_Id,DTXSID6023367,Nicotinyl alcohol,100-55-0,Y,-,-,-,Y,-,Y,-
DTXSID3024499,DSSTox_Substance_Id,DTXSID3024499,4-Aminophenol,123-30-8,-,-,-,-,-,-,Y,-
DTXSID0047084,DSSTox_Substance_Id,DTXSID0047084,2-Acetylpyrrole,1072-83-9,-,-,-,-,-,-,-,-
DTXSID3024497,DSSTox_Substance_Id,DTXSID3024497,3-Aminophenol,591-27-5,-,-,-,-,-,-,-,-
DTXSID8024498,DSSTox_Substance_Id,DTXSID8024498,2-Aminophenol,95-55-6,-,-,-,-,Y,-,Y,-
DTXSID8046531,DSSTox_Substance_Id,DTXSID8046531,Piconol,586-98-1,-,-,-,-,-,-,-,-
DTXSID8027454,DSSTox_Substance_Id,DTXSID8027454,"N,N-Dimethylacetoacetamide",2044-64-6,-,-,-,-,-,-,-,-
DTXSID8021775,DSSTox_Substance_Id,DTXSID8021775,3-Methylindole,83-34-1,-,-,-,-,-,-,-,-
DTXSID0029133,DSSTox_Substance_Id,DTXSID0029133,4-Hydroxyacetophenone,99-93-4,-,-,-,-,-,-,-,-
DTXSID1021617,DSSTox_Substance_Id,DTXSID1021617,3-Methylbenzoic acid,99-04-7,-,-,-,-,-,-,-,-
DTXSID7040285,DSSTox_Substance_Id,DTXSID7040285,2-Hydroxyacetophenone,118-93-4,-,-,-,-,-,-,-,-
DTXSID1051690,DSSTox_Substance_Id,DTXSID1051690,2-Methoxybenzaldehyde,135-02-4,-,-,-,-,-,-,-,-
DTXSID6021618,DSSTox_Substance_Id,DTXSID6021618,4-Methylbenzoic acid,99-94-5,-,-,-,-,-,-,-,-
DTXSID2025345,DSSTox_Substance_Id,DTXSID2025345,Furfural acetone,623-15-4,-,-,-,-,-,-,-,-
DTXSID5025572,DSSTox_Substance_Id,DTXSID5025572,Methyl benzoate,93-58-3,Y,-,-,-,-,-,-,-
DTXSID3051626,DSSTox_Substance_Id,DTXSID3051626,Phenyl acetate,122-79-2,-,-,-,-,-,-,-,-
DTXSID5044447,DSSTox_Substance_Id,DTXSID5044447,3-Methoxybenzaldehyde,591-31-1,-,-,-,-,-,-,-,-
DTXSID8065743,DSSTox_Substance_Id,DTXSID8065743,"1,3-Benzodioxol-5-amine",14268-66-7,-,-,-,-,-,-,-,-
DTXSID6024466,DSSTox_Substance_Id,DTXSID6024466,4-Aminobenzoic acid,150-13-0,-,-,-,-,Y,-,Y,-
DTXSID4025791,DSSTox_Substance_Id,DTXSID4025791,2-Nitrotoluene,88-72-2,-,-,-,-,-,-,-,-
DTXSID5023792,DSSTox_Substance_Id,DTXSID5023792,4-Nitrotoluene,99-99-0,-,-,-,-,-,-,-,-
DTXSID7025421,DSSTox_Substance_Id,DTXSID7025421,N-Hydroxybenzamide,495-18-1,-,-,-,-,Y,-,Y,-
DTXSID7044471,DSSTox_Substance_Id,DTXSID7044471,Methyl nicotinate,93-60-7,-,-,-,-,-,-,Y,-
DTXSID5021831,DSSTox_Substance_Id,DTXSID5021831,3-Nitrotoluene,99-08-1,-,-,-,-,-,-,-,-
DTXSID8020094,DSSTox_Substance_Id,DTXSID8020094,Anthranilic acid,118-92-3,-,-,-,-,Y,-,Y,-
DTXSID0020604,DSSTox_Substance_Id,DTXSID0020604,4-Vinyl-1-cyclohexene dioxide,106-87-6,-,-,-,-,-,-,-,-
DTXSID6046345,DSSTox_Substance_Id,DTXSID6046345,D-Glutamine,5959-95-5,-,-,-,-,Y,-,-,-
DTXSID1026904,DSSTox_Substance_Id,DTXSID1026904,2-Butoxyethyl acetate,112-07-2,-,-,-,-,-,-,-,-
DTXSID5047087,DSSTox_Substance_Id,DTXSID5047087,Methyl 2-methoxybenzoate,606-45-1,-,-,-,-,-,-,-,-
DTXSID9022528,DSSTox_Substance_Id,DTXSID9022528,Ethylparaben,120-47-8,-,-,-,-,-,-,-,-
DTXSID9041441,DSSTox_Substance_Id,DTXSID9041441,(2-Methylphenoxy)acetic acid,1878-49-5,-,-,-,-,-,-,-,-
DTXSID7047649,DSSTox_Substance_Id,DTXSID7047649,4-Methoxybenzyl formate,122-91-8,-,-,-,-,-,-,-,-
DTXSID5021968,DSSTox_Substance_Id,DTXSID5021968,3-Ethoxy-4-hydroxybenzaldehyde,121-32-4,Y,-,-,-,-,-,-,-
DTXSID7047645,DSSTox_Substance_Id,DTXSID7047645,Methyl 4-methoxybenzoate,121-98-2,-,-,-,-,-,-,-,-
DTXSID00313041,DSSTox_Substance_Id,DTXSID00313041,"2-(2,5-dioxopyrrol-1-yl)propanoic acid",62212-14-0,-,-,-,-,-,-,-,-
