"","featureid","mz","rt","DTXSID","DB_name","name_original","formula_cleaned","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"56","193.1223-447.4",193.1223,447.4,"DTXSID0044107","DTXSID0044107","Ibufenac","C12H16O2","firefighter",26125.6467520693,NA,0,1
"57","193.12234-1019.7",193.12234,1019.7,"DTXSID0044107","DTXSID0044107","Ibufenac","C12H16O2","firefighter",2448.3964886535,NA,0,0
"58","193.12235-517",193.12235,517,"DTXSID0044107","DTXSID0044107","Ibufenac","C12H16O2","firefighter",42776.8600337341,NA,0,1
"59","262.98127-8.3",262.98127,8.3,"DTXSID00442840","DTXSID00442840","2-(TRIFLUOROMETHOXY)ETHYL,TRIFLUOROMETHANESULFONATE","C4H4F6O4S","firefighter",47134.2169477804,NA,1,1
"60","614.78152-240.8",614.78152,240.8,"DTXSID0044521","DTXSID0044521","Diatrizoic,acid","C11H9I3N2O4","firefighter",201107.679131679,NA,0,1
"61","137.09596-473.3",137.09596,473.3,"DTXSID0044571","DTXSID0044571","3-Isopropylphenol","C9H12O","firefighter",130992.354254094,NA,1,1
"62","213.18493-747.5",213.18493,747.5,"DTXSID0044573","DTXSID0044573","2-(2-Methylbutan-2-yl)cyclohexyl,acetate","C13H24O2","firefighter",2663.91134083475,NA,0,0
"63","197.15372-447.4",197.15372,447.4,"DTXSID0044604","DTXSID0044604","1,4-Bis[(ethenyloxy)methyl]cyclohexane","C12H20O2","firefighter",54418.6501069309,NA,0,1
"64","196.1322-482.2",196.1322,482.2,"DTXSID0044650","DTXSID0044650","2,2'-[(4-Methylphenyl)imino]diethanol","C11H17NO2","firefighter",8807.75899151143,NA,0,0
"65","217.14363-322.3",217.14363,322.3,"DTXSID0044862","DTXSID0044862","Undecanedioic,acid","C11H20O4","firefighter",91280.5786716445,NA,0,1
"66","241.09759-441",241.09759,441,"DTXSID0044995","DTXSID0044995","9-Ethyl-3-nitro-9H-carbazole","C14H12N2O2","firefighter",15959.1924220107,NA,1,1
"67","273.08471-330.7",273.08471,330.7,"DTXSID0045179","DTXSID0045179","Nimustine","C9H13ClN6O2","firefighter",89372.1968546156,NA,0,1
"68","273.08463-309.8",273.08463,309.8,"DTXSID0045179","DTXSID0045179","Nimustine","C9H13ClN6O2","firefighter",104893.545072908,NA,0,1
"69","141.06673-87.8",141.06673,87.8,"DTXSID0045206","DTXSID0045206","Gaboxadol","C6H8N2O2","firefighter",30961.7180015496,NA,0,1
"70","331.22414-987.9",331.22414,987.9,"DTXSID0045254","DTXSID0045254","21-Hydroxyprogesterone","C21H30O3","firefighter",9958.34698282902,NA,0,0
"71","258.11042-167.8",258.11042,167.8,"DTXSID0045412","DTXSID0045412","Benserazide,hydrochloride","C10H16ClN3O5","firefighter",253395.547912262,NA,0,1
"72","495.23159-760.4",495.23159,760.4,"DTXSID0045460","DTXSID0045460","Clocortolone,pivalate","C27H36ClFO5","firefighter",13720.566123268,NA,0,1
"73","500.17777-450.9",500.17777,450.9,"DTXSID0045464","DTXSID0045464","Halofantrine,hydrochloride","C26H31Cl3F3NO","firefighter",8634.33734346964,NA,0,0
"74","194.08137-346.1",194.08137,346.1,"DTXSID0045626","DTXSID0045626","Betamipron","C10H11NO3","firefighter",123448.20522942,NA,0,1
"75","501.30955-685.4",501.30955,685.4,"DTXSID0046438","DTXSID0046438","Mupirocin","C26H44O9","firefighter",8259.08480156005,NA,0,0
"76","151.0753-264.5",151.0753,264.5,"DTXSID0046567","DTXSID0046567","4-Tolyl,acetate","C9H10O2","firefighter",42783.1834064619,NA,0,1
"77","151.0753-592",151.0753,592,"DTXSID0046567","DTXSID0046567","4-Tolyl,acetate","C9H10O2","firefighter",10216.1582339822,NA,0,1
"78","151.07531-342.1",151.07531,342.1,"DTXSID0046567","DTXSID0046567","4-Tolyl,acetate","C9H10O2","firefighter",34586.4768422137,NA,0,1
"79","151.07572-210",151.07572,210,"DTXSID0046567","DTXSID0046567","4-Tolyl,acetate","C9H10O2","firefighter",15008.4084119952,NA,0,1
"80","283.10815-441",283.10815,441,"DTXSID0046644","DTXSID0046644","Bendazac,sodium","C16H13N2NaO3","firefighter",27189.0167103979,NA,0,1
"81","413.30454-874.7",413.30454,874.7,"DTXSID0046648","DTXSID0046648","Calcipotriene","C27H40O3","firefighter",8167.92610416371,NA,0,0
"82","387.28903-863.1",387.28903,863.1,"DTXSID0046806","DTXSID0046806","Testosterone,isocaproate","C25H38O3","firefighter",2569.08990492447,NA,0,0
"83","385.23432-665",385.23432,665,"DTXSID0046808","DTXSID0046808","Bufogenin","C24H32O4","firefighter",15479.3806344053,NA,0,1
"84","299.25793-1010.3",299.25793,1010.3,"DTXSID0046858","DTXSID0046858","2-Dodecylisoquinolinium,tosylate","C28H39NO3S","firefighter",11852.6618774197,NA,0,1
"85","205.09733-136.5",205.09733,136.5,"DTXSID0046989","DTXSID0046989","d-Tryptophan","C11H12N2O2","firefighter",578015.022359432,NA,0,1
"86","205.19496-1176.8",205.19496,1176.8,"DTXSID0047032","DTXSID0047032","(-)-alpha-Cedrene","C15H24","firefighter",3098.67764634458,NA,0,0
"87","213.18493-747.5",213.18493,747.5,"DTXSID0047034","DTXSID0047034","(2E,6Z)-1,1-diethoxynona-2,6-diene","C13H24O2","firefighter",2663.91134083475,NA,0,0
"88","175.11185-1163.7",175.11185,1163.7,"DTXSID0047163","DTXSID0047163","6-Acetyl-1,2,3,4-tetrahydronaphthalene","C12H14O","firefighter",17055.5296133805,NA,0,1
"89","575.37274-727.6",575.37274,727.6,"DTXSID0047327","DTXSID0047327","MK-578","C35H47FN4O2","firefighter",2154.75681265152,NA,0,0
"90","575.37968-994.9",575.37968,994.9,"DTXSID0047327","DTXSID0047327","MK-578","C35H47FN4O2","firefighter",2044.78482089575,NA,0,0
"91","185.15367-748.5",185.15367,748.5,"DTXSID0047408","DTXSID0047408","Methyl,citronellate","C11H20O2","firefighter",1682.33893971291,NA,0,0
"92","185.15368-439.5",185.15368,439.5,"DTXSID0047408","DTXSID0047408","Methyl,citronellate","C11H20O2","firefighter",6884.47897354081,NA,0,0
"93","303.15641-595.3",303.15641,595.3,"DTXSID0047876","DTXSID0047876","(-)-Enterodiol","C18H22O4","firefighter",22960.8310580391,NA,0,1
"94","303.15659-650.6",303.15659,650.6,"DTXSID0047876","DTXSID0047876","(-)-Enterodiol","C18H22O4","firefighter",32870.2188684976,NA,0,1
"95","199.07538-709.7",199.07538,709.7,"DTXSID0048210","DTXSID0048210","Phenyl,benzoate","C13H10O2","firefighter",4176.57923545438,NA,0,0
"96","401.34077-1164.8",401.34077,1164.8,"DTXSID0048636","DTXSID0048636","Gefarnate","C27H44O2","firefighter",7221.59790260698,NA,0,0
"97","255.11304-480.7",255.11304,480.7,"DTXSID0048638","DTXSID0048638","Nepafenac","C15H14N2O2","firefighter",81158.5198681585,NA,0,1
"98","405.22406-773.8",405.22406,773.8,"DTXSID0048686","DTXSID0048686","Hydrocortisone,acetate","C23H32O6","firefighter",45398.0320021915,NA,0,1
"99","405.22406-741",405.22406,741,"DTXSID0048686","DTXSID0048686","Hydrocortisone,acetate","C23H32O6","firefighter",26867.7529333564,NA,0,1
"100","208.1334-385.8",208.1334,385.8,"DTXSID0048892","DTXSID0048892","N-Ethyl-alpha-methyl-1,3-benzodioxole-5-ethanamine,hydrochloride","C12H18ClNO2","firefighter",24537.6229784004,NA,0,1
"101","285.09927-158.8",285.09927,158.8,"DTXSID0048898","DTXSID0048898","Psilocybin","C12H17N2O4P","firefighter",34425.5055422587,NA,0,1
"102","285.09952-188.6",285.09952,188.6,"DTXSID0048898","DTXSID0048898","Psilocybin","C12H17N2O4P","firefighter",23833.1222556508,NA,0,1
"103","285.1016-473.8",285.1016,473.8,"DTXSID0048898","DTXSID0048898","Psilocybin","C12H17N2O4P","firefighter",3318.80965624903,NA,0,0
"104","162.05492-298.9",162.05492,298.9,"DTXSID0049313","DTXSID0049313","2-Methyl-4H,3,1-benzoxazin-4-one","C9H7NO2","firefighter",47602.8038598803,NA,0,1
"105","162.05494-440",162.05494,440,"DTXSID0049313","DTXSID0049313","2-Methyl-4H,3,1-benzoxazin-4-one","C9H7NO2","firefighter",8105.30855954994,NA,0,0
"106","134.05996-298.9",134.05996,298.9,"DTXSID0052596","DTXSID0052596","4-Anisonitrile","C8H7NO","firefighter",22483.4122234562,NA,0,1
"107","134.06003-149.4",134.06003,149.4,"DTXSID0052596","DTXSID0052596","4-Anisonitrile","C8H7NO","firefighter",42975.5969237796,NA,0,1
"108","389.26759-580.6",389.26759,580.6,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",16524.1942594589,NA,0,1
"109","448.18342-370.4",448.18342,370.4,"DTXSID0057702","DTXSID0057702","Gimatecan","C25H25N3O5","firefighter",3421.01827808928,NA,0,0
"110","448.19116-409.7",448.19116,409.7,"DTXSID0057702","DTXSID0057702","Gimatecan","C25H25N3O5","firefighter",1417.52576675418,NA,0,0
"111","146.05996-270.5",146.05996,270.5,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","firefighter",43558.784178079,NA,1,1
"112","146.06006-212.5",146.06006,212.5,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","firefighter",132237.877822897,NA,1,1
"113","146.0601-316.3",146.0601,316.3,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","firefighter",190906.812840431,NA,1,1
"114","146.06018-168.3",146.06018,168.3,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","firefighter",393854.73718132,NA,1,1
"115","149.09593-613.3",149.09593,613.3,"DTXSID0063109","DTXSID0063109","Ethanone,,1-(3,4-dimethylphenyl)-","C10H12O","firefighter",114230.979901306,NA,0,1
"116","216.23258-606.4",216.23258,606.4,"DTXSID0064751","DTXSID0064751","1-Propanamine,,3-(decyloxy)-","C13H29NO","firefighter",361052.88238744,NA,0,1
"117","217.11761-576.6",217.11761,576.6,"DTXSID0067260","DTXSID0067260","2,4-Imidazolidinedione,,1,3-bis(2-hydroxyethyl)-5,5-dimethyl-","C9H16N2O4","firefighter",10184.4556331035,NA,0,1
"118","123.04302-235.8",123.04302,235.8,"DTXSID1020140","DTXSID1020140","Sodium,benzoate","C7H6O2","firefighter",11350.8963113385,NA,0,1
"119","123.04394-729.1",123.04394,729.1,"DTXSID1020140","DTXSID1020140","Sodium,benzoate","C7H6O2","firefighter",10871.2694411546,NA,0,1
"120","123.04413-72.9",123.04413,72.9,"DTXSID1020140","DTXSID1020140","Sodium,benzoate","C7H6O2","firefighter",10276.3792046761,NA,0,1
"121","150.07741-92.2",150.07741,92.2,"DTXSID1020857","DTXSID1020857","(N-6)-Methyladenine","C6H7N5","firefighter",42386.656437919,NA,0,1
"122","150.07758-205.8",150.07758,205.8,"DTXSID1020857","DTXSID1020857","(N-6)-Methyladenine","C6H7N5","firefighter",10428.6181312684,NA,0,1
"123","180.10191-343.6",180.10191,343.6,"DTXSID1021116","DTXSID1021116","PHENACETIN","C10H13NO2","firefighter",33411.4466415964,NA,0,1
"124","288.15032-622.3",288.15032,622.3,"DTXSID1021247","DTXSID1021247","C.I.,Basic,Red,9,monohydrochloride","C19H18ClN3","firefighter",145190.092843254,NA,1,1
"125","137.05967-728.6",137.05967,728.6,"DTXSID1021617","DTXSID1021617","3-Methylbenzoic,acid","C8H8O2","firefighter",4881.93059087599,NA,0,0
"126","123.04302-235.8",123.04302,235.8,"DTXSID1021792","DTXSID1021792","Salicylaldehyde","C7H6O2","firefighter",11350.8963113385,NA,0,1
"127","123.04394-729.1",123.04394,729.1,"DTXSID1021792","DTXSID1021792","Salicylaldehyde","C7H6O2","firefighter",10871.2694411546,NA,0,1
"128","123.04413-72.9",123.04413,72.9,"DTXSID1021792","DTXSID1021792","Salicylaldehyde","C7H6O2","firefighter",10276.3792046761,NA,0,1
"129","130.06497-409.7",130.06497,409.7,"DTXSID1021798","DTXSID1021798","Quinoline","C9H7N","firefighter",236080.897838201,NA,0,1
"130","268.10434-151.8",268.10434,151.8,"DTXSID1022558","DTXSID1022558","Adenosine","C10H13N5O4","firefighter",142467.952681458,NA,0,1
"131","310.27404-1104.2",310.27404,1104.2,"DTXSID1022926","DTXSID1022926","DICYCLOMINE","C19H35NO2","firefighter",56977.6991584043,NA,0,1
"132","228.12846-250.2",228.12846,250.2,"DTXSID1023869","DTXSID1023869","Ametryn","C9H17N5S","firefighter",20022.0083308932,NA,1,1
"133","341.24528-1177.9",341.24528,1177.9,"DTXSID10242070","DTXSID10242070","6,6'-Di-tert-butyl-4,4'-methylenedi-o-cresol","C23H32O2","firefighter",231259.524153603,NA,0,1
"134","301.11838-301.9",301.11838,301.9,"DTXSID1024255","DTXSID1024255","Phenmedipham","C16H16N2O4","firefighter",416619.77900227,NA,1,1
"135","229.08644-167.8",229.08644,167.8,"DTXSID1024598","DTXSID1024598","Benzyl,salicylate","C14H12O3","firefighter",14679.014127438,NA,0,1
"136","207.13815-1163.8",207.13815,1163.8,"DTXSID1024702","DTXSID1024702","tert-Butyl,phenyl,glycidyl,ether","C13H18O2","firefighter",10371.2393736753,NA,0,1
"137","149.13248-1163.3",149.13248,1163.3,"DTXSID1024704","DTXSID1024704","4-tert-Butyltoluene","C11H16","firefighter",14503.7026108744,NA,0,1
"138","283.26344-819",283.26344,819,"DTXSID1025809","DTXSID1025809","Oleic,acid","C18H34O2","firefighter",56198.0935688438,NA,0,1
"139","283.26339-827.5",283.26339,827.5,"DTXSID1025809","DTXSID1025809","Oleic,acid","C18H34O2","firefighter",29695.7942189104,NA,0,1
"140","133.10105-1163.3",133.10105,1163.3,"DTXSID1026118","DTXSID1026118","Tetralin","C10H12","firefighter",20383.9021167376,NA,0,1
"141","231.15904-439.5",231.15904,439.5,"DTXSID1026740","DTXSID1026740","Dimethyl,decanedioate","C12H22O4","firefighter",14308.2342861254,NA,0,1
"142","123.04302-235.8",123.04302,235.8,"DTXSID1027219","DTXSID1027219","Potassium,benzoate","C7H6O2","firefighter",11350.8963113385,NA,0,1
"143","123.04394-729.1",123.04394,729.1,"DTXSID1027219","DTXSID1027219","Potassium,benzoate","C7H6O2","firefighter",10871.2694411546,NA,0,1
"144","123.04413-72.9",123.04413,72.9,"DTXSID1027219","DTXSID1027219","Potassium,benzoate","C7H6O2","firefighter",10276.3792046761,NA,0,1
"145","209.11732-681.9",209.11732,681.9,"DTXSID10277908","DTXSID10277908","3-(2,5-dimethylhexa-1,5-dienyl)oxolane-2,5-dione","C12H16O3","firefighter",46810.382000915,NA,0,1
"146","227.07027-709.5",227.07027,709.5,"DTXSID1029122","DTXSID1029122","Benzoic,anhydride","C14H10O3","firefighter",17937.7126431086,NA,0,1
"147","135.11667-707.3",135.11667,707.3,"DTXSID1029124","DTXSID1029124","1,2,4,5-Tetramethylbenzene","C10H14","firefighter",56544.8385234168,NA,0,1
"148","224.08974-69.9",224.08974,69.9,"DTXSID10300482","DTXSID10300482","tert-butyl,4-nitrobenzoate","C11H13NO4","firefighter",214342.294224805,NA,0,1
"149","255.15704-371.1",255.15704,371.1,"DTXSID10301979","DTXSID10301979","octahydrodispiro[1,3-dioxolane-2,1'-naphthalene-5',2''-[1,3]dioxolane]","C14H22O4","firefighter",23038.2831474899,NA,0,1
"150","255.15733-584.3",255.15733,584.3,"DTXSID10301979","DTXSID10301979","octahydrodispiro[1,3-dioxolane-2,1'-naphthalene-5',2''-[1,3]dioxolane]","C14H22O4","firefighter",11303.416709368,NA,0,1
"151","147.0805-1163.8",147.0805,1163.8,"DTXSID1031626","DTXSID1031626","Methyl,trans-styryl,ketone","C10H10O","firefighter",12077.4827288283,NA,0,1
"152","283.15385-446.9",283.15385,446.9,"DTXSID10319135","DTXSID10319135","NSC340077","C16H18N4O","firefighter",126152.005617662,NA,0,1
"153","127.08658-112.1",127.08658,112.1,"DTXSID1032513","DTXSID1032513","(3,5-Dimethyl-1H-pyrazol-1-yl)methanol","C6H10N2O","firefighter",11682.2831336213,NA,0,1
"154","303.23139-770.6",303.23139,770.6,"DTXSID1033664","DTXSID1033664","17-Methyltestosterone","C20H30O2","firefighter",221663.875967422,NA,0,1
"155","303.23166-762.9",303.23166,762.9,"DTXSID1033664","DTXSID1033664","17-Methyltestosterone","C20H30O2","firefighter",195608.291160432,NA,0,1
"156","372.23055-262",372.23055,262,"DTXSID1034187","DTXSID1034187","Tamoxifen","C26H29NO","firefighter",16379.1802383088,NA,0,1
"157","311.25811-951.2",311.25811,951.2,"DTXSID1035783","DTXSID1035783","S-Methoprene","C19H34O3","firefighter",13143.0706910619,NA,0,1
"158","317.24811-1094.2",317.24811,1094.2,"DTXSID1036541","DTXSID1036541","Pregnenolone","C21H32O2","firefighter",608965.461007441,NA,0,1
"159","277.10455-474.3",277.10455,474.3,"DTXSID1036545","DTXSID1036545","Triphenylsilanol","C18H16OSi","firefighter",75091.641348342,NA,0,1
"160","270.14641-412.2",270.14641,412.2,"DTXSID1037565","DTXSID1037565","Mepronil","C17H19NO2","firefighter",20099.4003670046,NA,0,1
"161","265.08393-380.9",265.08393,380.9,"DTXSID1038876","DTXSID1038876","Phenyl,1-hydroxy-2-naphthoate","C17H12O3","firefighter",131043.971245252,NA,0,1
"162","128.10675-313.3",128.10675,313.3,"DTXSID1040114","DTXSID1040114","tert-Butylacrylamide","C7H13NO","firefighter",32834.5904371506,NA,0,1
"163","102.05468-43.8",102.05468,43.8,"DTXSID1040164","DTXSID1040164","3-Oxobutanamide","C4H7NO2","firefighter",24928.5334985485,NA,0,1
"164","247.13795-213.4",247.13795,213.4,"DTXSID1043910","DTXSID1043910","beta-(3,4-Epoxycyclohexyl)ethyltrimethoxysilane","C11H22O4Si","firefighter",59592.0596976287,NA,0,1
"165","423.23745-852.3",423.23745,852.3,"DTXSID1044279","DTXSID1044279","DOCUSATE,HYDROGEN","C20H38O7S","firefighter",8860.77480245264,NA,0,0
"166","151.0753-264.5",151.0753,264.5,"DTXSID1044352","DTXSID1044352","Methyl,phenylacetate","C9H10O2","firefighter",42783.1834064619,NA,0,1
"167","151.0753-592",151.0753,592,"DTXSID1044352","DTXSID1044352","Methyl,phenylacetate","C9H10O2","firefighter",10216.1582339822,NA,0,1
"168","151.07531-342.1",151.07531,342.1,"DTXSID1044352","DTXSID1044352","Methyl,phenylacetate","C9H10O2","firefighter",34586.4768422137,NA,0,1
"169","151.07572-210",151.07572,210,"DTXSID1044352","DTXSID1044352","Methyl,phenylacetate","C9H10O2","firefighter",15008.4084119952,NA,0,1
"170","153.06565-101.2",153.06565,101.2,"DTXSID1044437","DTXSID1044437","3,5-Diaminobenzoic,acid","C7H8N2O2","firefighter",315804.954728867,NA,0,1
