"","featureid","mz","rt","DTXSID","DB_name","name_original","Formula","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"82","211.1703-722.7",211.1703,722.7,"DTXSID0044573","DTXSID0044573","2-(2-Methylbutan-2-yl)cyclohexyl,acetate","C13H24O2","firefighter",882096.9675,NA,0,1
"83","195.13868-578.3",195.13868,578.3,"DTXSID0044604","DTXSID0044604","1,4-Bis[(ethenyloxy)methyl]cyclohexane","C12H20O2","firefighter",443934.552913705,NA,0,1
"84","215.1286-377.3",215.1286,377.3,"DTXSID0044862","DTXSID0044862","Undecanedioic,acid","C11H20O4","firefighter",46277.534,NA,0,1
"85","143.10773-405.1",143.10773,405.1,"DTXSID0044866","DTXSID0044866","Sodium,2-ethylhexanoate","C8H16O2","firefighter",2123792.66694295,NA,0,1
"86","167.02116-54.2",167.02116,54.2,"DTXSID0044945","DTXSID0044945","2,2'-(Methanediyldisulfanediyl)diethanol","C5H12O2S2","firefighter",536935.265710033,NA,0,1
"87","145.08683-209",145.08683,209,"DTXSID0044949","DTXSID0044949","(5-Ethyl-1,3-dioxan-5-yl)methanol","C7H14O3","firefighter",40274.2491257168,NA,0,1
"88","192.06636-346.9",192.06636,346.9,"DTXSID0045626","DTXSID0045626","Betamipron","C10H11NO3","firefighter",1028885.05649904,NA,0,1
"89","356.145-803.3",356.145,803.3,"DTXSID0046432","DTXSID0046432","Danofloxacin","C19H20FN3O3","firefighter",12656.1352,NA,0,1
"90","499.2913-664.4",499.2913,664.4,"DTXSID0046438","DTXSID0046438","Mupirocin","C26H44O9","firefighter",116883.526,NA,0,1
"91","499.2894-562.4",499.2894,562.4,"DTXSID0046438","DTXSID0046438","Mupirocin","C26H44O9","firefighter",36067.2405,NA,0,1
"92","149.06064-219",149.06064,219,"DTXSID0046567","DTXSID0046567","4-Tolyl,acetate","C9H10O2","firefighter",248426.568803885,NA,0,1
"93","124.03998-133.4",124.03998,133.4,"DTXSID0046569","DTXSID0046569","Mepiroxol","C6H7NO2","firefighter",19166.5065080057,NA,0,1
"94","124.04011-74.1",124.04011,74.1,"DTXSID0046569","DTXSID0046569","Mepiroxol","C6H7NO2","firefighter",18346.584214192,NA,0,1
"95","411.2891-871.5",411.2891,871.5,"DTXSID0046648","DTXSID0046648","Calcipotriene","C27H40O3","firefighter",15934.173,NA,0,1
"96","507.2221-594.3",507.2221,594.3,"DTXSID0046773","DTXSID0046773","Difluprednate","C27H34F2O7","firefighter",526626.63575,NA,0,1
"97","383.2192-874.5",383.2192,874.5,"DTXSID0046808","DTXSID0046808","Bufogenin","C24H32O4","firefighter",162158.73475,NA,0,1
"98","297.2432-756.9",297.2432,756.9,"DTXSID0046858","DTXSID0046858","2-Dodecylisoquinolinium,tosylate","C28H39NO3S","firefighter",2781204.51,NA,0,1
"99","203.0827-168.7",203.0827,168.7,"DTXSID0046989","DTXSID0046989","d-Tryptophan","C11H12N2O2","firefighter",4747373,NA,0,1
"100","211.1703-722.7",211.1703,722.7,"DTXSID0047034","DTXSID0047034","(2E,6Z)-1,1-diethoxynona-2,6-diene","C13H24O2","firefighter",882096.9675,NA,0,1
"101","133.06566-323.5",133.06566,323.5,"DTXSID0047080","DTXSID0047080","4-Ethylbenzaldehyde","C9H10O","firefighter",158976.549375606,NA,0,1
"102","108.04533-149.8",108.04533,149.8,"DTXSID0047084","DTXSID0047084","2-Acetylpyrrole","C6H7NO","firefighter",38851.8851028096,NA,0,1
"103","108.04521-111.5",108.04521,111.5,"DTXSID0047084","DTXSID0047084","2-Acetylpyrrole","C6H7NO","firefighter",75317.6830511274,NA,0,1
"104","165.12815-446.9",165.12815,446.9,"DTXSID0047088","DTXSID0047088","2,6,6-Trimethyl-1-cyclohexene-1-acetaldehyde","C11H18O","firefighter",68744.332957857,NA,0,1
"105","307.2644-994.4",307.2644,994.4,"DTXSID0047111","DTXSID0047111","Sclareol","C20H36O2","firefighter",4496050.175,NA,0,1
"106","167.10753-402.6",167.10753,402.6,"DTXSID0047115","DTXSID0047115","Geranic,acid","C10H16O2","firefighter",105283.862405805,NA,0,1
"107","395.1515-457.9",395.1515,457.9,"DTXSID0047248","DTXSID0047248","CI-1018","C24H20N4O2","firefighter",4363.8204,NA,0,0
"108","395.152-368.8",395.152,368.8,"DTXSID0047248","DTXSID0047248","CI-1018","C24H20N4O2","firefighter",5092.78515,NA,0,0
"109","281.1172-455.4",281.1172,455.4,"DTXSID0047406","DTXSID0047406","Eugenyl,phenylacetate","C18H18O3","firefighter",17135.027875,NA,0,1
"110","183.13891-567.9",183.13891,567.9,"DTXSID0047408","DTXSID0047408","Methyl,citronellate","C11H20O2","firefighter",1084198.58335115,NA,0,1
"111","169.12333-498.2",169.12333,498.2,"DTXSID0047585","DTXSID0047585","(3Z)-Hex-3-en-1-yl,2-methylpropanoate","C10H18O2","firefighter",1192069.06035233,NA,0,1
"112","141.12828-450.9",141.12828,450.9,"DTXSID0047587","DTXSID0047587","(6Z)-Non-6-en-1-ol","C9H18O","firefighter",24370.779574554,NA,0,1
"113","301.1435-473.3",301.1435,473.3,"DTXSID0047876","DTXSID0047876","(-)-Enterodiol","C18H22O4","firefighter",10129.0864,NA,0,1
"114","329.1055-616.1",329.1055,616.1,"MTX80","DTXSID0047957-BTMR0197","","C15H22O6S","firefighter",8823.529875,NA,1,0
"115","329.1055-585.3",329.1055,585.3,"MTX80","DTXSID0047957-BTMR0197","","C15H22O6S","firefighter",1714.821365,NA,1,0
"116","249.1492-593.7",249.1492,593.7,"DTXSID0047957","DTXSID0047957","Octylparaben","C15H22O3","firefighter",162039.62975,NA,1,1
"117","183.17493-611.7",183.17493,611.7,"DTXSID0048187","DTXSID0048187","1-Methoxy-4-tert-pentylcyclohexane","C12H24O","firefighter",19818.8206233831,NA,0,1
"118","531.2711-872.7",531.2711,872.7,"DTXSID0048634","DTXSID0048634","Triamcinolone,hexacetonide","C30H41FO7","firefighter",45807.2875,NA,0,1
"119","399.3229-880.4",399.3229,880.4,"DTXSID0048636","DTXSID0048636","Gefarnate","C27H44O2","firefighter",78937.8515,NA,0,1
"120","386.2901-795.8",386.2901,795.8,"DTXSID0048761","DTXSID0048761","Gusperimus,trihydrochloride","C17H40Cl3N7O3","firefighter",105978.278,NA,0,1
"121","386.2898-816.7",386.2898,816.7,"DTXSID0048761","DTXSID0048761","Gusperimus,trihydrochloride","C17H40Cl3N7O3","firefighter",24613.237075,NA,0,1
"122","415.2434-519.6",415.2434,519.6,"DTXSID0048927","DTXSID0048927","Alfentanil,hydrochloride","C21H33ClN6O3","firefighter",12960.208925,NA,0,1
"123","415.2469-477.3",415.2469,477.3,"DTXSID0048927","DTXSID0048927","Alfentanil,hydrochloride","C21H33ClN6O3","firefighter",8647.011325,NA,0,0
"124","303.2333-919.1",303.2333,919.1,"DTXSID0048973","DTXSID0048973","Mestanolone","C20H32O2","firefighter",34343766.35,NA,0,1
"125","347.1619-512.2",347.1619,512.2,"DTXSID0048975","DTXSID0048975","Enalapril,acid","C18H24N2O5","firefighter",7746.02235,NA,0,0
"126","912.5095-675.8",912.5095,675.8,"DTXSID0048977","DTXSID0048977","Eprinomectin,B1a","C50H75NO14","firefighter",1127.8964225,NA,0,0
"127","221.1541-649.5",221.1541,649.5,"DTXSID0049444","DTXSID0049444","2,2'-(Diazene-1,2-diyldiethane-1,1-diyl)bis-4,5-dihydro-1H-imidazole,dihydrochloride","C10H18N6","firefighter",159040.11725,NA,0,1
"128","133.06566-323.5",133.06566,323.5,"DTXSID0051732","DTXSID0051732","Indan-5-ol","C9H10O","firefighter",158976.549375606,NA,0,1
"129","273.2333-845.1",273.2333,845.1,"DTXSID0052176","DTXSID0052176","5',6',7',8'-Tetrahydro-4a'H-dispiro[cyclohexane-1,2'-quinazoline-4',1''-cyclohexane]","C18H30N2","firefighter",71899.07225,NA,0,1
"130","227.1286-398.2",227.1286,398.2,"DTXSID0052469","DTXSID0052469","Diethyl,1,4-cyclohexanedicarboxylate","C12H20O4","firefighter",132660.69825,NA,0,1
"131","227.1286-390.2",227.1286,390.2,"DTXSID0052469","DTXSID0052469","Diethyl,1,4-cyclohexanedicarboxylate","C12H20O4","firefighter",124175.3815,NA,0,1
"132","133.06566-323.5",133.06566,323.5,"DTXSID0052629","DTXSID0052629","Hydratropaldehyde","C9H10O","firefighter",158976.549375606,NA,0,1
"133","387.2503-800.9",387.2503,800.9,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",103956.1565,NA,0,1
"134","387.2527-510.1",387.2527,510.1,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",13276.49925,NA,0,1
"135","387.2507-757.8",387.2507,757.8,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",120047.53575,NA,0,1
"136","387.2507-952.6",387.2507,952.6,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",55211.2445,NA,0,1
"137","387.2529-578.3",387.2529,578.3,"DTXSID0057677","DTXSID0057677","Bolandiol,dipropionate","C24H36O4","firefighter",36284.5315,NA,0,1
"138","177.05603-325.5",177.05603,325.5,"DTXSID0057837","DTXSID0057837","Sodium,3,,4-dimethylphenyl-glyoxylate","C10H9NaO3","firefighter",56671.4302728878,NA,0,1
"139","341.2688-776.9",341.2688,776.9,"DTXSID0061084","DTXSID0061084","Peroxide,,bis(1-oxodecyl)","C20H38O4","firefighter",199721.15475,NA,0,1
"140","144.04543-317",144.04543,317,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","firefighter",2003622.9778088,NA,1,1
"141","147.08133-364.8",147.08133,364.8,"DTXSID0063109","DTXSID0063109","Ethanone,,1-(3,4-dimethylphenyl)-","C10H12O","firefighter",26148.8243811499,NA,0,1
"142","377.1593-474.3",377.1593,474.3,"DTXSID0073031","DTXSID0073031","Benzenamine,,4,4'-methylenebis[3-chloro-2,6-diethyl-","C21H28Cl2N2","firefighter",103689.32055,NA,0,1
"143","321.1338-524.6",321.1338,524.6,"DTXSID00873155","DTXSID00873155","Monocarboxyoctyl,phthalate","C17H22O6","firefighter",2906.854545,NA,0,0
"144","321.1333-307.1",321.1333,307.1,"DTXSID00873155","DTXSID00873155","Monocarboxyoctyl,phthalate","C17H22O6","firefighter",21434.036,NA,0,1
"145","400.1499-284.7",400.1499,284.7,"MTX96","DTXSID1020069-BTMR0171","","C20H23N3O6","firefighter",19218.37725,NA,1,1
"146","229.0539-383.7",229.0539,383.7,"MTX99","DTXSID1020221-BTMR0197","","C10H14O4S","firefighter",1846694.15,NA,1,1
"147","149.09678-383.7",149.09678,383.7,"DTXSID1020221","DTXSID1020221","4-tert-Butylphenol","C10H14O","firefighter",59658.6940343647,NA,1,1
"148","285.1236-675.8",285.1236,675.8,"MTX108","DTXSID1020485-BTMR1242__DTXSID3025091-BTMR1242","","C16H18N2O3","firefighter",9851.804535,NA,1,0
"149","235.1699-719.3",235.1699,719.3,"DTXSID1020697","DTXSID1020697","1-O-Hexyl-2,3,5-trimethylhydroquinone","C15H24O2","firefighter",168432.02725,NA,0,1
"150","193.12314-493.2",193.12314,493.2,"DTXSID1020699","DTXSID1020699","4-Hexylresorcinol","C12H18O2","firefighter",627452.302830682,NA,0,1
"151","121.06543-129.9",121.06543,129.9,"DTXSID1020859","DTXSID1020859","alpha-Methylbenzyl,alcohol","C8H10O","firefighter",8044.93175873193,NA,0,0
"152","121.06561-287.3",121.06561,287.3,"DTXSID1020859","DTXSID1020859","alpha-Methylbenzyl,alcohol","C8H10O","firefighter",19916.0346234636,NA,0,1
"153","193.15934-638.1",193.15934,638.1,"DTXSID1021586","DTXSID1021586","6,10-Dimethyl-5,9-undecadiene-2-one","C13H22O","firefighter",2875.40846829034,NA,0,0
"154","135.04492-237.9",135.04492,237.9,"DTXSID1021617","DTXSID1021617","3-Methylbenzoic,acid","C8H8O2","firefighter",98096.1896741648,NA,0,1
"155","127.07623-246.9",127.07623,246.9,"DTXSID1021873","DTXSID1021873","Isobutyl,acrylate","C7H12O2","firefighter",12539.20701825,NA,1,1
"156","389.2685-780.9",389.2685,780.9,"DTXSID1021956","DTXSID1021956","Di-n-octyl,phthalate","C24H38O4","firefighter",266425.7185,NA,0,1
"157","115.07627-833.2",115.07627,833.2,"DTXSID1022055","DTXSID1022055","tert-Butyl,acetate","C6H12O2","firefighter",19547.6107849415,NA,0,1
"158","115.07629-113.5",115.07629,113.5,"DTXSID1022055","DTXSID1022055","tert-Butyl,acetate","C6H12O2","firefighter",60475.3903932055,NA,0,1
"159","115.07635-219",115.07635,219,"DTXSID1022055","DTXSID1022055","tert-Butyl,acetate","C6H12O2","firefighter",387482.466297211,NA,0,1
"160","157.08657-331",157.08657,331,"DTXSID1022186","DTXSID1022186","2-Ethoxyethyl,methacrylate","C8H14O3","firefighter",23134.9266086883,NA,1,1
"161","157.08653-240.4",157.08653,240.4,"DTXSID1022186","DTXSID1022186","2-Ethoxyethyl,methacrylate","C8H14O3","firefighter",52617.4332813953,NA,1,1
"162","157.08658-334",157.08658,334,"DTXSID1022186","DTXSID1022186","2-Ethoxyethyl,methacrylate","C8H14O3","firefighter",26760.0412418061,NA,1,1
"163","213.0554-519.6",213.0554,519.6,"DTXSID1022425","DTXSID1022425","4,4'-Dihydoxybenzophenone","C13H10O3","firefighter",49617.429225,NA,0,1
"164","121.06543-129.9",121.06543,129.9,"DTXSID1022479","DTXSID1022479","2-Ethylphenol","C8H10O","firefighter",8044.93175873193,NA,0,0
"165","121.06561-287.3",121.06561,287.3,"DTXSID1022479","DTXSID1022479","2-Ethylphenol","C8H10O","firefighter",19916.0346234636,NA,0,1
"166","308.2572-953.1",308.2572,953.1,"DTXSID1022926","DTXSID1022926","DICYCLOMINE","C19H35NO2","firefighter",7541.7947,NA,0,0
"167","297.1333-357.3",297.1333,357.3,"DTXSID1023362","DTXSID1023362","Nialamide","C16H18N4O2","firefighter",54092.904,NA,0,1
"168","232.028-83.7",232.028,83.7,"DTXSID1023605","DTXSID1023605","Sulbactam","C8H11NO5S","firefighter",19811.981475,NA,0,1
"169","323.1491-282.7",323.1491,282.7,"DTXSID1023732","DTXSID1023732","VALACYCLOVIR","C13H20N6O4","firefighter",11205.0317475,NA,0,1
"170","241.1348-676.4",241.1348,676.4,"MTX136","DTXSID1023869-BTMR0214","","C10H20N5S","firefighter",2438.29006925,NA,1,0
"171","339.232-984.5",339.232,984.5,"DTXSID10242070","DTXSID10242070","6,6'-Di-tert-butyl-4,4'-methylenedi-o-cresol","C23H32O2","firefighter",24932.087825,NA,0,1
"172","227.0711-349.8",227.0711,349.8,"DTXSID1024598","DTXSID1024598","Benzyl,salicylate","C14H12O3","firefighter",18491.657075,NA,0,1
