MW,RT,mz,featureid,time,formula_cleaned,DB_name,name,ESI
179.057,199.8,179.0574;179.0574;179.0574,179.0574-199.8;179.0574-199.8;179.0574-199.8,199.8;199.8;199.8,C6H12O6;C6H12O6;C6H12O6,DTXSID5023081;DTXSID7022910;DTXSID4048729,D-Fructose;D-GLUCOSE;DL-GLUCOSE,N;N;N
179.071,341.9,179.07087,179.07087-341.9,341.9,C10H12O3,DTXSID4022527,Propylparaben,FF
179.082,400.6,179.08225,179.08225-400.6,400.6,C9H12N2O2,DTXSID7020398-BTMR1242,,FF
183.139,566.7,183.13891;183.13891;183.13891;183.13891;183.13891,183.13891-566.7;183.13891-566.7;183.13891-567.9;183.13891-567.9;183.13891-567.9,566.7;566.7;567.9;567.9;567.9,C11H20O2;C11H20O2;C11H20O2;C11H20O2;C11H20O2,DTXSID8035001;DTXSID4034287;DTXSID4034287;DTXSID8035001;DTXSID9025297,"10-Undecenoic,acid;5-Heptyldihydro-2(3H)-furanone;5-Heptyldihydro-2(3H)-furanone;10-Undecenoic,acid;2-Ethylhexyl,acrylate",N;N;FF;FF;FF
187.007,214.6,187.00711;187.00711,187.00711-214.6;187.00711-214.6,214.6;214.6,C7H8O4S;C7H8O4S,DTXSID6024200-BTMR0196;DTXSID7021869-BTMR0197,;,FF;FF
191.02,48.6,191.02001;191.02001;191.02001;191.02001;191.02001;191.02001;191.02001,191.02001-48.6;191.02001-48.6;191.02001-48.6;191.02001-48.6;191.02001-48.6;191.02001-48.6;191.02001-48.6,48.6;48.6;48.6;48.6;48.6;48.6;48.6,C6H8O7;C6H8O7;C6H8O7;C6H4CuNa2O7;C6H8O7;C6H8O7;C6H8O7,DTXSID1049437;DTXSID2026363;DTXSID3020332;DTXSID30983958;DTXSID5020079;DTXSID7071151;DTXSID80273977,"Trisodium,citrate,dihydrate;Trisodium,citrate;Citric,acid;DISODIUM,CUPRIC,CITRATE;Diammonium,citrate;1,2,3-Propanetricarboxylic,acid,,2-hydroxy,,-ammonium,zinc,salt;1,2,3-Propanetricarboxylic,acid,,2-hydroxy,,-potassium,salt,(1:1)",N;N;N;N;N;N;N
193.087,348.4,193.08672,193.08672-348.4,348.4,C11H14O3,DTXSID3020209,Butylparaben,FF
195.066,342.4,195.0661;195.06578,195.06606-342.4;195.06578-340.9,342.4;340.9,C10H12O4;C10H12O4,DTXSID9041653;DTXSID9041653,"Methyl,2,4-dihydroxy-3,6-dimethylbenzoate;Methyl,2,4-dihydroxy-3,6-dimethylbenzoate",N;FF
195.066,130.4,195.06568,195.06568-130.4,130.4,C10H12O4,DTXSID9041653,"Methyl,2,4-dihydroxy-3,6-dimethylbenzoate",FF
195.139,578.3,195.13868,195.13868-578.3,578.3,C12H20O2,DTXSID7026946,"Linalyl,acetate",FF
199.097,132.9,199.0972,199.09722-132.9,132.9,C10H16O4,DTXSID3026566,"Dimethyl,hexahydroterephthalate",N
199.17,727.4,199.1704,199.17043-727.4,727.4,C12H24O2,DTXSID3047552,"Hexyl,hexanoate",N
199.171,728.9,199.1705,199.1705-728.9,728.9,C12H24O2,DTXSID5021590,"Dodecanoic,acid",FF
201.023,287.2,201.0227,201.0227-287.2,287.2,C8H10O4S,DTXSID2021864-BTMR0197,,FF
203.002,193.9,203.002;203.002,203.00199-193.9;203.002-191.1,193.9;191.1,C8H12S3;C7H8O5S,DTXSID70220051;DTXSID0022012-BTMR0196,"4-(2,2-Dimethylpropyl)-3H-1,2-dithiole-3-thione;",N;FF
204.124,167.4,204.1236,204.12364-167.4,167.4,C9H19NO4,DTXSID3044598,Panthenol,N
205.123,384.1,205.1232,205.1232-384.1,384.1,C13H18O2,DTXSID5020732,Ibuprofen,N
205.16,827.9,205.1598;205.1598,205.1598-827.9;205.1598-827.9,827.9;827.9,C14H22O;C14H22O,DTXSID7027047;DTXSID9022360,"alpha-Isomethylionone;4-(1,1,3,3-Tetramethylbutyl)phenol",FF;FF
209.059,262.1,209.0587,209.05874-262.1,262.1,C8H19PS2,DTXSID9044798,"Sodium,bis(2-methylpropyl)phosphinodithioate",N
213.023,314.6,213.0225;213.0225,213.0225-314.6;213.0225-323,314.6;323,C9H10O4S;C9H10O4S,DTXSID9041491-BTMR0501;DTXSID9041491-BTMR0501,;,FF;FF
213.055,519.6,213.0554;213.0554,213.0554-519.6;213.0554-519.6,519.6;519.6,C13H10O3;C13H10O3,DTXSID4047882;DTXSID8022406,"Phenylparaben;2,4-Dihydroxybenzophenone",FF;FF
214.087,352.4,214.087;214.087,214.087-352.4;214.087-329.5,352.4;329.5,C8H14ClN5;C8H14ClN5,DTXSID9020112;DTXSID9020112,Atrazine;Atrazine,FF;FF
215.037,351.3,215.0373,215.0373-351.3,351.3,C9H12O4S,DTXSID0044571-BTMR0196,,FF
215.038,338.2,215.0376,215.0376-338.2,338.2,C9H12O4S,DTXSID0044571-BTMR0196,,FF
221.154,649.5,221.1541,221.1541-649.5,649.5,C14H22O2,DTXSID9027653,"Isobornyl,methacrylate",FF
225.113,353.4,225.1129,225.1129-353.4,353.4,C12H18O4,DTXSID9025401,"1,6-Hexanediol,diacrylate",FF
225.149,503,225.1491;225.1491,225.14911-503;225.14911-503,503;503,C13H22O3;C13H22O3,DTXSID80883873;DTXSID2029325,"Cyclopentaneacetic,acid,,3-oxo-2-pentyl,,-methyl,ester,,(1R,2R)-;Methyl,dihydrojasmonate",N;N
225.186,776.1,225.1861;225.1861,225.18613-776.1;225.18613-776.1,776.1;776.1,C14H26O2;C14H26O2,DTXSID5041568;DTXSID7027041,"9-Tetradecenoic,acid,,(9Z)-;2,4,7,9-Tetramethyl-5-decyne-4,7-diol",N;N
227.071,349.8,227.0711,227.0711-349.8,349.8,C14H12O3,DTXSID3022405,2-Hydroxy-4-methoxybenzophenone,FF
227.202,851.7,227.2018;227.2018;227.2018;227.2018,227.20182-851.7;227.20182-851.7;227.20182-851.7;227.20182-851.7,851.7;851.7;851.7;851.7,C14H28O2;C14H28O2;C14H28O2;C14H28O2,DTXSID1042318;DTXSID5042455;DTXSID6021666;DTXSID9066596,"Potassium,myristate;Tetradecanoic,acid,,sodium,salt;Tetradecanoic,acid;Tetradecanoic,acid,,lithium,salt",N;N;N;N
228.038,69.2,228.0384,228.0384-69.2,69.2,C6H8ClN7O,DTXSID9043853,Amiloride,FF
229.054,383.7,229.0539;229.0539;229.0539;229.0539,229.0539-383.7;229.0539-383.7;229.0539-383.7;229.0539-383.7,383.7;383.7;383.7;383.7,C10H14O4S;C10H14O4S;C10H14O4S;C10H14O4S,DTXSID1020221-BTMR0197;DTXSID3047425-BTMR0197;DTXSID7022332-BTMR0197;DTXSID9044825-BTMR0196,;;;,FF;FF;FF;FF
230.996,156.3,230.9965;230.9965,230.9965-156.3;230.9965-170.3,156.3;170.3,C8H8O6S;C8H8O6S,DTXSID4022529-BTMR0197;DTXSID4022529-BTMR0197,;,FF;FF
230.997,221,230.9966;230.9966,230.9966-221;230.9966-198.2,221;198.2,C8H8O6S;C8H8O6S,DTXSID4022529-BTMR0197;DTXSID4022529-BTMR0197,;,FF;FF
241.218,899.5,241.2175;241.2175;241.2175;241.2175;241.2175,241.2175-899.5;241.2175-899.5;241.2175-899.5;241.2175-899.5;241.2175-899.5,899.5;899.5;899.5;899.5;899.5,C15H30O2;C15H30O2;C15H30O2;C15H30O2;C15H30O2,DTXSID1052248;DTXSID2021652;DTXSID3041904;DTXSID3052432;DTXSID5027019,"(Ethoxymethoxy)cyclododecane;Pentadecanoic,acid;Isopropyl,Laurate;2,4,6,8-Tetramethylnonyl,acetate;Methyl,tetradecanoate",N;N;N;N;N
243.033,313.6,243.0328,243.0328-313.6,313.6,C10H12O5S,DTXSID7022413-BTMR0197,,FF
245.012,213.5,245.0122,245.0122-213.5,213.5,C9H10O6S,DTXSID9022528-BTMR0197,,FF
245.012,280.7,245.0122,245.0122-280.7,280.7,C9H10O6S,DTXSID9022528-BTMR0197,,FF
245.081,296,245.0814;245.0814,245.08138-296;245.08138-296,296;296,C14H14O4;C14H14O4,DTXSID7051559;DTXSID7020392,"Diallyl,isophthalate;Diallyl,phthalate",N;N
249.113,362.7,249.1129;249.1129,249.11287-362.7;249.11287-362.7,362.7;362.7,C14H18O4;C14H18O4,DTXSID2040731;DTXSID5031133,"Diisopropyl,phthalate;Dipropyl,phthalate",N;N
249.149,593.7,249.1492;249.1492,249.1492-593.7;249.1492-593.7,593.7;593.7,C15H22O3;C15H22O3,DTXSID0047957;DTXSID4022525,Octylparaben;2-Ethylhexylparaben,FF;FF
250.144,766.5,250.1442,250.1442-766.5,766.5,C14H21NO3,DTXSID4021559,"2,6-Di-tert-butyl-4-nitrophenol",FF
252.129,498.7,252.1293,252.1293-498.7,498.7,C11H19N5S,DTXSID3032416,Cybutryne,FF
252.131,304.6,252.1313,252.1313-304.6,304.6,C11H19N5S,DTXSID3032416,Cybutryne,FF
253.218,883.9,253.2176;253.2176;253.2176;253.2178;253.2178,253.21757-883.9;253.21757-883.9;253.21757-883.9;253.2178-884.9;253.2178-884.9,883.9;883.9;883.9;884.9;884.9,C16H30O2;C16H30O2;C16H30O2;C16H30O2;C16H30O2,DTXSID1051987;DTXSID1052402;DTXSID5041564;DTXSID1051987;DTXSID4027103,"Tridecyl,acrylate;2,5,8,11-Tetramethyldodec-6-yne-5,8-diol;9-Hexadecenoic,acid;Tridecyl,acrylate;Dodecyl,2-methylacrylate",N;N;N;FF;FF
254.012,289.7,254.0124,254.0124-289.7,289.7,C12H11Cl2NO,DTXSID2020420,Propyzamide,FF
255.066,343.3,255.0659,255.0659-343.3,343.3,C15H12O4,DTXSID9043938,"Monobenzyl,phthalate",N
255.234,945.5,255.2342;255.2342;255.2342,255.23418-945.5;255.23418-945.5;255.23418-945.5,945.5;945.5;945.5,C16H32O2;C16H32O2;C16H32O2,DTXSID2021602;DTXSID2041127;DTXSID9067726,"Hexadecanoic,acid;Sodium,palmitate;Isohexadecanoic,acid",N;N;N
259.027,296.6,259.0275,259.0275-296.6,296.6,C10H12O6S,DTXSID4022527-BTMR0197,,FF
259.028,303.7,259.0276,259.0276-303.7,303.7,C10H12O6S,DTXSID4022527-BTMR0197,,FF
265.148,722.9,265.1479;265.1479,265.14793-722.9;265.14793-722.9,722.9;722.9,C12H26O4S;C12H26O4S,DTXSID1026031;DTXSID2027462,"Sodium,dodecyl,sulfate;Ammonium,dodecyl,sulfate",N;N
267.113,577.8,267.1134;267.1134,267.1134-577.8;267.1134-577.8,577.8;577.8,C16H16N2O2;C16H16N2O2,DTXSID6049303;DTXSID9036854,"1,4-Dimethylamino-4-nitrostilbene;N,N'-DIACETYLBENZIDINE",FF;FF
267.233,928.9,267.2331;267.2332,267.23309-928.9;267.2332-928.6,928.9;928.6,C17H32O2;C17H32O2,DTXSID8029236;DTXSID8029236,"Tridecyl,methacrylate;Tridecyl,methacrylate",N;FF
269.249,987.8,269.2489;269.2489;269.2489,269.24887-987.8;269.24887-987.8;269.24887-987.8,987.8;987.8;987.8,C17H34O2;C17H34O2;C17H34O2,DTXSID0026838;DTXSID4029149;DTXSID5021596,"Isopropyl,tetradecanoate;Methyl,hexadecanoate;Heptadecanoic,acid",N;N;N
270.091,57.2,270.0911,270.0911-57.2,57.2,C14H13N3O3,DTXSID3020758,"ISONICOTINIC,ACID,VANILLYLIDENEHYDRAZIDE",FF
273.043,262.3,273.0431,273.0431-262.3,262.3,C11H14O6S,DTXSID3020209-BTMR0197,,FF
277.144,617.7,277.1439;277.1439;277.1439;277.1439,277.14394-617.7;277.14394-617.7;277.14394-617.7;277.14394-617.7,617.7;617.7;617.7;617.7,C16H22O4;C16H22O4;C16H22O4;C16H22O4,DTXSID2021781;DTXSID4052714;DTXSID3022168;DTXSID9022522,"Dibutyl,phthalate;Octyl,hydrogen,phthalate;Dibutyl,terephthalate;Diisobutyl,phthalate",N;N;N;N
277.217,871.5,277.2175,277.2175-871.5,871.5,C18H30O2,DTXSID7025506,"Linolenic,acid",N
279.079,333.5,279.0788,279.0788-333.5,333.5,C16H12N2O3,DTXSID2041252-BTMR1242,,FF
281.139,629.1,281.1389,281.1389-629.1,629.1,C15H22O5,DTXSID4040713,"Octyl,gallate",FF
282.134,125.9,282.1339,282.1339-125.9,125.9,C15H17N5O,DTXSID7020132,BEMITRADINE,FF
283.108,504.1,283.1079,283.1079-504.1,504.1,C16H16N2O3,DTXSID60221855,"N-HYDROXY-N,N'-DIACETYLBENZIDINE",FF
283.265,1026.8,283.2649;283.2649;283.2649;283.2649;283.2649,283.26485-1026.8;283.26485-1026.8;283.26485-1026.8;283.26485-1026.8;283.26485-1026.8,1026.8;1026.8;1026.8;1026.8;1026.8,C18H36O2;C18H36O2;C18H36O2;C18H36O2;C18H36O2,DTXSID0042323;DTXSID2052312;DTXSID6067830;DTXSID8021642;DTXSID9027318,"Potassium,stearate;Hexadecyl,acetate;Hexyl,laurate;Octadecanoic,acid;Sodium,octadecanoate",N;N;N;N;N
285.111,448.8,285.1109,285.11085-448.8,448.8,C17H18O4,DTXSID0022436,"Diphenolic,acid",N
285.116,598.2,285.1161,285.1161-598.2,598.2,C14H22O4S,DTXSID9022360-BTMR0197,,FF
287.201,834.1,287.2007,287.2007-834.1,834.1,C19H28O2,DTXSID4020379,Dehydroepiandrosterone,FF
289.028,61.5,289.0276,289.0276-61.5,61.5,C8H7F9O,DTXSID20577986,4-(PERFLUOROBUTYL)-2-BUTANONE,FF
291.123,380.6,291.1233,291.12331-380.6,380.6,C16H20O5,DTXSID00865994,Mono(2-ethyl-5-oxohexyl)phthalate,N
293.212,699,293.212,293.21205-699,699,C18H30O3,DTXSID3075044,"2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol",N
294.146,84.1,294.1457,294.1457-84.1,84.1,C14H21N3O4,DTXSID3032337,Butralin,FF
295.121,618.7,295.1206,295.1206-618.7,618.7,C15H20O6,DTXSID0027773,"Trimethylolpropane,triacrylate",FF
295.264,1010,295.2639;295.2639,295.26387-1010;295.26387-1010,1010;1010,C19H36O2;C19H36O2,DTXSID4029276;DTXSID5025811,"2-Propenoic,acid,,2-methyl,,-pentadecyl,ester;Methyl,(9Z)-octadec-9-enoate",N;N
299.08,651.6,299.08,299.08-651.6,651.6,C13H16O8,DTXSID0022012-BTMR0166,,FF
299.164,428.3,299.1644,299.16439-428.3,428.3,C19H24O3,DTXSID0032572,Prallethrin,N
299.201,864,299.2009,299.2009-864,864,C20H28O2,DTXSID7021239,"all-trans-Retinoic,acid",FF
301.144,473.3,301.1435,301.1435-473.3,473.3,C18H22O4,DTXSID5022437,"Nordihydroguaiaretic,acid",FF
301.217,873.5,301.2174,301.21745-873.5,873.5,C20H30O2,DTXSID7022047,"Abietic,acid",N
303.163,807.8,303.1627,303.1627-807.8,807.8,C18H24O4,DTXSID5044940,"Tricyclodecanedimethanol,diacrylate",FF
305.023,65.2,305.0229;305.0229,305.0229-65.2;305.0229-65.2,65.2;65.2,C8H7F9O2;C8H7F9O2,DTXSID50441560;DTXSID90660157,"METHYL,2H,2H,3H,3H-PERFLUOROHEPTANOATE;PERFLUORO-TERT-BUTYL,ISOBUTYRATE",FF;FF
305.096,304,305.0963,305.0963-304,304,C13H12F2N6O,DTXSID3020627,Fluconazole,N
307.027,349.4,307.0275,307.0275-349.4,349.4,C14H12O6S,DTXSID3022405-BTMR0196,,FF
307.067,168.3,307.0669,307.0669-168.3,168.3,C15H16O5S,DTXSID7020182-BTMR0197,,FF
309.097,364.3,309.097,309.097-364.3,364.3,C15H18O7,DTXSID9041491-BTMR0165,,FF
309.205,851.7,309.2046,309.20456-851.7,851.7,C18H30O4,DTXSID7044972,"1,10-Decanediol,dimethacrylate",N
309.207,549.5,309.2065,309.2065-549.5,549.5,C18H30O4,DTXSID7044972,"1,10-Decanediol,dimethacrylate",FF
309.28,1050,309.2802,309.28017-1050,1050,C20H38O2,DTXSID6060135,"9-Eicosenoic,acid",N
311.14,352.7,311.1402;311.1399,311.14017-352.7;311.1399-351.9,352.7;351.9,C18H20N2O3;C18H20N2O3,DTXSID1066944;DTXSID1066944,"Ethanediamide,,N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)-;Ethanediamide,,N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)-",N;FF
313.119,481.3,313.1189,313.1189-481.3,481.3,C17H18N2O4,DTXSID3044960,"Propane-1,3-diyl,bis(4-aminobenzoate)",FF
