"featureid","mz","time","DTXSID","Compound","Formula","population"
"133.01426-48.2",133.01426,48.2,"DTXSID0027640","Malic acid","C4H6O5","nurses"
"133.01426-48.2",133.01426,48.2,"DTXSID4041575","Diglycolic acid","C4H6O5","nurses"
"135.03109-76.8",135.03109,76.8,"DTXSID4022573","ALLOPURINOL","C5H4N4O","nurses"
"135.03109-76.8",135.03109,76.8,"DTXSID8045983","Hypoxanthine","C5H4N4O","nurses"
"139.07625-97.2",139.07625,97.2,"DTXSID0020604","4-Vinyl-1-cyclohexene dioxide","C8H12O2","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID2020921","2-Naphthylamine","C10H9N","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID3020887","6-Methylquinoline","C10H9N","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID3040271","Quinaldine","C10H9N","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID5025657","7-Methylquinoline","C10H9N","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID7020920","1-Naphthylamine","C10H9N","nurses"
"142.06603-347.8",142.06603,347.8,"DTXSID7047067","Lepidine","C10H9N","nurses"
"144.08141-136.1",144.08141,136.1,"DTXSID6047440","4-Isopropylbenzonitrile","C10H11N","nurses"
"149.04562-51.1",149.04562,51.1,"DTXSID2022096","Dipropyl disulfide","C6H14S2","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID0021626","4-Isopropylbenzyl alcohol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID0024890","p-Cymen-8-ol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID0042325","4-Propylanisole","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID1020221","4-tert-Butylphenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID1047601","2-Methyl-1-phenylpropan-2-ol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID2022331","2-(Butan-2-yl)phenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID2026525","2-tert-Butylphenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID3047425","4-Butylphenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID5041190","l-Perillaldehyde","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID6034972","Thymol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID6042074","Isopropyl-o-cresol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID7022332","4-(Butan-2-yl)phenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID7041413","R-(-)-Carvone","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID7049398","Safranal","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID8020256","d-Carvone","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID9044825","3-tert-Butylphenol","C10H14O","nurses"
"149.09683-175.4",149.09683,175.4,"DTXSID9047463","Corodane","C10H14O","nurses"
"150.00164-365.7",150.00164,365.7,"DTXSID5032523","12-Benzisothiazolin-3-one","C7H5NOS","nurses"
"151.05099-109.5",151.05099,109.5,"DTXSID1044437","35-Diaminobenzoic acid","C7H8N2O2","nurses"
"151.05099-109.5",151.05099,109.5,"DTXSID2025632","4-Methyl-2-nitroaniline","C7H8N2O2","nurses"
"151.05099-109.5",151.05099,109.5,"DTXSID2025634","5-Methyl-2-nitroaniline","C7H8N2O2","nurses"
"151.05099-109.5",151.05099,109.5,"DTXSID3020708","4-Hydrazinobenzoic acid","C7H8N2O2","nurses"
"151.05099-109.5",151.05099,109.5,"DTXSID4020959","2-Methyl-5-nitroaniline","C7H8N2O2","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID1020805","dl-Menthol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID1022180","(1R2S5R)-(-)-Menthol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID1041550","(S)-(-)-beta-Citronellol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID2047193","Rhodinol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID2052576","2-Pentylcyclopentan-1-ol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID3026726","Citronellol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID4021553","Decanal","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID4041812","Dihydro-alpha-terpineol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID4044826","37-Dimethyloctanal","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID5026623","4-tert-Butylcyclohexanol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID6047656","9-Decen-1-ol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID7035305","(E)-5-Decen-1-ol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID8029317","115-Trimethyl-6-heptenol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID8029650","Menthol","C10H20O","nurses"
"155.14395-734.6",155.14395,734.6,"DTXSID9022104","2-Decanone","C10H20O","nurses"
"156.10274-211.2",156.10274,211.2,"DTXSID9027443","N-(Butoxymethyl)acrylamide","C8H15NO2","nurses"
"161.02175-517.3",161.02175,517.3,"DTXSID7024902","Dazomet","C5H10N2S2","nurses"
"161.11851-498.6",161.11851,498.6,"DTXSID4058815","Ethane 111-triethoxy-","C8H18O3","nurses"
"161.11851-498.6",161.11851,498.6,"DTXSID8021519","2-(2-Butoxyethoxy)ethanol","C8H18O3","nurses"
"161.11851-498.6",161.11851,498.6,"DTXSID3025047","Diethylene glycol diethyl ether","C8H18O3","nurses"
"165.01891-88.5",165.01891,88.5,"DTXSID3021485","13-Benzenedicarboxylic acid","C8H6O4","nurses"
"165.01891-88.5",165.01891,88.5,"DTXSID6026080","Terephthalic acid","C8H6O4","nurses"
"166.0514-238.6",166.0514,238.6,"DTXSID2025763","2-(2-Nitrophenyl)ethanol","C8H9NO3","nurses"
"166.0514-238.6",166.0514,238.6,"DTXSID7026655","1-Ethoxy-4-nitrobenzene","C8H9NO3","nurses"
"179.03498-178.5",179.03498,178.5,"DTXSID1027425","14-Benzenedicarboxylic acid monomethyl ester","C9H8O4","nurses"
"179.03498-178.5",179.03498,178.5,"DTXSID5020108","Aspirin","C9H8O4","nurses"
"179.03498-178.5",179.03498,178.5,"DTXSID9040001","Monomethyl phthalate","C9H8O4","nurses"
"179.0574-199.8",179.0574,199.8,"DTXSID4048729","DL-GLUCOSE","C6H12O6","nurses"
"179.0574-199.8",179.0574,199.8,"DTXSID7022910","D-GLUCOSE","C6H12O6","nurses"
"179.0574-199.8",179.0574,199.8,"DTXSID5021336","Theophylline","C7H8N4O2","nurses"
"179.0574-199.8",179.0574,199.8,"DTXSID9026132","Theobromine","C7H8N4O2","nurses"
"179.0574-199.8",179.0574,199.8,"DTXSID5023081","D-Fructose","C6H12O6","nurses"
"181.0699-76.8",181.0699,76.8,"DTXSID4044909","Dimethoxy(methyl)phenylsilane","C9H14O2Si","nurses"
"181.15958-723",181.15958,723,"DTXSID3027322","Cyclododecanone","C12H22O","nurses"
"181.15958-723",181.15958,723,"DTXSID8047682","4-Cyclohexyl-4-methyl-pentan-2-one","C12H22O","nurses"
"181.15958-723",181.15958,723,"DTXSID1035288","Codlelure","C12H22O","nurses"
"181.15958-723",181.15958,723,"DTXSID3040722","4-Cyclohexylcyclohexanol","C12H22O","nurses"
"189.16448-565.7",189.16448,565.7,"DTXSID7051890","(E)-beta-Damascone","C14H22","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID8025886","Ethyl 3-phenylglycidate","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID9057680","56-Dimethoxy-1-indanone","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID50303199","methyl 3-(4-methylphenyl)-3-oxopropanoate","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID7043908","3-(34-Methylenedioxyphenyl)-2-methylpropanal","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID4040715","2-Phenoxyethyl acrylate","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID0047161","Piperonyl acetone","C11H12O3","nurses"
"191.06946-320.8",191.06946,320.8,"DTXSID1025693","Myristicin","C11H12O3","nurses"
"192.06649-347.9",192.06649,347.9,"DTXSID0020020","4-Acetylaminophenylacetic acid","C10H11NO3","nurses"
"192.06649-347.9",192.06649,347.9,"DTXSID00319624","Formyl(methyl)aminomethyl benzoate","C10H11NO3","nurses"
"192.06649-347.9",192.06649,347.9,"DTXSID0045626","Betamipron","C10H11NO3","nurses"
"194.1184-92.7",194.1184,92.7,"DTXSID0044650","22-(4-Methylphenyl)iminodiethanol","C11H17NO2","nurses"
"196.98402-347.4",196.98402,347.4,"DTXSID10190946","PERFLUOROBUTYRALDEHYDE","C4HF7O","nurses"
"198.0781-474.1",198.0781,474.1,"DTXSID60192011","412-Dimethyl-351113-tetraazacyl(333)azine","C10H9N5","nurses"
"201.11344-322.4",201.11344,322.4,"DTXSID1044986","36912-Tetraoxatetradeca-113-diene","C10H18O4","nurses"
"201.11344-322.4",201.11344,322.4,"DTXSID7024667","14-Butanediol diglycidyl ether","C10H18O4","nurses"
"201.11344-322.4",201.11344,322.4,"DTXSID7026867","Decanedioic acid","C10H18O4","nurses"
"201.11344-322.4",201.11344,322.4,"DTXSID7041916","Dibutyl ethanedioate","C10H18O4","nurses"
"201.11344-322.4",201.11344,322.4,"DTXSID9044740","Dipropan-2-yl butanedioate","C10H18O4","nurses"
"202.0506-375.1",202.0506,375.1,"DTXSID3042053","Indole-3-pyruvic acid","C11H9NO3","nurses"
"202.10871-193.1",202.10871,193.1,"DTXSID5051525","NO-bis(Trimethylsilyl)acetamide","C8H21NOSi2","nurses"
"203.10745-738",203.10745,738,"DTXSID8047684","Phenethyl tiglate","C13H16O2","nurses"
"203.10745-738",203.10745,738,"DTXSID9044748","(1-Hydroxycyclohexyl)(phenyl)methanone","C13H16O2","nurses"
"203.10745-738",203.10745,738,"DTXSID3047554","(3Z)-Hex-3-en-1-yl benzoate","C13H16O2","nurses"
"209.03005-48.4",209.03005,48.4,"DTXSID7048740","Mucic acid","C6H10O8","nurses"
"211.0585-139.3",211.0585,139.3,"DTXSID4027658","1-Octanesulfonyl chloride","C8H17ClO2S","nurses"
"211.0585-139.3",211.0585,139.3,"DTXSID6052740","46-Dimethyldibenzothiophene","C14H12S","nurses"
"211.09688-130.9",211.09688,130.9,"DTXSID2020399","44-Diaminoazobenzene","C12H12N4","nurses"
"211.09688-130.9",211.09688,130.9,"DTXSID6020800","2-AMINO-34-DIMETHYLIMIDAZO(45-F)QUINOLINE (MEIQ)","C12H12N4","nurses"
"213.11301-734.5",213.11301,734.5,"DTXSID2036827","33-Diaminobenzidine","C12H14N4","nurses"
"228.03876-82.3",228.03876,82.3,"DTXSID2049345","1-Butyl-4-methylpyridinium bromide","C10H16BrN","nurses"
"228.03876-82.3",228.03876,82.3,"DTXSID8049258","1-Butyl-2-methylpyridinium bromide","C10H16BrN","nurses"
"228.03876-82.3",228.03876,82.3,"DTXSID9043853","Amiloride","C6H8ClN7O","nurses"
"239.99676-254.2",239.99676,254.2,"DTXSID3073630","Benzoic acid 2-(isocyanatosulfonyl)- methyl ester","C9H7NO5S","nurses"
"240.09557-309",240.09557,309,"DTXSID5057838","1-(4-Fluorobenzyl)-1H-benzimidazol-2-amine","C14H12FN3","nurses"
"243.17478-523.1",243.17478,523.1,"DTXSID9044536","1-(6-tert-Butyl-11-dimethyl-23-dihydro-1H-inden-4-yl)ethanone","C17H24O","nurses"
"244.06551-83.4",244.06551,83.4,"DTXSID8021191","Proflavin hydrochloride","C13H12ClN3","nurses"
"249.11287-362.7",249.11287,362.7,"DTXSID2040731","Diisopropyl phthalate","C14H18O4","nurses"
"249.11287-362.7",249.11287,362.7,"DTXSID5031133","Dipropyl phthalate","C14H18O4","nurses"
"251.01273-184.9",251.01273,184.9,"DTXSID1020433","33-Dichlorobenzidine dihydrochloride","C12H10Cl2N2","nurses"
"251.01273-184.9",251.01273,184.9,"DTXSID6020432","33-Dichlorobenzidine","C12H10Cl2N2","nurses"
"251.1032-138.9",251.1032,138.9,"DTXSID70297980","34-dimorpholinocyclobut-3-ene-12-dione","C12H16N2O4","nurses"
"253.13124-86.1",253.13124,86.1,"DTXSID3027039","Dipentaerythritol","C10H22O7","nurses"
"259.0102-245",259.0102,245,"DTXSID4022020","Bromacil","C9H13BrN2O2","nurses"
"261.04106-554.2",261.04106,554.2,"DTXSID2046121","Clonixin","C13H11ClN2O2","nurses"
"263.97904-347.3",263.97904,347.3,"DTXSID5046803","Bropirimine","C10H8BrN3O","nurses"
"269.04506-314.5",269.04506,314.5,"DTXSID2030695","Aloe-emodin","C15H10O5","nurses"
"269.04506-314.5",269.04506,314.5,"DTXSID5022308","Genistein","C15H10O5","nurses"
"269.04506-314.5",269.04506,314.5,"DTXSID5025231","Emodin","C15H10O5","nurses"
"269.04506-314.5",269.04506,314.5,"DTXSID6022391","Apigenin","C15H10O5","nurses"
"273.07638-326.4",273.07638,326.4,"DTXSID5033674","Methysticin","C15H14O5","nurses"
"273.07638-326.4",273.07638,326.4,"DTXSID6022393","Phloretin","C15H14O5","nurses"
"275.02274-238.9",275.02274,238.9,"DTXSID5020443","24-D Butyl ester","C12H14Cl2O3","nurses"
"275.02274-238.9",275.02274,238.9,"DTXSID6041347","24-D-isobutyl","C12H14Cl2O3","nurses"
"275.02274-238.9",275.02274,238.9,"DTXSID8040723","2-Chloro-5-nitro-N-phenylbenzamide","C13H9ClN2O3","nurses"
"279.09789-196.2",279.09789,196.2,"DTXSID9046445","Levosimendan","C14H12N6O","nurses"
"279.09789-196.2",279.09789,196.2,"DTXSID9048695","Fanetizole","C17H16N2S","nurses"
"281.13925-625.4",281.13925,625.4,"DTXSID10319135","NSC340077","C16H18N4O","nurses"
"282.10334-139.2",282.10334,139.2,"DTXSID5022562","Afloqualone","C16H14FN3O","nurses"
"282.13414-135.3",282.13414,135.3,"DTXSID7020132","BEMITRADINE","C15H17N5O","nurses"
"287.10501-75",287.10501,75,"DTXSID8024315","Myclobutanil","C15H17ClN4","nurses"
"287.11234-497",287.11234,497,"DTXSID4045424","Piromidic acid","C14H16N4O3","nurses"
"293.01204-414.4",293.01204,414.4,"DTXSID8044886","55-Bi-2-benzofuran-1133-tetrone","C16H6O6","nurses"
"300.02647-676.6",300.02647,676.6,"DTXSID9045392","Hydrocotarnine hydrobromide","C12H16BrNO3","nurses"
"300.02647-676.6",300.02647,676.6,"DTXSID9047338","HMR1426","C16H12ClNOS","nurses"
"305.0963-304",305.0963,304,"DTXSID1062623","Butyl diphenyl phosphate","C16H19O4P","nurses"
"305.0963-304",305.0963,304,"DTXSID9029225","Trimethylenediaminetetraacetic acid","C11H18N2O8","nurses"
"305.0963-304",305.0963,304,"DTXSID3020627","Fluconazole","C13H12F2N6O","nurses"
"306.04501-55.8",306.04501,55.8,"DTXSID9052846","Methenamid ESA","C11H17NO5S2","nurses"
"306.18182-797.7",306.18182,797.7,"DTXSID5044366","Dodecyltrimethylammonium bromide","C15H34BrN","nurses"
"307.02762-350",307.02762,350,"DTXSID2042436","Sulisobenzone","C14H12O6S","nurses"
"307.12903-220.8",307.12903,220.8,"DTXSID5048685","PP242","C16H16N6O","nurses"
"308.03082-350.3",308.03082,350.3,"DTXSID5044998","Fluxofenim","C12H11ClF3NO3","nurses"
"308.09866-49.5",308.09866,49.5,"DTXSID7047936","1-Hexylpyridinium hexafluorophosphate","C11H18F6NP","nurses"
"308.11304-143.1",308.11304,143.1,"DTXSID7023190","Ketotifen","C19H19NOS","nurses"
"309.00699-324.4",309.00699,324.4,"DTXSID1044859","55-Oxybis(2-benzofuran-13-dione)","C16H6O7","nurses"
"309.11835-137.1",309.11835,137.1,"DTXSID1044196","Desloratadine","C19H19ClN2","nurses"
"309.11835-137.1",309.11835,137.1,"DTXSID2044551","Decamethyltetrasiloxane","C10H30O3Si4","nurses"
"309.11835-137.1",309.11835,137.1,"DTXSID9025669","Methyltris(trimethylsiloxy)silane","C10H30O3Si4","nurses"
"310.0045-58.6",310.0045,58.6,"DTXSID0041987","Flurochloridone","C12H10Cl2F3NO","nurses"
"311.08973-371.7",311.08973,371.7,"DTXSID6046341","Tiotidine","C10H16N8S2","nurses"
"311.14017-352.7",311.14017,352.7,"DTXSID1066944","Ethanediamide N-(2-ethoxyphenyl)-N-(2-ethylphenyl)-","C18H20N2O3","nurses"
"311.14017-352.7",311.14017,352.7,"DTXSID5034698","MCPA-2-ethylhexyl","C17H25ClO3","nurses"
"319.26282-744.5",319.26282,744.5,"DTXSID6046218","Pregnandiol","C21H36O2","nurses"
"323.02252-354.7",323.02252,354.7,"DTXSID9020299","Chlorobenzilate","C16H14Cl2O3","nurses"
"323.14712-446.6",323.14712,446.6,"DTXSID1023732","VALACYCLOVIR","C13H20N6O4","nurses"
"326.97205-63.3",326.97205,63.3,"DTXSID30891564","4:2 FLUOROTELOMER SULFONIC ACID","C6H5F9O3S","nurses"
"327.05943-885",327.05943,885,"DTXSID4057683","Chlorexolone","C14H17ClN2O3S","nurses"
"329.10572-611.6",329.10572,611.6,"DTXSID20231551","4H-1-Benzopyran-4-one 23-dihydro-57-dihydroxy-2-(2-hydroxy-5-methoxyphenyl)-68-dimethyl- (S)-","C18H18O6","nurses"
"329.10572-611.6",329.10572,611.6,"DTXSID4044901","Triallyl trimellitate","C18H18O6","nurses"
"329.19062-1162.2",329.19062,1162.2,"DTXSID7029241","24-Bis(1-methyl-1-phenylethyl)phenol","C24H26O","nurses"
"337.03809-349.8",337.03809,349.8,"DTXSID5041778","Chloropropylate","C17H16Cl2O3","nurses"
"337.31069-1169.1",337.31069,1169.1,"DTXSID6027975","Stearyl methacrylate","C22H42O2","nurses"
"337.31069-1169.1",337.31069,1169.1,"DTXSID7027099","Butyl cis-9-octadecenoate","C22H42O2","nurses"
"337.31069-1169.1",337.31069,1169.1,"DTXSID8026931","(13Z)-Docos-13-enoic acid","C22H42O2","nurses"
"341.12168-86.9",341.12168,86.9,"DTXSID8046905","Sodium dibunate","C18H23NaO3S","nurses"
"342.98362-421.7",342.98362,421.7,"DTXSID50880213","METHYL PERFLUORO(2-PROPOXYPROPANOATE)","C7H3F11O3","nurses"
"345.13213-342.3",345.13213,342.3,"DTXSID0020656","Gibberellic acid","C19H22O6","nurses"
"349.03793-372.7",349.03793,372.7,"DTXSID7025429","6-Hydroxy-2-naphthyl disulfide","C20H14O2S2","nurses"
"349.20118-282.9",349.20118,282.9,"DTXSID3045980","Andrographolide","C20H30O5","nurses"
"351.01703-291.1",351.01703,291.1,"DTXSID4052269","Triphenylstibine","C18H15Sb","nurses"
"355.03274-325.1",355.03274,325.1,"DTXSID60319362","2326-Dichloro-14-ethyl1121:2431-terphenyl-2225-dione","C20H14Cl2O2","nurses"
"357.13682-547.7",357.13682,547.7,"DTXSID7029611","Triethylene glycol dibenzoate","C20H22O6","nurses"
"359.149-86.4",359.149,86.4,"DTXSID1023603","Succinylcholine chloride","C14H30Cl2N2O4","nurses"
"359.15729-333.5",359.15729,333.5,"DTXSID3020918","NN-Di-2-naphthyl-p-phenylenediamine","C26H20N2","nurses"
"359.15729-333.5",359.15729,333.5,"DTXSID80241555","Thiochrome caproate","C18H24N4O2S","nurses"
"365.09416-817.5",365.09416,817.5,"DTXSID7022629","Atovaquone","C22H19ClO3","nurses"
"366.95984-636.6",366.95984,636.6,"DTXSID3061215","27-Anthracenedisulfonic acid 910-dihydro-910-dioxo- disodium salt","C14H8O8S2","nurses"
"369.11532-502",369.11532,502,"DTXSID0046804","Pimobendan hydrochloride","C19H19ClN4O2","nurses"
"372.10051-77.5",372.10051,77.5,"DTXSID1048596","Deferasirox","C21H15N3O4","nurses"
"375.11907-324.7",375.11907,324.7,"DTXSID80172613","Pyranthrene","C30H16","nurses"
"377.1499-227.4",377.1499,227.4,"DTXSID4046282","AMBRISENTAN","C22H22N2O4","nurses"
"380.94489-363.4",380.94489,363.4,"DTXSID60380390","222-TRIFLUOROETHYL PERFLUOROBUTANESULFONATE","C6H2F12O3S","nurses"
"382.12605-672.3",382.12605,672.3,"DTXSID1045611","(1S9R)-beta-Hydrastine","C21H21NO6","nurses"
"382.12605-672.3",382.12605,672.3,"DTXSID9025409","Hydrastine","C21H21NO6","nurses"
"383.19136-193.1",383.19136,193.1,"DTXSID3040980","Bortezomib","C19H25BN4O4","nurses"
"385.20702-241.4",385.20702,241.4,"DTXSID9048930","Dl-cis-3-Methylfentanyl hydrochloride","C23H31ClN2O","nurses"
"389.13426-350.8",389.13426,350.8,"DTXSID0049070","Sultopride hydrochloride","C17H27ClN2O4S","nurses"
"389.13466-431.4",389.13466,431.4,"DTXSID4057712","Lexiscan","C15H18N8O5","nurses"
"390.13735-350.3",390.13735,350.3,"DTXSID3047342","SR125047","C22H27Cl2NO","nurses"
"393.37237-1165.4",393.37237,1165.4,"DTXSID8067733","9-Octadecenoic acid (9Z)- octyl ester","C26H50O2","nurses"
"395.1296-48.5",395.1296,48.5,"DTXSID5042083","Kadethrin","C23H24O4S","nurses"
"395.38842-1164.1",395.38842,1164.1,"DTXSID5066792","Dodecanoic acid tetradecyl ester","C26H52O2","nurses"
"395.38842-1164.1",395.38842,1164.1,"DTXSID9047178","2-Ethylhexyl octadecanoate","C26H52O2","nurses"
"409.09512-303.5",409.09512,303.5,"DTXSID6034764","Nicosulfuron","C15H18N6O6S","nurses"
"409.09512-303.5",409.09512,303.5,"DTXSID6034928","Spirodiclofen","C21H24Cl2O4","nurses"
"409.09512-303.5",409.09512,303.5,"DTXSID9034573","Ethametsulfuron-methyl","C15H18N6O6S","nurses"
"409.10896-74.2",409.10896,74.2,"DTXSID8026303","p-Xylenol blue","C23H22O5S","nurses"
"409.36742-1163.1",409.36742,1163.1,"DTXSID9025247","910-Epoxyoctadecanoic acid 2-ethylhexyl ester","C26H50O3","nurses"
"411.24247-502.2",411.24247,502.2,"DTXSID2036457","Ethanol 2-2-2-(tridecyloxy)ethoxyethoxy- hydrogen sulfate sodium salt","C19H40O7S","nurses"
"412.13689-643.2",412.13689,643.2,"DTXSID4023385","Noscapine","C22H23NO7","nurses"
"413.15633-209.4",413.15633,209.4,"DTXSID50881104","DILTIAZEM","C22H26N2O4S","nurses"
"413.15633-209.4",413.15633,209.4,"DTXSID9022940","()-Diltiazem","C22H26N2O4S","nurses"
"417.26306-600.7",417.26306,600.7,"DTXSID0023581","Simvastatin","C25H38O5","nurses"
"418.10582-76.2",418.10582,76.2,"DTXSID4023252","Mepenzolate bromide","C21H26BrNO3","nurses"
"418.10582-76.2",418.10582,76.2,"DTXSID7023277","Methantheline bromide","C21H26BrNO3","nurses"
"420.07824-218.5",420.07824,218.5,"DTXSID3048520","Piragliatin","C19H20ClN3O4S","nurses"
"429.22524-864.1",429.22524,864.1,"DTXSID8020202","Budesonide","C25H34O6","nurses"
"432.12147-79.3",432.12147,79.3,"DTXSID2023480","Pipenzolate bromide","C22H28BrNO3","nurses"
"433.15331-76.7",433.15331,76.7,"DTXSID9046310","cis-Flupentixol","C23H25F3N2OS","nurses"
"441.1517-87.7",441.1517,87.7,"DTXSID6047783","Acetopromazine maleate","C23H26N2O5S","nurses"
"445.24599-1139.2",445.24599,1139.2,"DTXSID8034376","Denatonium benzoate","C28H34N2O3","nurses"
"445.33212-917.9",445.33212,917.9,"DTXSID5052173","Bis(2-propylheptyl) phthalate","C28H46O4","nurses"
"453.0485-336.3",453.0485,336.3,"DTXSID90583413","4-((PERFLUOROHEXYL)ETHYL)PHENYLMETHANOL","C15H11F13O","nurses"
"459.18017-371.2",459.18017,371.2,"DTXSID2044971","222-Methanetriyltris(benzene-41-diyloxymethanediyl)trioxirane","C28H28O6","nurses"
"459.20376-246.7",459.20376,246.7,"DTXSID1048964","Prednisolone 21-hemisuccinate","C25H32O8","nurses"
"469.35223-800.5",469.35223,800.5,"DTXSID6021375","Tricaprylin","C27H50O6","nurses"
"478.19801-392.4",478.19801,392.4,"DTXSID6023363","Nicardipine","C26H29N3O6","nurses"
