"featureid","mz","time","DTXSID","Compound","Formula","population"
"102.12748-59.6",102.12748,59.6,"DTXSID3024366","Triethylamine","C6H15N","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID4025113","13-Dimethylbutylamine","C6H15N","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID6025276","N-Ethyl-N-butylamine","C6H15N","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID6063305","2-Propanamine N-(1-methylethyl)- lithium salt","C6H15N","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID8047472","NN-Dimethylbutylamine","C6H15N","nurses"
"102.12748-59.6",102.12748,59.6,"DTXSID9025085","Diisopropylamine","C6H15N","nurses"
"116.14307-55.7",116.14307,55.7,"DTXSID5066116","4-Heptanamine","C7H17N","nurses"
"116.14307-55.7",116.14307,55.7,"DTXSID9027497","2-Butanamine N-ethyl-3-methyl-","C7H17N","nurses"
"123.04296-236.1",123.04296,236.1,"DTXSID1020140","Sodium benzoate","C7H6O2","nurses"
"123.04296-236.1",123.04296,236.1,"DTXSID1021792","Salicylaldehyde","C7H6O2","nurses"
"123.04296-236.1",123.04296,236.1,"DTXSID1027219","Potassium benzoate","C7H6O2","nurses"
"123.04296-236.1",123.04296,236.1,"DTXSID6020143","Benzoic acid","C7H6O2","nurses"
"123.04296-236.1",123.04296,236.1,"DTXSID9049295","(E)-3-(2-Furyl)acrolein","C7H6O2","nurses"
"133.10118-1154.5",133.10118,1154.5,"DTXSID1026118","Tetralin","C10H12","nurses"
"133.10118-1154.5",133.10118,1154.5,"DTXSID5025023","Dicyclopentadiene","C10H12","nurses"
"137.07062-106",137.07062,106,"DTXSID6020149","Benzoyl hydrazine","C7H8N2O","nurses"
"137.07062-106",137.07062,106,"DTXSID7038814","4-Aminobenzamide","C7H8N2O","nurses"
"137.07062-106",137.07062,106,"DTXSID9021053","Nitrosomethylaniline","C7H8N2O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID0044571","3-Isopropylphenol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID1047071","2-Methylphenethyl alcohol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID2044391","2-Isopropylphenol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID3027247","2-Phenylpropan-2-ol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID5042299","4-Isopropylphenol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID6022187","236-Trimethylphenol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID6041638","3-Phenyl-1-propanol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID7022049","246-Trimethylphenol","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID80164795","4-Ethylanisole","C9H12O","nurses"
"137.09614-471.2",137.09614,471.2,"DTXSID9022100","4-Propylphenol","C9H12O","nurses"
"144.98211-58.5",144.98211,58.5,"DTXSID7024085","Ethephon","C2H6ClO3P","nurses"
"147.08044-1154.5",147.08044,1154.5,"DTXSID1031626","Methyl trans-styryl ketone","C10H10O","nurses"
"147.08044-1154.5",147.08044,1154.5,"DTXSID4025587","2-Methylcinnamic aldehyde","C10H10O","nurses"
"147.08044-1154.5",147.08044,1154.5,"DTXSID4025662","Methyl styryl ketone","C10H10O","nurses"
"149.13242-1154.5",149.13242,1154.5,"DTXSID1024704","4-tert-Butyltoluene","C11H16","nurses"
"152.10697-162.1",152.10697,162.1,"DTXSID3041293","2-((Dimethylamino)methyl)phenol","C9H13NO","nurses"
"159.11698-512.9",159.11698,512.9,"DTXSID9047176","4-Phenyl-1-cyclohexene","C12H14","nurses"
"160.07569-122.2",160.07569,122.2,"DTXSID3046401","Tiliquinol","C10H9NO","nurses"
"160.07569-122.2",160.07569,122.2,"DTXSID90276858","5-methyl-4-phenyl-13-oxazole","C10H9NO","nurses"
"161.13268-1154.5",161.13268,1154.5,"DTXSID0022305","4-tert-Butylstyrene","C12H16","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID0021254","Safrole","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID0057700","5-Hydroxy-1-tetralone","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID2020767","Isosafrole","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID2044898","4-Ethenylphenyl acetate","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID3021803","1-Benzoylacetone","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID4047206","trans-2-Methoxycinnamaldehyde","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID5044314","Methyl (E)-cinnamate","C10H10O2","nurses"
"163.07548-301.6",163.07548,301.6,"DTXSID7021657","11-(14-Phenylene)bis-ethanone","C10H10O2","nurses"
"165.05497-875.6",165.05497,875.6,"DTXSID4025610","Methyl 4-formylbenzoate","C9H8O3","nurses"
"165.05497-875.6",165.05497,875.6,"DTXSID40218945","5-Acetylsalicylaldehyde","C9H8O3","nurses"
"165.05497-875.6",165.05497,875.6,"DTXSID9065867","Benzeneacetic acid alpha-oxo- methyl ester","C9H8O3","nurses"
"172.02819-65.7",172.02819,65.7,"DTXSID7020976","Nitrogen mustard N-oxide","C5H11Cl2NO","nurses"
"180.02114-290.1",180.02114,290.1,"DTXSID4045973","Cloxyquin","C9H6ClNO","nurses"
"181.07246-157.8",181.07246,157.8,"DTXSID4048729","DL-GLUCOSE","C6H12O6","nurses"
"181.07246-157.8",181.07246,157.8,"DTXSID5023081","D-Fructose","C6H12O6","nurses"
"181.07246-157.8",181.07246,157.8,"DTXSID7022910","D-GLUCOSE","C6H12O6","nurses"
"181.08613-318.4",181.08613,318.4,"DTXSID1044770","4-Methoxybenzyl acetate","C10H12O3","nurses"
"181.08613-318.4",181.08613,318.4,"DTXSID4022527","Propylparaben","C10H12O3","nurses"
"181.08613-318.4",181.08613,318.4,"DTXSID6057829","Ethyl mandelate","C10H12O3","nurses"
"181.08613-318.4",181.08613,318.4,"DTXSID9052181","4-(1-Hydroxyethyl)phenyl acetate","C10H12O3","nurses"
"189.04825-333.1",189.04825,333.1,"DTXSID00318975","4H-Pyrrolo12-athieno32-f14diazepine","C10H8N2S","nurses"
"189.12763-1154.4",189.12763,1154.4,"DTXSID5048182","Cyclohexylphenylketone","C13H16O","nurses"
"189.12763-1154.4",189.12763,1154.4,"DTXSID9047419","5-Methyl-2-phenyl-2-hexenal","C13H16O","nurses"
"189.16402-1154.5",189.16402,1154.5,"DTXSID7027598","Triisopropyl orthoborate","C9H21BO3","nurses"
"191.02198-100.2",191.02198,100.2,"DTXSID5021330","Tetrakis(hydroxymethyl)phosphonium chloride","C4H12ClO4P","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID1047607","3-Phenylprop-2-en-1-yl propanoate","C12H14O2","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID20238267","Cinnamaldehyde propyleneglycol acetal (2R4S)-","C12H14O2","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID3047130","Benzyl tiglate","C12H14O2","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID4047412","1-(4-Methoxyphenyl)-1-pentene-3-one","C12H14O2","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID6047606","(2E)-3-Phenylprop-2-en-1-yl propanoate","C12H14O2","nurses"
"191.10682-361.9",191.10682,361.9,"DTXSID8047131","3-Methyl-2-butenyl benzoate","C12H14O2","nurses"
"191.14328-921",191.14328,921,"DTXSID7051632","3-(3-Isopropylphenyl)butanal","C13H18O","nurses"
"191.14328-921",191.14328,921,"DTXSID8052358","3-(2-Ethylphenyl)-22-dimethylpropanal","C13H18O","nurses"
"191.14328-921",191.14328,921,"DTXSID2044769","Cyclamen aldehyde","C13H18O","nurses"
"191.14328-921",191.14328,921,"DTXSID6044808","3-(4-tert-Butylphenyl)propanal","C13H18O","nurses"
"191.14328-921",191.14328,921,"DTXSID6041397","Damascenone","C13H18O","nurses"
"191.14328-921",191.14328,921,"DTXSID5052129","5-Methyl-5-phenylhexan-3-one","C13H18O","nurses"
"192.1596-200.9",192.1596,200.9,"DTXSID5021415","Triisopropanolamine","C9H21NO3","nurses"
"195.08859-235.8",195.08859,235.8,"DTXSID2038813","13-Benzenedicarboxylic acid dihydrazide","C8H10N4O2","nurses"
"195.08859-235.8",195.08859,235.8,"DTXSID9045186","Enprofylline","C8H10N4O2","nurses"
"195.08859-235.8",195.08859,235.8,"DTXSID0020232","Caffeine","C8H10N4O2","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID3020209","Butylparaben","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID3047186","Isobutyl salicylate","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID4020749","Isobutylparaben","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID5044607","sec-Butylparaben","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID7044895","tert-Butyl 4-hydroxybenzoate","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID8047420","4-(4-Hydroxy-3-methoxyphenyl)-2-butanone","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID8047428","(4-Methylphenoxy) acetic acid ethyl ester","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID9024699","tert-Butyl perbenzoate","C11H14O3","nurses"
"195.10183-472.9",195.10183,472.9,"DTXSID9047203","Phenoxyethyl propionate","C11H14O3","nurses"
"197.01824-150.1",197.01824,150.1,"DTXSID50880218","1H1H2H-PERFLUOROCYCLOPENTANE","C5H3F7","nurses"
"197.15395-1031",197.15395,1031,"DTXSID0020654","Geranyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID0041357","Ethyl (2E4Z)-deca-24-dienoate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID0044604","14-Bis(ethenyloxy)methylcyclohexane","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID2026496","alpha-Terpinyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID2047068","cis-37-Dimethyl-26-octadien-1-yl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID30306042","NSC173759","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID3052228","(-)Bronyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID7026946","Linalyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID7041675","Bornyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID7042061","Isobornyl acetate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID8044755","Prop-2-en-1-yl 3-cyclohexylpropanoate","C12H20O2","nurses"
"197.15395-1031",197.15395,1031,"DTXSID9044900","Tricyclodecanedimethanol","C12H20O2","nurses"
"201.04738-539.7",201.04738,539.7,"DTXSID3057729","4-Chloro-1-(4-fluorophenyl)-1-butanone","C10H10ClFO","nurses"
"207.13824-1154.4",207.13824,1154.4,"DTXSID1024702","tert-Butyl phenyl glycidyl ether","C13H18O2","nurses"
"207.13824-1154.4",207.13824,1154.4,"DTXSID2047567","2-Phenylethyl 2-methylbutanoate","C13H18O2","nurses"
"207.13824-1154.4",207.13824,1154.4,"DTXSID5020732","Ibuprofen","C13H18O2","nurses"
"207.13824-1154.4",207.13824,1154.4,"DTXSID9025403","Hexyl benzoate","C13H18O2","nurses"
"212.06851-408.1",212.06851,408.1,"DTXSID2020971","2-Nitrofluorene","C13H9NO2","nurses"
"212.06851-408.1",212.06851,408.1,"DTXSID9040215","3-(Dimethylphosphono)-N-methylolpropionamide","C6H14NO5P","nurses"
"212.20105-622.8",212.20105,622.8,"DTXSID0066113","3-(Decyloxy)propionitrile","C13H25NO","nurses"
"212.20105-622.8",212.20105,622.8,"DTXSID5047039","N-Ethyl-4-menthane-3-carboxamide","C13H25NO","nurses"
"212.99982-68.1",212.99982,68.1,"DTXSID00369341","22-BIS(TRIFLUOROMETHYL)-2-HYDROXYACETIC ACID","C4H2F6O3","nurses"
"215.16442-619.6",215.16442,619.6,"DTXSID7044556","3-O-Acetyl-15-anhydro-24-dideoxy-2-pentylpentitol","C12H22O3","nurses"
"215.16442-619.6",215.16442,619.6,"DTXSID7044976","22-Bis(prop-2-en-1-yloxy)methylbutan-1-ol","C12H22O3","nurses"
"219.13863-512.9",219.13863,512.9,"DTXSID4025454","3-Methylbutyl cinnamate","C14H18O2","nurses"
"221.18603-57.5",221.18603,57.5,"DTXSID6044565","33-Oxybis(ethane-21-diyloxy)dipropan-1-amine","C10H24N2O3","nurses"
"222.03189-290.3",222.03189,290.3,"DTXSID6057663","Pmic chloride","C11H8ClNO2","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID1044851","2-Hydroxy-3-phenoxypropyl prop-2-enoate","C12H14O4","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID1047150","tert-Butyl hydrogen phthalate","C12H14O4","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID2020470","Diglycidyl resorcinol ether","C12H14O4","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID4040002","Monobutyl phthalate","C12H14O4","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID7021780","Diethyl phthalate","C12H14O4","nurses"
"223.09674-318.1",223.09674,318.1,"DTXSID9047201","Vanillin isobutyrate","C12H14O4","nurses"
"223.12374-643.2",223.12374,643.2,"DTXSID60276325","CHEMBL306751","C15H14N2","nurses"
"223.13346-632.3",223.13346,632.3,"DTXSID1044514","Hexylparaben","C13H18O3","nurses"
"223.13346-632.3",223.13346,632.3,"DTXSID4038924","Hexyl salicylate","C13H18O3","nurses"
"227.10881-65",227.10881,65,"DTXSID3044839","Ethenyltris(prop-1-en-2-yloxy)silane","C11H18O3Si","nurses"
"227.10881-65",227.10881,65,"DTXSID40307343","butyl 2-(4-fluorophenoxy)acetate","C12H15FO3","nurses"
"227.10881-65",227.10881,65,"DTXSID6047157","3-(2-Methyl-3-furylthio)-4-heptanone","C12H18O2S","nurses"
"227.10881-65",227.10881,65,"DTXSID9047590","2-Phenylethyl benzoate","C15H14O2","nurses"
"227.16465-841",227.16465,841,"DTXSID2029325","Methyl dihydrojasmonate","C13H22O3","nurses"
"231.02156-62.4",231.02156,62.4,"DTXSID6045666","Guanabenz","C8H8Cl2N4","nurses"
"235.13343-724.7",235.13343,724.7,"DTXSID6049068","Stiripentol","C14H18O3","nurses"
"236.07454-85.5",236.07454,85.5,"DTXSID0023951","Carboxin","C12H13NO2S","nurses"
"237.18527-925.4",237.18527,925.4,"DTXSID1020697","1-O-Hexyl-235-trimethylhydroquinone","C15H24O2","nurses"
"237.18527-925.4",237.18527,925.4,"DTXSID7020211","di-tert-Butyl-4-hydroxymethyl phenol","C15H24O2","nurses"
"237.18527-925.4",237.18527,925.4,"DTXSID8041379","26-Di-tert-butyl-4-methoxyphenol","C15H24O2","nurses"
"237.18527-925.4",237.18527,925.4,"DTXSID9047413","Geranyl tiglate","C15H24O2","nurses"
"241.14177-471.6",241.14177,471.6,"DTXSID5044867","22-Dimethylpropane-13-diyl bis(2-methylprop-2-enoate)","C13H20O4","nurses"
"242.03907-566.1",242.03907,566.1,"DTXSID6047941","1-Ethyl-1-methylpyrrolidinium iodide","C7H16IN","nurses"
"242.10027-80.2",242.10027,80.2,"DTXSID4047173","Sodium pantothenate","C9H16NNaO5","nurses"
"242.10027-80.2",242.10027,80.2,"DTXSID6023286","Methocarbamol","C11H15NO5","nurses"
"242.1154-269.2",242.1154,269.2,"DTXSID0021121","Phenformin hydrochloride","C10H16ClN5","nurses"
"247.14518-185.8",247.14518,185.8,"DTXSID2020923","Nefiracetam","C14H18N2O2","nurses"
"248.05909-837",248.05909,837,"DTXSID1034634","Forchlorfenuron","C12H10ClN3O","nurses"
"250.0453-246.4",250.0453,246.4,"DTXSID5057832","2-Amino-5-chloro-2-fluorobenzophenone","C13H9ClFNO","nurses"
"251.12553-506.3",251.12553,506.3,"DTXSID2040731","Diisopropyl phthalate","C14H18O4","nurses"
"251.12553-506.3",251.12553,506.3,"DTXSID5031133","Dipropyl phthalate","C14H18O4","nurses"
"251.20095-944.6",251.20095,944.6,"DTXSID5044992","25-Bis(2-methylbutan-2-yl)benzene-14-diol","C16H26O2","nurses"
"251.20095-944.6",251.20095,944.6,"DTXSID8047686","(3aR)-()-Sclareolide","C16H26O2","nurses"
"251.20095-944.6",251.20095,944.6,"DTXSID1058680","2-4-(244-Trimethyl-2-pentanyl)phenoxyethanol","C16H26O2","nurses"
"255.13617-574.3",255.13617,574.3,"DTXSID0023321","MIDODRINE","C12H18N2O4","nurses"
"259.0946-162.7",259.0946,162.7,"DTXSID4034102","Yangonin","C15H14O4","nurses"
"259.0946-162.7",259.0946,162.7,"DTXSID4047886","(24-dimethoxyphenyl)(4-hydroxyphenyl)methanone","C15H14O4","nurses"
"259.10692-144.8",259.10692,144.8,"DTXSID5024554","44-Dimethoxyazoxybenzene","C14H14N2O3","nurses"
"259.20597-817.5",259.20597,817.5,"DTXSID7041544","6-Acetyl-112447-hexamethyltetralin","C18H26O","nurses"
"259.20597-817.5",259.20597,817.5,"DTXSID8027373","Cyclopentag-2-benzopyran 134678-hexahydro-466788-hexamethyl-","C18H26O","nurses"
"261.18916-271",261.18916,271,"DTXSID5069415","2-Mercaptoethyl laurate","C14H28O2S","nurses"
"264.09264-313.4",264.09264,313.4,"DTXSID3045805","Tulobuterol hydrochloride","C12H19Cl2NO","nurses"
"267.09719-301.6",267.09719,301.6,"DTXSID4024064","Dinex","C12H14N2O5","nurses"
"267.21152-942.3",267.21152,942.3,"DTXSID4048193","44-Di-tert-butylbiphenyl","C20H26","nurses"
"268.10296-45.2",268.10296,45.2,"DTXSID8020127","3-Azido-3-deoxythymidine","C10H13N5O4","nurses"
"268.10296-45.2",268.10296,45.2,"DTXSID1022558","Adenosine","C10H13N5O4","nurses"
"269.12667-186.2",269.12667,186.2,"DTXSID0020733","ICRF-159","C11H16N4O4","nurses"
"269.12667-186.2",269.12667,186.2,"DTXSID6049303","14-Dimethylamino-4-nitrostilbene","C16H16N2O2","nurses"
"269.12667-186.2",269.12667,186.2,"DTXSID9036854","NN-DIACETYLBENZIDINE","C16H16N2O2","nurses"
"269.24803-913.5",269.24803,913.5,"DTXSID8029236","Tridecyl methacrylate","C17H32O2","nurses"
"271.13076-643.6",271.13076,643.6,"DTXSID9037745","4-tert-Butylphenyl salicylate","C17H18O3","nurses"
"275.11014-110.9",275.11014,110.9,"DTXSID7027095","Diallyl diglycol carbonate","C12H18O7","nurses"
"277.10505-472.9",277.10505,472.9,"DTXSID1036545","Triphenylsilanol","C18H16OSi","nurses"
"285.22195-946.3",285.22195,946.3,"DTXSID5025998","Retinal","C20H28O","nurses"
"285.22195-946.3",285.22195,946.3,"DTXSID4021478","Lynestrenol","C20H28O","nurses"
"285.22195-946.3",285.22195,946.3,"DTXSID0025997","13-cis-Retinal","C20H28O","nurses"
"287.10048-166.6",287.10048,166.6,"DTXSID5045758","Benazoline oxalate","C15H14N2O4","nurses"
"287.12625-462.1",287.12625,462.1,"DTXSID0022436","Diphenolic acid","C17H18O4","nurses"
"287.2009-1154.4",287.2009,1154.4,"DTXSID8024523","4-Androstene-317-dione","C19H26O2","nurses"
"287.23725-1168.3",287.23725,1168.3,"DTXSID00240267","26-Dicyclopentyl-5-isopropyl-m-cresol","C20H30O","nurses"
"287.23725-1168.3",287.23725,1168.3,"DTXSID3023556","Retinol","C20H30O","nurses"
"288.14438-143",288.14438,143,"DTXSID4047969","Trolamine salicylate","C13H21NO6","nurses"
"291.23254-884.3",291.23254,884.3,"DTXSID9022609","Androstenediol","C19H30O2","nurses"
"291.23254-884.3",291.23254,884.3,"DTXSID9022364","5alpha-Dihydrotestosterone","C19H30O2","nurses"
"291.23254-884.3",291.23254,884.3,"DTXSID3036525","Androsterone","C19H30O2","nurses"
"293.24827-949.9",293.24827,949.9,"DTXSID5041560","Methyl linolenate","C19H32O2","nurses"
"295.2635-1182.2",295.2635,1182.2,"DTXSID7020843","Methyl linoleate","C19H34O2","nurses"
"296.1473-312.4",296.1473,312.4,"DTXSID6023490","Pizotyline","C19H21NS","nurses"
"297.10736-538.9",297.10736,538.9,"DTXSID1049302","1-Iodododecane","C12H25I","nurses"
"298.15811-142.9",298.15811,142.9,"DTXSID2046709","Piperocaine hydrochloride","C16H24ClNO2","nurses"
"298.1647-154.5",298.1647,154.5,"DTXSID5046271","Pipofezine","C16H19N5O","nurses"
"298.18188-668.5",298.18188,668.5,"DTXSID7023140","Ibuprofen piconol","C19H23NO2","nurses"
"300.08056-836.7",300.08056,836.7,"DTXSID0040672","Fenbendazole","C15H13N3O2S","nurses"
"300.08056-836.7",300.08056,836.7,"DTXSID5046279","Frentizole","C15H13N3O2S","nurses"
"302.19627-268",302.19627,268,"DTXSID6045955","Tegaserod","C16H23N5O","nurses"
"307.10985-958.4",307.10985,958.4,"DTXSID3020627","Fluconazole","C13H12F2N6O","nurses"
"307.22702-884.5",307.22702,884.5,"DTXSID8023399","OXANDROLONE","C19H30O3","nurses"
"309.15311-95.5",309.15311,95.5,"DTXSID90294476","diethyldimethyl(phenyl)silylmethylpropanedioate","C16H24O4Si","nurses"
"309.24291-921.6",309.24291,921.6,"DTXSID9058600","2-2-(4-Nonylphenoxy)ethoxyethanol","C19H32O3","nurses"
"310.14203-549.3",310.14203,549.3,"DTXSID7023067","Fluoxetine","C17H18F3NO","nurses"
"310.16488-204.6",310.16488,204.6,"DTXSID8038801","N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine","C17H19N5O","nurses"
"310.17594-167",310.17594,167,"DTXSID8024157","Isopropalin","C15H23N3O4","nurses"
"310.27419-1096.8",310.27419,1096.8,"DTXSID1022926","DICYCLOMINE","C19H35NO2","nurses"
"311.10643-69",311.10643,69,"DTXSID4049036","Dexchlorpheniramine hydrochloride","C16H20Cl2N2","nurses"
"311.23743-1154.5",311.23743,1154.5,"DTXSID6022898","Desogestrel","C22H30O","nurses"
"315.08139-213",315.08139,213,"DTXSID6044226","Valdecoxib","C16H14N2O3S","nurses"
"315.23236-819.8",315.23236,819.8,"DTXSID6021327","Tetrahydrocannabinol","C21H30O2","nurses"
"315.23236-819.8",315.23236,819.8,"DTXSID3022370","Progesterone","C21H30O2","nurses"
"317.11252-106",317.11252,106,"DTXSID5047871","1-Hexyl-3-methylimidazolium trifluoromethanesulfonate","C11H19F3N2O3S","nurses"
"317.24871-945.1",317.24871,945.1,"DTXSID1036541","Pregnenolone","C21H32O2","nurses"
"317.24871-945.1",317.24871,945.1,"DTXSID9048190","Methyl abietate","C21H32O2","nurses"
"319.13631-140.1",319.13631,140.1,"DTXSID5044576","Acetyltriethyl citrate","C14H22O8","nurses"
"319.26313-962.8",319.26313,962.8,"DTXSID1046342","Eltanolone","C21H34O2","nurses"
"321.27884-988.7",321.27884,988.7,"DTXSID6046218","Pregnandiol","C21H36O2","nurses"
"322.21198-186.6",322.21198,186.6,"DTXSID4044400","Tetrabutylammonium bromide","C16H36BrN","nurses"
"323.18627-760.6",323.18627,760.6,"DTXSID4022315","Zearalanol","C18H26O5","nurses"
"324.13784-337.6",324.13784,337.6,"DTXSID9023095","Gliclazide","C15H21N3O3S","nurses"
"325.31018-1141.6",325.31018,1141.6,"DTXSID9059412","9-Octadecenoic acid (9Z)- 1-methylethyl ester","C21H40O2","nurses"
"327.09026-89.1",327.09026,89.1,"DTXSID3027403","Tributyltin chloride","C12H27ClSn","nurses"
"327.11811-632.2",327.11811,632.2,"DTXSID4040268","Dinobuton","C14H18N2O7","nurses"
"329.07253-836.7",329.07253,836.7,"DTXSID4057683","Chlorexolone","C14H17ClN2O3S","nurses"
"329.14228-82.8",329.14228,82.8,"DTXSID3042261","Pencycuron","C19H21ClN2O","nurses"
"329.24757-994",329.24757,994,"DTXSID6021240","Retinol acetate","C22H32O2","nurses"
"329.24757-994",329.24757,994,"DTXSID2057730","Promestriene","C22H32O2","nurses"
"330.14497-426.4",330.14497,426.4,"DTXSID3045190","Quipazine maleate","C17H19N3O4","nurses"
"331.22494-886",331.22494,886,"DTXSID0045254","21-Hydroxyprogesterone","C21H30O3","nurses"
"331.22494-886",331.22494,886,"DTXSID3020380","Dehydroepiandrosterone acetate","C21H30O3","nurses"
"331.22494-886",331.22494,886,"DTXSID6040747","17alpha-Hydroxyprogesterone","C21H30O3","nurses"
"333.24103-895.7",333.24103,895.7,"DTXSID5023794","Oxymetholone","C21H32O3","nurses"
"333.24103-895.7",333.24103,895.7,"DTXSID9022576","Alphaxalone","C21H32O3","nurses"
"335.25831-968.5",335.25831,968.5,"DTXSID20316978","tetradecyl 4-hydroxybenzoate","C21H34O3","nurses"
"341.24789-945.8",341.24789,945.8,"DTXSID10242070","66-Di-tert-butyl-44-methylenedi-o-cresol","C23H32O2","nurses"
"341.24789-945.8",341.24789,945.8,"DTXSID4020870","22-Methylenebis(4-methyl-6-tert-butylphenol)","C23H32O2","nurses"
"341.24789-945.8",341.24789,945.8,"DTXSID5057834","Dimethisteron","C23H32O2","nurses"
