,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,cv_N/CV_OW,sdN/Sd_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,interest for fragmentation,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2xfb, higher N"
11,429.1252-160.8,7238,429.1252,160.8,95.83333333,81.25,0,14.58333333,14417.52646,17436.3332,120.9384512,8088.566113,NA,17723.57007,28485.98015,160.7237144,8767.854786,NA,0.752461773,0.612102273,0,0,NA,0,NA,3,49541.2844,Unique,429.1292416,9.42,C21H20N2O8,428.12197,M+H,16070.54826,0,1,DTXSID0038700,DTXSID0038700-BTMR0171,2-Methoxy-4-nitroaniline,,COc1cc([N+](=O)[O-])ccc1N,2-methoxy-4-nitroaniline,C7H8N2O3,168.053492,"ERactive, VBtoxcast",,,,,,,,,,,,1,0,,,,,,1,-5.114555,8.9132,8,,,0,0,nurses1,1.5159234,0.587356378,2.580926092,0.010591729,1,1,pos,1,1
12,753.80362-331.6,7254,753.80362,331.6,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,#VALUE!,#DIV/0!,0,0,NA,0,NA,1,9,Unique,753.8062955,3.55,C19H23Br4N3O7S,752.79902,M+H,0,NA,0,DTXSID0047957,DTXSID0047957-BTMR0197,Octylparaben,,CCCCCCCCOC(=O)c1ccc(O)cc1,octyl 4-hydroxybenzoate,C15H22O3,250.156895,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.268,,,,,,1,-0.745082941,21.87423109,4,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
13,402.1622-503.7,7258,402.1622,503.7,71.66666667,62.5,100,9.166666667,508.9808195,609.550127,119.7589582,238.576124,NA,578.4078498,783.9227933,135.531147,114.9702971,NA,0.883626833,0.77756398,2205.34701,1430.553998,64.86752387,2063.70214,1478.174703,2,10,Multiple,402.1659615,9.35,C20H23N3O6,401.15869,M+H,543.6943346,405.6225841,0,DTXSID0059879,DTXSID0059879-BTMR0165,"1H,1H,5H-PERFLUOROPENTANOL",,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,"2,2,3,3,4,4,5,5-octafluoropentan-1-ol",C5H4F8O,232.013441,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
14,402.16282-558.1,7258,402.16282,558.1,65,53.75,16.66666667,11.25,1092.514736,1069.563794,97.89925558,1007.53098,NA,856.8947974,1072.987554,125.2181198,212.347196,NA,0.781829784,0.996809133,210.6191579,498.3212989,236.5982772,0,NA,2,10,Multiple,402.1659615,7.81,C20H23N3O6,401.15869,M+H,974.7047667,21.60850804,1,DTXSID0059879,DTXSID0059879-BTMR0165,"1H,1H,5H-PERFLUOROPENTANOL",1,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,"2,2,3,3,4,4,5,5-octafluoropentan-1-ol",C5H4F8O,232.013441,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,1.209960087,0.397951732,3.040469461,0.002688301,1,1,pos,0,1
15,287.13796-244.4,7270,287.13796,244.4,98.33333333,100,100,-1.666666667,7588.175563,4395.399496,57.92432528,6418.301898,NA,5664.16702,3694.903029,65.23294628,5016.292933,4363.435157,0.8879612,1.189584533,5849.032632,3677.186104,62.86827814,4528.233687,5121.644451,2,10,Unique,287.1390184,3.69,C16H18N2O3,286.13174,M+H,6626.171292,88.27167869,0,DTXSID1020221,DTXSID1020221-BTMR0166,4-tert-Butylphenol,,CC(C)(C)c1ccc(O)cc1,4-tert-butylphenol,C10H14O,150.104465,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.161,,,,,,1,-1.095254,12.76574,8,,,0,0,nurses1,0.371369792,0.215651246,1.722085072,0.086647927,1,1,pos,1,
16,287.13878-457.5,7270,287.13878,457.5,95.83333333,97.5,50,-1.666666667,11002.26305,10886.97231,98.9521179,8177.807734,NA,8021.291697,8169.430962,101.8468255,7069.463492,NA,0.971577831,1.332647569,240.0992573,343.9796255,143.2655933,54.62082594,NA,2,10,Unique,287.1390184,0.83,C16H18N2O3,286.13174,M+H,9511.777376,2.524231253,0,DTXSID1020221,DTXSID1020221-BTMR0166,4-tert-Butylphenol,,CC(C)(C)c1ccc(O)cc1,4-tert-butylphenol,C10H14O,150.104465,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.161,,,,,,1,-1.095254,12.76574,8,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
17,464.18193-74.3,7274,464.18193,74.3,85,88.75,0,-3.75,1258.098687,1236.394945,98.27487763,751.3308145,NA,1260.181057,1215.516358,96.45569194,883.2827278,NA,1.018860325,1.017176722,0,0,NA,0,NA,2,10,Multiple,464.1816115,0.69,C25H25N3O6,463.17434,M+H,1259.139872,0,0,DTXSID1020433-BTMR0171__DTXSID6020432,DTXSID1020433-BTMR0171__DTXSID6020432-BTMR0171,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,pos,#VALUE!,
18,464.18196-69.4,7274,464.18196,69.4,83.33333333,82.5,0,0.833333333,1042.65942,883.7652521,84.76068363,917.0749917,NA,1071.535234,962.1279553,89.78967046,829.2914322,NA,0.943991477,0.918552722,0,0,NA,0,NA,2,10,Multiple,464.1816115,0.75,C25H25N3O6,463.17434,M+H,1057.097327,0,0,DTXSID1020433-BTMR0171__DTXSID6020432,DTXSID1020433-BTMR0171__DTXSID6020432-BTMR0171,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,pos,#VALUE!,
19,395.11285-65,7323,395.11285,65,80,83.75,0,-3.75,749.259273,829.1107292,110.6573864,391.1915273,NA,727.1856005,680.7623829,93.61604279,584.5718191,NA,1.182034437,1.217915017,0,0,NA,0,NA,2,10,Unique,395.1125289,0.81,C22H18O7,394.10525,M+H,738.2224368,0,0,DTXSID1037486,DTXSID1037486-BTMR0167,"Alachlor,OA",,CCc1cccc(CC)c1N(COC)C(=O)C(=O)O,"2-[2,6-diethyl-N-(methoxymethyl)anilino]-2-oxoacetic acid",C14H19NO4,265.131408,pellizzari,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,NA,0,NA,NA,NA,0,1,pos,0,
20,412.2205-442.5,7334,412.2205,442.5,60,57.5,8.333333333,2.5,7481.618686,14608.03561,195.2523408,630.0415146,NA,1229.054189,1731.898509,140.9131122,114.9966632,NA,1.38562223,8.434694953,9.599020834,33.25198357,346.4101615,0,NA,1,9,Unique,412.2204023,0.24,C20H31N2O7,411.21313,M+H,4355.336438,0.22039677,0,DTXSID1040372,DTXSID1040372-BTMR0222,Epoxiconazole,1,Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1,"1-[[3-(2-chlorophenyl)-2-(4-fluorophenyl)oxiran-2-yl]methyl]-1,2,4-triazole",C17H13ClFN3O,329.073118,"P4Up, VBtoxcast",,,,,,,,,,,,,,,,1,3,,1,-1.245200896,7.985808021,20,,,0,0,nurses1,1.435633197,0.550017116,2.610160948,0.009756333,1,1,pos,1,1
21,344.98433-100.3,7346,344.98433,100.3,100,100,100,0,74794.84408,57973.55513,77.51009558,44378.31244,56149.74538,69349.28895,59667.16917,86.03861709,39242.39791,50819.97988,0.900875656,0.971615646,197190.2301,167889.8934,85.14108094,190543.9931,84455.36619,2,10,Unique,344.9837596,1.65,C6H5F9O4S,343.97648,M+H,72072.06651,273.6014654,0,DTXSID1046970,DTXSID1046970-BTMR0166,5HPP-33,,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,"2-[2,6-di(propan-2-yl)phenyl]-5-hydroxyisoindole-1,3-dione",C20H21NO3,323.152144,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.418,,,,,,1,-3.377892521,15.4648161,32,,,0,0,nurses1,0.093027148,0.042622464,2.18258494,0.030267367,1,1,pos,1,
22,344.98422-107.8,7346,344.98422,107.8,100,100,83.33333333,0,38147.78461,19898.46279,52.16151605,35119.67946,31959.14109,35418.80382,19906.49178,56.20317354,31087.32888,29764.87322,0.928088447,0.999596665,24147.84496,16008.49369,66.2936743,30262.67445,NA,2,10,Unique,344.9837596,1.33,C6H5F9O4S,343.97648,M+H,36783.29422,65.64894599,0,DTXSID1046970,DTXSID1046970-BTMR0166,5HPP-33,,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,"2-[2,6-di(propan-2-yl)phenyl]-5-hydroxyisoindole-1,3-dione",C20H21NO3,323.152144,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.418,,,,,,1,-3.377892521,15.4648161,32,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
23,361.13871-364.4,7356,361.13871,364.4,100,100,0,0,3010.478649,1821.287179,60.49825928,2784.924587,2489.289991,3221.51386,2609.921096,81.01536139,2480.0049,2398.269702,0.746750471,0.697832276,0,0,NA,0,NA,3,805.9701493,Multiple,361.139412,1.94,C18H20N2O6,360.13214,M+H,3115.996255,0,0,DTXSID1062122,DTXSID1062122-BTMR0501,"4:2,FLUOROTELOMER,ALCOHOL",?,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"3,3,4,4,5,5,6,6,6-nonafluorohexan-1-ol",C6H5F9O,264.019669,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
24,361.13855-361,7356,361.13855,361,97.5,95,0,2.5,2288.943893,1740.667763,76.04676411,2167.616011,NA,2641.922673,2138.364321,80.93970134,2354.551012,NA,0.939548366,0.814018334,0,0,NA,0,NA,3,805.9701493,Multiple,361.139412,2.39,C18H20N2O6,360.13214,M+H,2465.433283,0,0,DTXSID1062122,DTXSID1062122-BTMR0501,"4:2,FLUOROTELOMER,ALCOHOL",?,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"3,3,4,4,5,5,6,6,6-nonafluorohexan-1-ol",C6H5F9O,264.019669,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
25,299.11109-427.5,7374,299.11109,427.5,100,100,100,0,11000.67831,8082.351694,73.47139388,8166.912331,8702.621686,12606.38465,8233.036119,65.30846352,9767.803223,10530.20982,1.124990391,0.981697587,691.8170182,493.6862799,71.36081751,702.3344402,506.6269311,3,22924.5283,Multiple,299.112529,4.81,C14H18O7,298.10525,M+H,11803.53148,5.861101987,0,DTXSID2020426,DTXSID2020426-BTMR0171,Dicloran,,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,"2,6-dichloro-4-nitroaniline",C6H4Cl2N2O2,205.964983,"VBtoxcast, pellizzari",,,,,,,,,,,,,,,,,,,1,-2.865788,7.681528,14,,1,0,0,nurses1,-0.242759008,0.099356476,-2.443313385,0.015447713,0,1,pos,0,
26,351.1288-185.2,7380,351.1288,185.2,79.16666667,76.25,0,2.916666667,3476.269079,4876.175042,140.2703568,1706.42347,NA,4200.489079,4708.524314,112.0946686,2762.627592,NA,1.251356185,1.03560579,0,0,NA,0,NA,2,10,Multiple,351.1260708,7.77,C18H22O5S,350.11879,M+H,3838.379079,0,0,DTXSID2020921,DTXSID2020921-BTMR0171,2-Naphthylamine,??,Nc1ccc2ccccc2c1,naphthalen-2-amine,C10H9N,143.073499,"E2Up, P4Up, VBtoxcast, pellizzari",,,,,,,,,,,,,,1,2,1,1,,1,-1.657131,7.740399,12,,1,0,0,NA,0,NA,NA,NA,0,1,pos,2,
27,505.22139-822.5,7389,505.22139,822.5,22.5,47.5,16.66666667,-25,262.9680949,699.9945856,266.1899292,0,NA,542.67011,754.4484312,139.0252415,0,NA,1.914687766,0.927822972,119.7582466,284.3808091,237.4624022,0,NA,3,810,Unique,505.2180566,6.6,C25H32N2O9,504.21078,M+H,402.8191024,29.73003163,0,DTXSID2022381,DTXSID2022381-BTMR0166,meso-Hexestrol,,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,"4-[(3S,4R)-4-(4-hydroxyphenyl)hexan-3-yl]phenol",C18H22O2,270.16198,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.993,,,,,,1,-7.983941,19.5992,55,,,0,0,nurses1,-2.501191019,0.524685766,-4.767026631,3.66E-06,0,1,pos,1,
28,442.15475-483,7395,442.15475,483,50,51.25,100,-1.25,1363.932789,1920.250802,140.7877879,51.41546786,NA,1787.199953,2562.970844,143.4070564,103.4549087,NA,0.981735428,0.7492285,9197.87853,4837.692822,52.59574592,8812.503889,7770.95148,2,10,Multiple,442.1516711,6.96,C18H25N4O7S,441.1444,M+H,1575.566371,583.7823591,0,DTXSID2022836,DTXSID2022836-BTMR0165,CLINDAMYCIN,,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,"(2S,4R)-N-[(1S,2S)-2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",C18H33ClN2O5S,424.179871,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
29,442.15475-483,7396,442.15475,483,50,51.25,100,-1.25,1363.932789,1920.250802,140.7877879,51.41546786,NA,1787.199953,2562.970844,143.4070564,103.4549087,NA,0.981735428,0.7492285,9197.87853,4837.692822,52.59574592,8812.503889,7770.95148,2,10,Multiple,442.1516711,6.96,C18H25N4O7S,441.1444,M+H,1575.566371,583.7823591,0,DTXSID2022836,DTXSID2022836-BTMR0502,CLINDAMYCIN,,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,"(2S,4R)-N-[(1S,2S)-2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",C18H33ClN2O5S,424.179871,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,1,pos,0,
30,497.26395-890.4,7424,497.26395,890.4,26.66666667,30,8.333333333,-3.333333333,66.59909716,169.8410912,255.0201106,0,NA,110.095316,274.3258589,249.1712354,0,NA,1.023473316,0.619121697,8.534565371,29.56460168,346.4101615,0,NA,2,10,Multiple,497.2592527,9.45,C22H40O12,496.25198,M+H,88.34720658,9.66025492,0,DTXSID2037712,DTXSID2037712-BTMR0166,"4,4',4''-Ethane-1,1,1-triyltriphenol",,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,"4-[1,1-bis(4-hydroxyphenyl)ethyl]phenol",C20H18O3,306.125594,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.319,,,,,,1,-5.095792192,15.36355766,32,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
31,497.26413-886.1,7424,497.26413,886.1,31.66666667,40,0,-8.333333333,110.098564,281.9079911,256.0505613,0,NA,174.1829623,355.7337991,204.2299628,0,NA,1.253736512,0.792468952,0,0,NA,0,NA,2,10,Multiple,497.2592527,9.81,C22H40O12,496.25198,M+H,142.1407632,0,0,DTXSID2037712,DTXSID2037712-BTMR0166,"4,4',4''-Ethane-1,1,1-triyltriphenol",,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,"4-[1,1-bis(4-hydroxyphenyl)ethyl]phenol",C20H18O3,306.125594,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.319,,,,,,1,-5.095792192,15.36355766,32,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
32,495.24791-885.9,7434,495.24791,885.9,100,100,16.66666667,0,84645.23719,59428.66726,70.2091095,74293.01405,72413.03696,96606.44212,74186.1222,76.79210679,77288.91633,77613.22192,0.914275079,0.801075262,29.93949967,73.94950251,246.996454,0,NA,3,27692.30769,Unique,495.2462827,3.29,C25H36NO9,494.23901,M+H,90625.83966,0.033036383,0,DTXSID2041208,DTXSID2041208-BTMR0165,"Decyl,beta-D-glucopyranoside",,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"(2R,3R,4S,5S,6R)-2-decoxy-6-(hydroxymethyl)oxane-3,4,5-triol",C16H32O6,320.219889,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.000123,,,,,,1,-0.580009812,5.341239765,1,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
33,495.24815-890.4,7434,495.24815,890.4,100,100,8.333333333,0,165535.5822,104748.3578,63.27845432,144061.1578,139597.9263,180301.2374,123432.1504,68.45884818,154209.2318,150236.4357,0.924328352,0.84863107,8.537415926,29.5744763,346.4101615,0,NA,3,27692.30769,Unique,495.2462827,3.77,C25H36NO9,494.23901,M+H,172918.4098,0.004937251,0,DTXSID2041208,DTXSID2041208-BTMR0165,"Decyl,beta-D-glucopyranoside",,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"(2R,3R,4S,5S,6R)-2-decoxy-6-(hydroxymethyl)oxane-3,4,5-triol",C16H32O6,320.219889,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.000123,,,,,,1,-0.580009812,5.341239765,1,,,0,0,NA,0,NA,NA,NA,0,1,pos,1,
