"","X","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","CV_N.CV_OW","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","name_cleaned.x","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","name_original","select.for.fragmentation","SMILES_cleaned","name_cleaned.y","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI","cvNvOW","sd_avg_N","sdN_GE_sdavg","Drug_UCSF_cond","ERactive_AUC_cond","of_interest_all","of_int_sd","of_interest_sum","of_interest_cat"
"11",108,"115.07519-408.5",2953,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"Caprolactone","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID4027159","DTXSID4027159","Caprolactone",NA,"O=C1CCCCCO1","oxepan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.190423603,3.08978178,1,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"12",109,"115.07519-408.5",1852,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"23-Hexanedione","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione",NA,"CCCC(=O)C(C)=O","hexane-2,3-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.363598614,2.770256976,1,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"13",110,"115.07519-408.5",2477,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"Hex-3-yne-25-diol","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol",NA,"CC(O)C#CC(C)O","hex-3-yne-2,5-diol","C6H10O2",114.0680796,"",114.0680796,"exposurepred","",NA,NA,NA,NA,NA,1,0.568161993,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"14",111,"115.07519-408.5",868,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"Ethylmethacrylate","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID1025308","DTXSID1025308","Ethyl,methacrylate",NA,"C=C(C)C(=O)OCC","ethyl 2-methylprop-2-enoate","C6H10O2",114.0680796,"",114.0680796,"exposurepred","",NA,NA,NA,NA,NA,1,0.156420301,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"15",112,"115.07519-408.5",2576,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"34-Hexanedione","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione",NA,"CCC(=O)C(=O)CC","hexane-3,4-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.101309085,3.442901509,2,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"16",113,"115.07519-408.5",5823,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"25-Hexanedione","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID8030138","DTXSID8030138","2,5-Hexanedione",NA,"CC(=O)CCC(C)=O","hexane-2,5-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.807969573,1.741488075,2,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"17",114,"115.07519-408.5",5919,115.07519,408.5,100,100,100,0,22103.59297,47654.02414,215.5940177,13419.19095,14049.69619,17659.95285,29687.16626,168.104448,12901.11615,11102.61901,3683.288111,1916.143693,52.02263943,4332.574695,3066.81223,"1.282500376",2,10,"Multiple",115.0753556,1.44,"gamma-Caprolactone","C6H10O2",114.06808,"M+H",19881.77291,18.52595404,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone",NA,"CCC1CCC(=O)O1","5-ethyloxolan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.85049,4.534608,3,NA,NA,0,NA,0,"nurses1",0.353564351,0.13697992,2.581139995,0.010585391,1,0,"pos",1.28250037559982,118810.628730266,0,0,NA,0,0,0,0
"18",115,"115.07528-503.4",2953,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"Caprolactone","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID4027159","DTXSID4027159","Caprolactone",NA,"O=C1CCCCCO1","oxepan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.190423603,3.08978178,1,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"19",116,"115.07528-503.4",868,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"Ethylmethacrylate","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID1025308","DTXSID1025308","Ethyl,methacrylate",NA,"C=C(C)C(=O)OCC","ethyl 2-methylprop-2-enoate","C6H10O2",114.0680796,"",114.0680796,"exposurepred","",NA,NA,NA,NA,NA,1,0.156420301,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"20",117,"115.07528-503.4",5919,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"gamma-Caprolactone","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone",NA,"CCC1CCC(=O)O1","5-ethyloxolan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.85049,4.534608,3,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"21",118,"115.07528-503.4",5823,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"25-Hexanedione","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID8030138","DTXSID8030138","2,5-Hexanedione",NA,"CC(=O)CCC(C)=O","hexane-2,5-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.807969573,1.741488075,2,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"22",119,"115.07528-503.4",2576,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"34-Hexanedione","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione",NA,"CCC(=O)C(=O)CC","hexane-3,4-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.101309085,3.442901509,2,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"23",120,"115.07528-503.4",2477,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"Hex-3-yne-25-diol","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol",NA,"CC(O)C#CC(C)O","hex-3-yne-2,5-diol","C6H10O2",114.0680796,"",114.0680796,"exposurepred","",NA,NA,NA,NA,NA,1,0.568161993,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"24",121,"115.07528-503.4",1852,115.07528,503.4,100,96.25,58.33333333,3.75,5334.281304,4575.295321,85.77154185,4022.609121,3826.126867,4636.479222,5981.251726,129.0041741,3767.08258,NA,273.7743908,376.7109721,137.5990541,116.7653516,NA,"0.66487416",2,10,"Multiple",115.0753556,0.66,"23-Hexanedione","C6H10O2",114.06808,"M+H",4985.380263,5.491544804,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione",NA,"CCCC(=O)C(C)=O","hexane-2,3-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.363598614,2.770256976,1,NA,NA,0,NA,0,"nurses1",0.960648585,0.205165185,4.682317738,5.32e-06,1,0,"pos",0.664874159680388,118810.628730266,0,0,NA,0,0,0,0
"25",122,"115.07542-768",1852,115.07542,768,100,100,75,0,36058.08077,37224.57357,103.2350385,16951.58649,22803.19508,21465.63172,21355.53218,99.48708922,16093.84642,13358.38199,1562.945028,2246.58038,143.7402046,263.7534831,NA,"1.03767272",2,10,"Multiple",115.0753556,0.56,"23-Hexanedione","C6H10O2",114.06808,"M+H",28761.85624,5.43408956,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione",NA,"CCCC(=O)C(C)=O","hexane-2,3-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.363598614,2.770256976,1,NA,NA,0,NA,0,"nurses1",0.819276474,0.117222876,6.989049396,4.33e-11,1,0,"pos",1.03767272024325,118810.628730266,0,0,NA,0,0,0,0
"26",123,"115.07542-768",2576,115.07542,768,100,100,75,0,36058.08077,37224.57357,103.2350385,16951.58649,22803.19508,21465.63172,21355.53218,99.48708922,16093.84642,13358.38199,1562.945028,2246.58038,143.7402046,263.7534831,NA,"1.03767272",2,10,"Multiple",115.0753556,0.56,"34-Hexanedione","C6H10O2",114.06808,"M+H",28761.85624,5.43408956,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione",NA,"CCC(=O)C(=O)CC","hexane-3,4-dione","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.101309085,3.442901509,2,NA,NA,0,NA,0,"nurses1",0.819276474,0.117222876,6.989049396,4.33e-11,1,0,"pos",1.03767272024325,118810.628730266,0,0,NA,0,0,0,0
"27",124,"115.07542-768",2477,115.07542,768,100,100,75,0,36058.08077,37224.57357,103.2350385,16951.58649,22803.19508,21465.63172,21355.53218,99.48708922,16093.84642,13358.38199,1562.945028,2246.58038,143.7402046,263.7534831,NA,"1.03767272",2,10,"Multiple",115.0753556,0.56,"Hex-3-yne-25-diol","C6H10O2",114.06808,"M+H",28761.85624,5.43408956,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol",NA,"CC(O)C#CC(C)O","hex-3-yne-2,5-diol","C6H10O2",114.0680796,"",114.0680796,"exposurepred","",NA,NA,NA,NA,NA,1,0.568161993,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"nurses1",0.819276474,0.117222876,6.989049396,4.33e-11,1,0,"pos",1.03767272024325,118810.628730266,0,0,NA,0,0,0,0
"28",125,"115.07542-768",2953,115.07542,768,100,100,75,0,36058.08077,37224.57357,103.2350385,16951.58649,22803.19508,21465.63172,21355.53218,99.48708922,16093.84642,13358.38199,1562.945028,2246.58038,143.7402046,263.7534831,NA,"1.03767272",2,10,"Multiple",115.0753556,0.56,"Caprolactone","C6H10O2",114.06808,"M+H",28761.85624,5.43408956,"DTXSID4027159","DTXSID4027159","Caprolactone",NA,"O=C1CCCCCO1","oxepan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.190423603,3.08978178,1,NA,NA,0,NA,0,"nurses1",0.819276474,0.117222876,6.989049396,4.33e-11,1,0,"pos",1.03767272024325,118810.628730266,0,0,NA,0,0,0,0
"29",126,"115.07542-768",5919,115.07542,768,100,100,75,0,36058.08077,37224.57357,103.2350385,16951.58649,22803.19508,21465.63172,21355.53218,99.48708922,16093.84642,13358.38199,1562.945028,2246.58038,143.7402046,263.7534831,NA,"1.03767272",2,10,"Multiple",115.0753556,0.56,"gamma-Caprolactone","C6H10O2",114.06808,"M+H",28761.85624,5.43408956,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone",NA,"CCC1CCC(=O)O1","5-ethyloxolan-2-one","C6H10O2",114.0680796,"",114.0680796,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.85049,4.534608,3,NA,NA,0,NA,0,"nurses1",0.819276474,0.117222876,6.989049396,4.33e-11,1,0,"pos",1.03767272024325,118810.628730266,0,0,NA,0,0,0,0
