,X1,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,CV_N.CV_OW,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,name_cleaned.x,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DB_name,DTXSID,name_original,select.for.fragmentation,SMILES_cleaned,name_cleaned.y,formula_cleaned,Molweight_cleaned,parent_id,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,DF_high_N,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,cvNvOW,sd_avg_N,sdN_GE_sdavg,Drug_UCSF_cond,ERactive_AUC_cond,of_interest_all,of_int_sd,of_interest_sum,of_interest_cat
89,631,165.09112-228.4,4924,165.09112,228.4,100,100,100,0,27571.86625,13833.20502,50.17144975,24286.47107,24302.25422,17368.15154,11208.56069,64.53513871,13668.85641,13969.35608,4856.863785,2395.011806,49.31189986,4999.316292,4172.723059,0.777428402,2,479.2899408,Multiple,165.0910056,0.69,Isoeugenol,C10H12O2,164.08373,M+H,22470.0089,21.61487255,DTXSID7022413,DTXSID7022413,Isoeugenol,2,CC=Cc1ccc(O)c(OC)c1,2-methoxy-4-prop-1-enylphenol,C10H12O2,164.0837296,,164.0837296,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.59417,6.076339,4,NA,NA,0,NA,0,nurses1,0.789711953,0.123493871,6.394746144,1.17E-09,1,0,pos,0.77742840184251,118810.628730266,0,0,NA,1,0,1,1
100,642,165.09118-231.1,4924,165.09118,231.1,100,100,100,0,26984.81927,13104.6814,48.56316165,26853.22567,24048.38793,17190.26794,11222.11273,65.28177901,13281.12284,13733.11205,5008.167314,2458.725643,49.09431912,5051.643761,4346.012323,0.743900708,2,479.2899408,Multiple,165.0910056,1.06,Isoeugenol,C10H12O2,164.08373,M+H,22087.54361,22.67417058,DTXSID7022413,DTXSID7022413,Isoeugenol,2,CC=Cc1ccc(O)c(OC)c1,2-methoxy-4-prop-1-enylphenol,C10H12O2,164.0837296,,164.0837296,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,3,NA,NA,NA,1,-1.59417,6.076339,4,NA,NA,0,NA,0,nurses1,0.799360056,0.12039248,6.639617796,3.08E-10,1,0,pos,0.743900708382365,118810.628730266,0,0,NA,1,0,1,1
108,670,166.05036-151.3,2013,166.05036,151.3,100,100,100,0,387737.9996,279575.8488,72.10432022,446291.4363,160936.3149,362585.8625,327419.1159,90.30112582,420933.2967,132562.5178,7262.318407,3127.525051,43.06510506,6779.064236,6760.403606,0.7984875,1,9,Multiple,166.0498691,2.96,Benzoicacid3-(aminocarbonyl)-,C8H7NO3,165.04259,M+H,375161.931,1.93578234,DTXSID30196309,DTXSID30196309,"Benzoic,acid,,3-(aminocarbonyl)-",2,NC(=O)c1cccc(C(=O)O)c1,3-carbamoylbenzoic acid,C8H7NO3,165.0425931,,165.0425931,exposurepred,,NA,NA,NA,NA,NA,1,0.144182502,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.798487500186075,118810.628730266,1,0,NA,0,1,1,1
121,735,168.13823-393.1,5275,168.13823,393.1,100,98.75,100,1.25,61891.74806,368600.2548,595.5563809,3459.477971,3947.008325,61633.03454,265580.6393,430.9063172,3655.241076,NA,8505.914519,6026.08707,70.84584564,9486.755987,5390.168519,1.382101763,2,10,Multiple,168.1382902,0.36,1-Cyclohexylpyrrolidin-2-one,C10H17NO,167.13101,M+H,61762.3913,13.77199674,DTXSID7044716,DTXSID7044716,1-Cyclohexylpyrrolidin-2-one,2,O=C1CCCN1C1CCCCC1,1-cyclohexylpyrrolidin-2-one,C10H17NO,167.1310142,,167.1310142,exposurepred,,NA,NA,NA,NA,NA,1,3.460393681,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.38210176348744,118810.628730266,1,0,NA,0,1,1,1
124,773,174.09071-166.3,253,174.09071,166.3,100,100,100,0,65902.72921,263771.7192,400.2439995,11079.72413,14157.02055,17649.59296,47842.69897,271.0697015,8091.276159,8910.340795,10588.33,10420.59429,98.4158436,5066.817804,5161.466808,1.476535361,2,10,Unique,174.09134,3.62,46-Dimethylquinolin-2-ol,C11H11NO,173.08406,M+H,41776.16109,25.34538771,DTXSID00296688,DTXSID00296688,"4,6-Dimethylquinolin-2-ol",2,Cc1ccc2[nH]c(=O)cc(C)c2c1,"4,6-dimethyl-1H-quinolin-2-one",C11H11NO,173.084064,,173.084064,exposurepred,,NA,NA,NA,NA,NA,1,0.142403832,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.634530629,0.21022553,3.018332881,0.002883018,1,0,pos,1.47653536077694,118810.628730266,1,0,NA,0,1,1,1
139,823,179.1432-704,4237,179.1432,704,100,97.5,66.66666667,2.5,9485.946396,6554.878782,69.10094689,7805.607303,7198.308124,7266.335118,6825.142397,93.92826352,6219.055469,NA,1369.376101,2194.840212,160.2803065,103.9290486,NA,0.735677892,3,25851.06383,Multiple,179.1430412,0.89,Propofol,C12H18O,178.13577,M+H,8376.140757,16.34853258,DTXSID6023523,DTXSID6023523,Propofol,1,CC(C)c1cccc(C(C)C)c1O,"2,6-di(propan-2-yl)phenol",C12H18O,178.1357652,,178.1357652,"exposurepred, VBtoxcast, Drug",1,NA,0,0,NA,0,1,2.128963833,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.942745352,11.24862548,6,NA,NA,0,NA,0,nurses1,1.030447097,0.25411036,4.055116435,7.25E-05,1,0,pos,0.735677891833766,118810.628730266,0,1,NA,1,0,1,1
145,829,179.14327-699.5,4237,179.14327,699.5,100,98.75,83.33333333,1.25,12319.31411,8289.670454,67.29003236,11013.66749,9364.960008,9891.080391,7143.422304,72.22084971,10843.84304,NA,3149.753832,4534.829592,143.9740956,106.8737542,NA,0.931725847,3,25851.06383,Multiple,179.1430412,1.28,Propofol,C12H18O,178.13577,M+H,11105.19725,28.36288055,DTXSID6023523,DTXSID6023523,Propofol,1,CC(C)c1cccc(C(C)C)c1O,"2,6-di(propan-2-yl)phenol",C12H18O,178.1357652,,178.1357652,"exposurepred, VBtoxcast, Drug",1,NA,0,0,NA,0,1,2.128963833,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.942745352,11.24862548,6,NA,NA,0,NA,0,nurses1,0.873069612,0.221153982,3.947790604,0.000110262,1,0,pos,0.93172584690156,118810.628730266,0,1,NA,1,0,1,1
149,845,181.07246-157.8,3272,181.07246,157.8,100,100,100,0,590690.6495,884163.9379,149.6830767,328561.7664,327703.9771,615054.594,744958.5806,121.1207245,359621.6167,251187.2472,12259.92486,10231.54071,83.45516654,10024.52115,8753.725832,1.235817217,3,19424.46043,Multiple,181.0706641,9.92,DL-GLUCOSE,C6H12O6,180.06339,M+H,602872.6217,2.033584611,DTXSID4048729,DTXSID4048729,DL-GLUCOSE,NA,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",C6H12O6,180.0633881,,180.0633881,Drug,1,NA,0,0,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.23581721722611,118810.628730266,1,1,NA,1,0,1,1
150,846,181.07246-157.8,3518,181.07246,157.8,100,100,100,0,590690.6495,884163.9379,149.6830767,328561.7664,327703.9771,615054.594,744958.5806,121.1207245,359621.6167,251187.2472,12259.92486,10231.54071,83.45516654,10024.52115,8753.725832,1.235817217,3,19424.46043,Multiple,181.0706641,9.92,D-Fructose,C6H12O6,180.06339,M+H,602872.6217,2.033584611,DTXSID5023081,DTXSID5023081,D-Fructose,NA,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,"(2R,3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol",C6H12O6,180.0633881,,180.0633881,exposurepred,,NA,NA,NA,NA,NA,1,0.746662735,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.23581721722611,118810.628730266,1,0,NA,0,1,1,1
151,847,181.07246-157.8,4940,181.07246,157.8,100,100,100,0,590690.6495,884163.9379,149.6830767,328561.7664,327703.9771,615054.594,744958.5806,121.1207245,359621.6167,251187.2472,12259.92486,10231.54071,83.45516654,10024.52115,8753.725832,1.235817217,3,19424.46043,Multiple,181.0706641,9.92,D-GLUCOSE,C6H12O6,180.06339,M+H,602872.6217,2.033584611,DTXSID7022910,DTXSID7022910,D-GLUCOSE,NA,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",C6H12O6,180.0633881,,180.0633881,Drug,1,NA,0,0,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.23581721722611,118810.628730266,1,1,NA,1,0,1,1
154,850,181.08613-318.4,1099,181.08613,318.4,100,100,100,0,172481.838,259317.3942,150.3447535,91067.01122,86528.3493,191324.8165,218015.7744,113.950599,115552.7792,106570.9799,4250.557938,1942.264465,45.69434162,4422.730482,3739.455537,1.319385373,3,35526.31579,Multiple,181.0859202,1.16,4-Methoxybenzylacetate,C10H12O3,180.07864,M+H,181903.3272,2.336712584,DTXSID1044770,DTXSID1044770,"4-Methoxybenzyl,acetate",2,COc1ccc(COC(C)=O)cc1,(4-methoxyphenyl)methyl acetate,C10H12O3,180.0786442,,180.0786442,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.268251234,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.573624383,1.406041416,1,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.31938537242792,118810.628730266,1,0,NA,0,1,1,1
155,851,181.08613-318.4,2825,181.08613,318.4,100,100,100,0,172481.838,259317.3942,150.3447535,91067.01122,86528.3493,191324.8165,218015.7744,113.950599,115552.7792,106570.9799,4250.557938,1942.264465,45.69434162,4422.730482,3739.455537,1.319385373,3,35526.31579,Multiple,181.0859202,1.16,Propylparaben,C10H12O3,180.07864,M+H,181903.3272,2.336712584,DTXSID4022527,DTXSID4022527,Propylparaben,2,CCCOC(=O)c1ccc(O)cc1,propyl 4-hydroxybenzoate,C10H12O3,180.0786442,,180.0786442,"ERactive, P4Up, Vbtoxcast, Disinfect ingredient list",,NA,1,NA,NA,NA,NA,NA,NA,,NA,1,0.205,NA,NA,1,2,NA,1,-0.4820318,12.33425,3,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.31938537242792,118810.628730266,1,0,1,3,0,3,1
157,853,181.08613-318.4,6854,181.08613,318.4,100,100,100,0,172481.838,259317.3942,150.3447535,91067.01122,86528.3493,191324.8165,218015.7744,113.950599,115552.7792,106570.9799,4250.557938,1942.264465,45.69434162,4422.730482,3739.455537,1.319385373,3,35526.31579,Multiple,181.0859202,1.16,4-(1-Hydroxyethyl)phenylacetate,C10H12O3,180.07864,M+H,181903.3272,2.336712584,DTXSID9052181,DTXSID9052181,"4-(1-Hydroxyethyl)phenyl,acetate",2,CC(=O)Oc1ccc(C(C)O)cc1,[4-(1-hydroxyethyl)phenyl] acetate,C10H12O3,180.0786442,,180.0786442,exposurepred,,NA,NA,NA,NA,NA,1,0.65607174,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.31938537242792,118810.628730266,1,0,NA,0,1,1,1
158,854,181.08633-313.2,1099,181.08633,313.2,100,100,100,0,202583.3339,262325.118,129.4899797,141671.001,109893.497,251311.1178,290437.7,115.5689818,152637.3036,140366.1833,2737.459139,1468.343313,53.63891252,3104.935627,2252.144868,1.120456179,3,35526.31579,Multiple,181.0859202,2.26,4-Methoxybenzylacetate,C10H12O3,180.07864,M+H,226947.2259,1.206209562,DTXSID1044770,DTXSID1044770,"4-Methoxybenzyl,acetate",2,COc1ccc(COC(C)=O)cc1,(4-methoxyphenyl)methyl acetate,C10H12O3,180.0786442,,180.0786442,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.268251234,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.573624383,1.406041416,1,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.12045617849339,118810.628730266,1,0,NA,0,1,1,1
159,855,181.08633-313.2,2825,181.08633,313.2,100,100,100,0,202583.3339,262325.118,129.4899797,141671.001,109893.497,251311.1178,290437.7,115.5689818,152637.3036,140366.1833,2737.459139,1468.343313,53.63891252,3104.935627,2252.144868,1.120456179,3,35526.31579,Multiple,181.0859202,2.26,Propylparaben,C10H12O3,180.07864,M+H,226947.2259,1.206209562,DTXSID4022527,DTXSID4022527,Propylparaben,2,CCCOC(=O)c1ccc(O)cc1,propyl 4-hydroxybenzoate,C10H12O3,180.0786442,,180.0786442,"ERactive, P4Up, Vbtoxcast, Disinfect ingredient list",,NA,1,NA,NA,NA,NA,NA,NA,,NA,1,0.205,NA,NA,1,2,NA,1,-0.4820318,12.33425,3,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.12045617849339,118810.628730266,1,0,1,3,0,3,1
161,857,181.08633-313.2,6854,181.08633,313.2,100,100,100,0,202583.3339,262325.118,129.4899797,141671.001,109893.497,251311.1178,290437.7,115.5689818,152637.3036,140366.1833,2737.459139,1468.343313,53.63891252,3104.935627,2252.144868,1.120456179,3,35526.31579,Multiple,181.0859202,2.26,4-(1-Hydroxyethyl)phenylacetate,C10H12O3,180.07864,M+H,226947.2259,1.206209562,DTXSID9052181,DTXSID9052181,"4-(1-Hydroxyethyl)phenyl,acetate",2,CC(=O)Oc1ccc(C(C)O)cc1,[4-(1-hydroxyethyl)phenyl] acetate,C10H12O3,180.0786442,,180.0786442,exposurepred,,NA,NA,NA,NA,NA,1,0.65607174,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,1.12045617849339,118810.628730266,1,0,NA,0,1,1,1
209,1039,195.08859-235.8,1701,195.08859,235.8,100,100,100,0,9463622.575,7392839.571,78.11849545,7881225.934,5058548.148,7327589.689,6889934.869,94.02730176,4580442.445,2637871.425,21032.42172,13031.68033,61.95996118,19943.93504,16968.49991,0.830806521,3,25233.64486,Multiple,195.0876516,4.81,13-Benzenedicarboxylicacid,C8H10N4O2,194.08038,M+H,8395606.132,0.250517013,DTXSID2038813,DTXSID2038813,"1,3-Benzenedicarboxylic,acid",2,NNC(=O)c1cccc(C(=O)NN)c1,"benzene-1,3-dicarbohydrazide",C8H10N4O2,194.0803756,,194.0803756,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.141249154,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.559683922,2.525196958,2,NA,NA,0,NA,0,nurses1,0.980836446,0.350602964,2.797570324,0.005667895,1,0,pos,0.830806520954877,118810.628730266,1,0,NA,0,1,1,1
210,1040,195.08859-235.8,21,195.08859,235.8,100,100,100,0,9463622.575,7392839.571,78.11849545,7881225.934,5058548.148,7327589.689,6889934.869,94.02730176,4580442.445,2637871.425,21032.42172,13031.68033,61.95996118,19943.93504,16968.49991,0.830806521,3,25233.64486,Multiple,195.0876516,4.81,Caffeine,C8H10N4O2,194.08038,M+H,8395606.132,0.250517013,DTXSID0020232,DTXSID0020232,Caffeine,NA,Cn1c(=O)c2c(ncn2C)n(C)c1=O,"1,3,7-trimethylpurine-2,6-dione",C8H10N4O2,194.0803756,,194.0803756,"VBtoxcast, Drug",1,NA,0,0,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.165114609,8.045154854,6,NA,NA,0,NA,0,nurses1,0.980836446,0.350602964,2.797570324,0.005667895,1,0,pos,0.830806520954877,118810.628730266,1,1,NA,1,0,1,1
212,1051,195.102-469,2025,195.102,469,100,100,100,0,49479.29335,127415.6146,257.5130039,14140.83188,17707.99709,77672.2571,239677.6489,308.57562,11780.13553,18643.46972,4772.335834,2382.229034,49.91746424,5431.919543,4027.049085,0.834521548,3,38297.87234,Multiple,195.1015703,2.2,Butylparaben,C11H14O3,194.09429,M+H,63575.77522,7.506531878,DTXSID3020209,DTXSID3020209,Butylparaben,2,CCCCOC(=O)c1ccc(O)cc1,butyl 4-hydroxybenzoate,C11H14O3,194.0942943,,194.0942943,"P4Up, Vbtoxcast, Disinfect ingredient list",,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,2,NA,1,-1.059086,18.41412,11,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.834521547424907,118810.628730266,1,0,NA,2,0,2,1
