,DTXSID,featureid,mz.x,rt.x,det_count_v1,det_count_v2,det_count_v3,det_count_FB,df_v1,df_v2,df_v3,mean_visit1,log_mean_v1,sd_visit1,median_v1,gm_visit1,gsd_visit1,cv_visit1,mean_visit2,median_v2,sd_visit2,gm_visit2,gsd_visit2,cv_visit2,mean_visit3,sd_visit3,median_v3,gm_visit3,gsd_visit3,cv_visit3,mean_allvisit,gm_allvisit,gsd_allvisit,cv_allvisit,mean_FB,log_mean_FB,mean_DIWB,PvalV1_v3,PvalV1_V2,DFv1_min,percent_FBvV1,logFBvV1,meanv1_gt_v3,meanv1_gt_v2,geom_diff1v3,geom_diff1v2,df1v3_difference,df1v2_difference,DB_name,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Compound,Formula,MonoisotopicMass,Adduct,X,parent_id,is_metab,name_original,name_cleaned,formula_original,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,MC_sum,frag_yn,confirmed_frag,of_interest,acrylate,is_ucsfdrug,sig_dif1v2or3,ubiqui_MC,nitro benzene,nitro,sulfate,aniline,guanidium,nitro_sum,SWGDRUG,STATINS,UOATARGPHARMA,VETDRUGS,DRUGBANK,ANTIBIOTICS,ZINC15PHARMA,PAHLIST,drug_any,of_interest_all,of_interest_cat
46,DTXSID0034518,301.11838-301.9,301.11838,301.9,40,38,38,6,100,100,100,416619.77900227,18.4929020993429,192932.500276532,388026.033423267,368908.140586143,1.70491462888936,46.3090112376735,327386.090395081,289583.623867686,192763.824404789,275596.728929107,1.85530871006889,58.8796622886962,307144.138216527,118000.317047345,335319.05080684,281607.721983847,1.55921296534896,38.4185476345177,311263.602484332,177454.866834585,6.29871465473103,63.8794832703062,358.551633500902,NA,617.813013420366,0.016656569580414,0.019584097600817,1,0.086062076639657,NA,1,1,1,1,0,0,DTXSID0034518,3,80198.0198019805,Multiple,301.118283,0.32,Desmedipham,C16H16N2O4,300.11101,M+H,292,,0,Desmedipham,[3-(ethoxycarbonylamino)phenyl] N-phenylcarbamate,C16H16N2O4,C16H16N2O4,300.111007,"ERactive, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,9.96E-05,NA,NA,NA,NA,NA,1,-1.274088854,13.22998679,5,NA,,1,no,notconf,yes,0,0,1,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,0,2,1
55,DTXSID0043761,303.07236-159.3,303.07236,159.3,40,38,38,0,100,100,100,19341.383823166,14.133912101441,7079.69144806517,18953.4867036376,17977.5911177383,1.49828898919964,36.6038516829675,18132.7911337628,16165.4580565863,9068.19709815941,16342.6289139748,1.57066087985514,50.009935212206,15622.5177368638,7130.02984974286,13746.2222116631,14078.4491265009,1.60226586012248,45.6394415409651,16103.3667356588,16102.4458043939,1.56180105659382,56.0343835815893,0,NA,0,0.014925210345761,0.185317610117881,1,0,NA,1,1,1,1,0,0,DTXSID0043761,3,23142.8571428571,Unique,303.0723954,0.12,44-Dinitrodiphenylurea,C13H10N4O5,302.06512,M+H,383,,0,"4,4'-Dinitrodiphenylurea","1,3-bis(4-nitrophenyl)urea",C13H10N4O5,C13H10N4O5,302.0651194,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.280537896,4.513760487,19,NA,,0,no,notconf,yes,0,0,1,0,1,1,0,1,0,3,-,-,-,-,-,-,-,-,0,3,1
59,DTXSID00442840,262.98127-8.3,262.98127,8.3,14,15,13,0,35,39.4736842105263,34.2105263157895,47134.2169477804,17.0369830678238,65197.1001438894,0,134475.429186814,1.05709383038466,138.322230357875,53443.9197206368,0,67166.4533957754,135269.242893613,1.04495901194289,125.676510530794,46316.4638813547,65227.2021981903,0,135199.270457754,1.05643174990584,140.829408664007,43001.9943544461,134982.499481985,1.0515567799568,147.208472456538,0,NA,0,0.995301751190438,0.616082356129459,1,0,NA,1,0,0,0,0.789473684210527,4.47368421052632,DTXSID00442840,2,10,Unique,262.9807249,2.07,2-(TRIFLUOROMETHOXY)ETHYLTRIFLUOROMETHANESULFONATE,C4H4F6O4S,261.97345,M+H,389,,0,"2-(TRIFLUOROMETHOXY)ETHYL,TRIFLUOROMETHANESULFONATE",2-(trifluoromethoxy)ethyl trifluoromethanesulfonate,C4H4F6O4S,C4H4F6O4S,261.9734489,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,yes,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
61,DTXSID0044571,137.09596-473.3,137.09596,473.3,40,38,38,8,100,100,100,130992.354254094,16.8875082311645,52758.5843789468,117619.782721122,121240.168031823,1.48809070824181,40.2760792256683,149029.432792579,148352.374655233,58939.957268233,138472.070354919,1.47576863691168,39.5492059278426,138923.359913569,56094.6215376585,135423.282985247,126629.574706966,1.58099467209667,40.3781060093548,124139.106306769,97056.5386343283,2.34540526771321,53.8625057258748,13100.3463201803,13.670166638422,12302.6280891456,0.59970478986905,0.198941930112894,1,10.0008480607722,80.9483936368708,0,0,0,0,0,0,DTXSID0044571,3,81000,Multiple,137.096091,0.96,3-Isopropylphenol,C9H12O,136.08882,M+H,399,,0,3-Isopropylphenol,3-propan-2-ylphenol,C9H12O,C9H12O,136.088815,"exposurepred, P4Up",,NA,NA,NA,NA,NA,1,51.94904752,NA,,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,,1,yes,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
66,DTXSID0044995,241.09759-441,241.09759,441,40,38,38,8,100,100,100,15959.1924220107,13.650146410145,8938.78383035866,15686.7095512482,12855.9304621502,2.0969285752826,56.0102516091629,21373.9518909668,23387.0748570251,8789.43341407756,18635.7036025606,1.88580293319308,41.1221727217989,18481.3983270095,7578.23590385665,19492.1628526136,16345.2445844277,1.76582965696463,41.0046673404658,17223.4168407755,14170.073820074,2.01606906043858,52.3454782412302,5123.775230619,12.3191628790547,5699.84783909192,0.195469107803143,0.024180526067212,1,32.1054793696976,90.2493094865186,0,0,0,0,0,0,DTXSID0044995,2,10,Multiple,241.0971536,1.81,9-Ethyl-3-nitro-9H-carbazole,C14H12N2O2,240.08988,M+H,425,,0,9-Ethyl-3-nitro-9H-carbazole,9-ethyl-3-nitrocarbazole,C14H12N2O2,C14H12N2O2,240.0898776,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.567786,7.063042,8,NA,,0,no,notconf,yes,0,0,1,0,1,1,0,1,0,3,-,-,-,-,-,-,-,-,0,3,1
111,DTXSID00620545,146.05996-270.5,146.05996,270.5,40,38,38,8,100,100,100,43558.784178079,14.6039837392275,74516.7269140628,19206.5015207246,24902.1681706587,2.4565890729168,171.071641048153,62659.8093537193,23888.9987098574,122065.695993628,32203.6800349161,2.56470033369374,194.807001892645,79919.841409561,230835.796411993,19201.1864856238,26833.8904844046,2.86572940718496,288.834152246425,56649.6194698763,25158.9704034348,2.69997762774729,257.939002760815,8729.36162051118,13.0740197766691,5775.0945096345,0.814269502155929,0.228358322916695,1,20.040416153085,89.5236533409112,0,0,0,0,0,0,DTXSID00620545,2,10,Multiple,146.0587381,8.37,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,654,,0,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,C4H7F4N,145.0514621,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
112,DTXSID00620545,146.06006-212.5,146.06006,212.5,40,38,38,8,100,100,100,132237.877822897,16.9035319583491,50682.0678843941,139879.098002474,122594.264409686,1.49748707824678,38.3264377187536,128511.017371053,130107.827845775,50954.3758018185,118338.120832388,1.52453746180678,39.6498112334577,144310.534862863,61500.222679293,129290.95584551,132858.991419127,1.50453392685229,42.6165856413298,122400.689657416,100068.108511196,2.13792992876625,50.9694534121104,13338.8378563033,13.7010902743285,12145.8790120855,0.545312934220683,0.737709281023835,1,10.0870023596172,81.0546003526861,0,1,0,1,0,0,DTXSID00620545,2,10,Multiple,146.0587381,9.05,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,654,,0,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,C4H7F4N,145.0514621,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
113,DTXSID00620545,146.0601-316.3,146.0601,316.3,40,38,38,8,100,100,100,190906.812840431,17.3976263239299,74327.6760402325,192205.501518306,172666.218130011,1.6600581198411,38.9340091819347,192188.611261222,161633.231826232,77593.9623264243,177064.701020353,1.52443528007746,40.3738607700114,187169.211076835,72763.3966001165,164654.16429758,173775.682399422,1.48276231085288,38.8757297108264,175345.91188659,133398.201122537,2.67235776397902,50.3483268705929,8367.66023725852,13.0129917466544,7887.07642852665,0.663667627255052,0.722678199289804,1,4.38311242682187,74.7975126282336,1,0,0,0,0,0,DTXSID00620545,2,10,Multiple,146.0587381,9.32,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,654,,0,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,C4H7F4N,145.0514621,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
114,DTXSID00620545,146.06018-168.3,146.06018,168.3,40,38,38,8,100,100,100,393854.73718132,18.469522553699,170437.905687351,325437.355400256,362977.992390169,1.49261364891054,43.2743063869475,391083.432881596,333139.541130433,151861.000915757,365696.166503943,1.43982670877674,38.8308448140616,373525.599265295,169988.21817566,357140.755546052,342003.343335197,1.52138079860235,45.509121331983,347648.351578876,244064.749603118,3.42274403265453,54.3379165538351,7469.4721625478,12.8577060089346,4440.77475027595,0.512608265752066,0.845443808289798,1,1.89650433456868,69.6158006876012,1,1,1,0,0,0,DTXSID00620545,2,10,Multiple,146.0587381,9.87,NN-DIMETHYL-2H-PERFLUOROETHANAMINE,C4H7F4N,145.05146,M+H,654,,0,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","1,1,2,2-tetrafluoro-N,N-dimethylethanamine",C4H7F4N,C4H7F4N,145.0514621,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,no,notconf,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
124,DTXSID1021247,288.15032-622.3,288.15032,622.3,40,38,38,7,100,100,100,145190.092843254,16.7292476311868,99500.914567001,114158.804651009,108643.898687379,2.36201589402227,68.5314766444989,159895.325015613,114970.563889109,120647.054670715,118011.193083061,2.35260024399044,75.4537724345192,127454.570139084,106801.210667271,121473.608124024,76903.3012023216,3.35357697628046,83.795512825256,130760.689738394,64321.1103765653,6.01785118114081,84.2547991316276,1794.91755709864,NA,438.934264394202,0.344819636848773,0.656426900005957,1,1.23625346740181,NA,1,0,1,0,0,0,DTXSID1021247,3,52941.176470588,Unique,288.1495235,2.76,CIBasicRed9monohydrochloride,C19H18ClN3,287.14225,M+H,740,,0,"C.I.,Basic,Red,9,monohydrochloride","4-[(4-aminophenyl)-(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]aniline",C19H18ClN3,C19H18ClN3,287.1422475,"VBtoxcast, MC",,NA,NA,NA,NA,NA,NA,NA,1,Aromatic amine,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.306767431,17.43861179,17,NA,,1,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
132,DTXSID1023869,228.12846-250.2,228.12846,250.2,40,38,38,8,100,100,100,20022.0083308932,14.0524671744327,13524.1256669802,15550.3182599241,16990.8119239829,1.74952358204019,67.5462992696543,18730.5892772704,14881.7119184899,9678.26589767746,16929.1717221984,1.54353334393984,51.6709098384964,18961.0013124137,8568.15838973119,16234.8565307076,17288.7289019452,1.54652585395929,45.1883223283238,18499.2002645067,15694.5693354054,1.81563030942148,59.9501048985538,8165.9302848609,12.6065452784303,4971.36561547078,0.649218300768902,0.868987250951279,1,40.7847711873199,89.7105477774525,1,1,0,1,0,0,DTXSID1023869,2,10,Unique,228.1277425,3.15,Ametryn,C9H17N5S,227.12047,M+H,826,,0,Ametryn,"4-N-ethyl-6-methylsulfanyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",C9H17N5S,C9H17N5S,227.1204665,"E2Up, P4Up, pesticidemammarytumors, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,1,3,1,1,-1.805595,5.334373,19,NA,,3,no,notconf,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
