,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,CV_N/CV_OW,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,name_cleaned.x,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DB_name,DTXSID,name_original,select for fragmentation,SMILES_cleaned,name_cleaned.y,formula_cleaned,Molweight_cleaned,parent_id,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,DF_high_N,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI
11,102.12748-59.6,6091,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,NN-Dimethylbutylamine,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID8047472,DTXSID8047472,"N,N-Dimethylbutylamine",,CCCCN(C)C,"N,N-dimethylbutan-1-amine",C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.425301834,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
12,102.12748-59.6,1322,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,EthanamineNN-diethyl-sulfate,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID1068930,DTXSID1068930,"Ethanamine,,N,N-diethyl,-,sulfate",,CCN(CC)CC,"N,N-diethylethanamine",C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.205022282,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
13,102.12748-59.6,4302,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,N-Ethyl-N-butylamine,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID6025276,DTXSID6025276,N-Ethyl-N-butylamine,,CCCCNCC,N-ethylbutan-1-amine,C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.865888221,6.776555427,2,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
14,102.12748-59.6,4773,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,2-PropanamineN-(1-methylethyl)-lithiumsalt,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID6063305,DTXSID6063305,"2-Propanamine,,N-(1-methylethyl),-,lithium,salt",,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.745079596,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
15,102.12748-59.6,2908,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,13-Dimethylbutylamine,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID4025113,DTXSID4025113,"1,3-Dimethylbutylamine",,CC(C)CC(C)N,4-methylpentan-2-amine,C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.454137298,6.488544528,1,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
16,102.12748-59.6,2178,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,Triethylamine,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID3024366,DTXSID3024366,Triethylamine,,CCN(CC)CC,"N,N-diethylethanamine",C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.904052962,8.318775703,12,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
17,102.12748-59.6,5488,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,Benzenesulfonicacid4-methyl-compdwithNN-diethylethanamine(1:1),C13H23NO3S,101.12045,M+H,8066.71406,12415.02267,DTXSID7065883,DTXSID7065883,"Benzenesulfonic,acid,,4-methyl,-,compd.,with,N,N-diethylethanamine,(1:1)",,CCN(CC)CC,"N,N-diethylethanamine",C13H23NO3S,101.1204495,,273.1398648,exposurepred,,NA,NA,NA,NA,NA,1,1.239416123,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
18,102.12748-59.6,6426,102.12748,59.6,80.83333333,76.25,100,4.583333333,9029.047957,13263.33758,146.8963023,1611.353599,NA,7104.380163,9905.011368,139.42119,1346.873974,NA,1001484.38,1032160.857,103.063101,899567.1784,175505.1774,1.053615324,3,35064.93506,Multiple,102.1277255,2.4,Diisopropylamine,C6H15N,101.12045,M+H,8066.71406,12415.02267,DTXSID9025085,DTXSID9025085,Diisopropylamine,,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,C6H15N,101.1204495,,101.1204495,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.12527545,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.900818377,2.159452676,2,NA,,0,NA,0,nurses1,0.423609266,0.206185174,2.054508857,0.041267092,1,0,pos
19,102.12752-54.2,2908,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,13-Dimethylbutylamine,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID4025113,DTXSID4025113,"1,3-Dimethylbutylamine",,CC(C)CC(C)N,4-methylpentan-2-amine,C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.454137298,6.488544528,1,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
20,102.12752-54.2,6426,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,Diisopropylamine,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID9025085,DTXSID9025085,Diisopropylamine,,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,C6H15N,101.1204495,,101.1204495,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.12527545,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.900818377,2.159452676,2,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
21,102.12752-54.2,4773,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,2-PropanamineN-(1-methylethyl)-lithiumsalt,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID6063305,DTXSID6063305,"2-Propanamine,,N-(1-methylethyl),-,lithium,salt",,CC(C)NC(C)C,N-propan-2-ylpropan-2-amine,C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.745079596,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
22,102.12752-54.2,2178,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,Triethylamine,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID3024366,DTXSID3024366,Triethylamine,,CCN(CC)CC,"N,N-diethylethanamine",C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.904052962,8.318775703,12,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
23,102.12752-54.2,5488,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,Benzenesulfonicacid4-methyl-compdwithNN-diethylethanamine(1:1),C13H23NO3S,101.12045,M+H,26926.21169,3740.784378,DTXSID7065883,DTXSID7065883,"Benzenesulfonic,acid,,4-methyl,-,compd.,with,N,N-diethylethanamine,(1:1)",,CCN(CC)CC,"N,N-diethylethanamine",C13H23NO3S,101.1204495,,273.1398648,exposurepred,,NA,NA,NA,NA,NA,1,1.239416123,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
24,102.12752-54.2,1322,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,EthanamineNN-diethyl-sulfate,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID1068930,DTXSID1068930,"Ethanamine,,N,N-diethyl,-,sulfate",,CCN(CC)CC,"N,N-diethylethanamine",C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.205022282,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
25,102.12752-54.2,4302,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,N-Ethyl-N-butylamine,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID6025276,DTXSID6025276,N-Ethyl-N-butylamine,,CCCCNCC,N-ethylbutan-1-amine,C6H15N,101.1204495,,101.1204495,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.865888221,6.776555427,2,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
26,102.12752-54.2,6091,102.12752,54.2,100,100,100,0,29099.48665,12813.99012,44.03510714,26162.61115,26676.10676,24752.93673,9604.901605,38.80307905,21826.57255,23198.83492,1007251.52,1036627.022,102.9164018,904084.9432,181791.1061,1.134835385,3,35064.93506,Multiple,102.1277255,2.01,NN-Dimethylbutylamine,C6H15N,101.12045,M+H,26926.21169,3740.784378,DTXSID8047472,DTXSID8047472,"N,N-Dimethylbutylamine",,CCCCN(C)C,"N,N-dimethylbutan-1-amine",C6H15N,101.1204495,,101.1204495,exposurepred,,NA,NA,NA,NA,NA,1,0.425301834,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,nurses1,0.179528064,0.046204465,3.885513351,0.000140056,1,0,pos
27,103.07505-300.3,3923,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,Methylbutyrate,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID5047083,DTXSID5047083,"Methyl,butyrate",,CCCC(=O)OC,methyl butanoate,C5H10O2,102.0680796,,102.0680796,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.526804921,1.311352231,1,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
28,103.07505-300.3,937,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,Tetrahydrofurfurylalcohol,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID1029128,DTXSID1029128,"Tetrahydrofurfuryl,alcohol",,OCC1CCCO1,oxolan-2-ylmethanol,C5H10O2,102.0680796,,102.0680796,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.868391,9.365958,4,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
29,103.07505-300.3,3655,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,Isovalericacid,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID5029182,DTXSID5029182,"Isovaleric,acid",,CC(C)CC(=O)O,3-methylbutanoic acid,C5H10O2,102.0680796,,102.0680796,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,8.416435574,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.594037914,3.099273226,1,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
30,103.07505-300.3,3468,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,2-Methylbutanoicacid,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID5021621,DTXSID5021621,"2-Methylbutanoic,acid",,CCC(C)C(=O)O,2-methylbutanoic acid,C5H10O2,102.0680796,,102.0680796,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.788708545,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.945230926,22.53656564,5,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
31,103.07505-300.3,1534,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,Isopropylacetate,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID2025478,DTXSID2025478,"Isopropyl,acetate",,CC(=O)OC(C)C,propan-2-yl acetate,C5H10O2,102.0680796,,102.0680796,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.372809961,3.238514438,3,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
32,103.07505-300.3,4894,103.07505,300.3,100,100,100,0,8605.554663,3502.037443,40.69508103,7773.841102,7948.493876,9708.369847,3796.071056,39.10101403,8801.732747,9072.857722,15454.29944,4859.530255,31.44451986,14848.6139,14743.47645,1.04076792,2,10,Multiple,103.0753556,2.96,Pentanoicacid,C5H10O2,102.06808,M+H,9156.962255,168.7710291,DTXSID7021655,DTXSID7021655,"Pentanoic,acid",,CCCCC(=O)O,pentanoic acid,C5H10O2,102.0680796,,102.0680796,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.207914513,5.124077263,6,NA,,0,NA,0,nurses1,-0.202215568,0.047039256,-4.298868353,2.72E-05,0,0,pos
33,103.07521-275.6,937,103.07521,275.6,100,100,100,0,42937.36693,24905.19106,58.00353594,34047.74324,37590.53068,49146.22947,29564.73123,60.15666216,39717.51188,42475.298,82291.40232,38438.46517,46.71018368,71825.49841,74244.01113,0.964208017,2,10,Multiple,103.0753556,1.41,Tetrahydrofurfurylalcohol,C5H10O2,102.06808,M+H,46041.7982,178.7319469,DTXSID1029128,DTXSID1029128,"Tetrahydrofurfuryl,alcohol",,OCC1CCCO1,oxolan-2-ylmethanol,C5H10O2,102.0680796,,102.0680796,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-4.868391,9.365958,4,NA,,0,NA,0,nurses1,-0.216738687,0.047831957,-4.531252768,1.02E-05,0,0,pos
