"","X","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","CASRN","name_original","formula_original","SMILES_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI","cvNvOW","sd_avg_N","sdN_GE_sdavg","Drug_UCSF_cond","ERactive_AUC_cond","of_interest_all","of_int_sd","of_interest_sum","of_interest_cat"
"11",296,"144.04561-315.5",654,144.04561,315.5,100,100,100,0,1627463.99856666,729542.688872318,44.8269632701455,1488981.67535401,1483179.68165509,1358133.96508421,1067411.24272213,78.5939583401805,1083907.59714935,1157211.34879525,40370.949853731,13257.0935444053,32.8382007171925,36704.1002223353,39012.2084390713,3,26732.6732673267,"Multiple",144.0441861,9.89,"NN-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N",145.05146,"M-H",1492798.98182544,2.70437951427085,"DTXSID00620545","DTXSID00620545","'1550-50-1","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","CN(C)C(F)(F)C(F)F","CN(C)C(F)(F)C(F)F","1,1,2,2-tetrafluoro-N,N-dimethylethanamine","C4H7F4N",145.0514621,"",145.0514619,"PFAS","0",NA,0,0,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",0.363714707368268,0.0960195477869822,3.78792356088953,0.000202565864590429,1,0,"neg",0.570361440202816,643115.401519168,1,0,NA,1,0,1,1
"12",357,"149.09672-503",2565,149.09672,503,98.3333333333333,98.75,41.6666666666667,-0.416666666666671,19371.5246234494,69702.6421011456,359.820114606622,4263.80560995828,NA,19824.6721527391,71469.3475261602,360.507084180384,2744.77159224639,NA,65.3499065498667,90.2729367452015,138.137820711827,0,NA,2,10,"Multiple",149.0971891,3.15,"4-Butylphenol","C10H14O",150.10447,"M-H",19598.0983880942,0.333450242241698,"DTXSID3047425","DTXSID3047425","'1638-22-8","4-Butylphenol","C10H14O","CCCCC1=CC=C(O)C=C1","CCCCc1ccc(O)cc1","4-butylphenol","C10H14O",150.1044651,"",150.1044651,"E2Up, ERactive, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,0.111,1,2,NA,NA,NA,1,-2.279054767,20.73625883,5,NA,NA,0,0,"nurses1",0.727950096361438,0.329216303368771,2.21116053157922,0.0281928776687195,1,0,"neg",0.998094435299867,643115.401519168,0,0,1,1,0,1,1
"13",358,"149.09672-503",4920,149.09672,503,98.3333333333333,98.75,41.6666666666667,-0.416666666666671,19371.5246234494,69702.6421011456,359.820114606622,4263.80560995828,NA,19824.6721527391,71469.3475261602,360.507084180384,2744.77159224639,NA,65.3499065498667,90.2729367452015,138.137820711827,0,NA,2,10,"Multiple",149.0971891,3.15,"4-(Butan-2-yl)phenol","C10H14O",150.10447,"M-H",19598.0983880942,0.333450242241698,"DTXSID7022332","DTXSID7022332","'99-71-8","4-(Butan-2-yl)phenol","C10H14O","CCC(C)C1=CC=C(O)C=C1","CCC(C)c1ccc(O)cc1","4-butan-2-ylphenol","C10H14O",150.1044651,"",150.1044651,"ERactive, exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,0.51428007,NA,"",NA,1,0.163,NA,NA,1,3,NA,1,-2.538053,14.17833,12,NA,NA,0,0,"nurses1",0.727950096361438,0.329216303368771,2.21116053157922,0.0281928776687195,1,0,"neg",0.998094435299867,643115.401519168,0,0,1,1,0,1,1
"14",359,"149.09672-503",6667,149.09672,503,98.3333333333333,98.75,41.6666666666667,-0.416666666666671,19371.5246234494,69702.6421011456,359.820114606622,4263.80560995828,NA,19824.6721527391,71469.3475261602,360.507084180384,2744.77159224639,NA,65.3499065498667,90.2729367452015,138.137820711827,0,NA,2,10,"Multiple",149.0971891,3.15,"3-tert-Butylphenol","C10H14O",150.10447,"M-H",19598.0983880942,0.333450242241698,"DTXSID9044825","DTXSID9044825","'585-34-2","3-tert-Butylphenol","C10H14O","CC(C)(C)C1=CC=CC(O)=C1","CC(C)(C)c1cccc(O)c1","3-tert-butylphenol","C10H14O",150.1044651,"",150.1044651,"exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,0.567024219,NA,"",NA,NA,NA,NA,NA,1,3,NA,1,-4.793323269,5.660935442,3,NA,NA,0,0,"nurses1",0.727950096361438,0.329216303368771,2.21116053157922,0.0281928776687195,1,0,"neg",0.998094435299867,643115.401519168,0,0,NA,1,0,1,1
"15",364,"149.09672-503",695,149.09672,503,98.3333333333333,98.75,41.6666666666667,-0.416666666666671,19371.5246234494,69702.6421011456,359.820114606622,4263.80560995828,NA,19824.6721527391,71469.3475261602,360.507084180384,2744.77159224639,NA,65.3499065498667,90.2729367452015,138.137820711827,0,NA,2,10,"Multiple",149.0971891,3.15,"4-tert-Butylphenol","C10H14O",150.10447,"M-H",19598.0983880942,0.333450242241698,"DTXSID1020221","DTXSID1020221","'98-54-4","4-tert-Butylphenol","C10H14O","CC(C)(C)C1=CC=C(O)C=C1","CC(C)(C)c1ccc(O)cc1","4-tert-butylphenol","C10H14O",150.1044651,"",150.1044651,"ERactive, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,0.161,NA,NA,NA,NA,NA,1,-1.095254,12.76574,8,NA,NA,0,0,"nurses1",0.727950096361438,0.329216303368771,2.21116053157922,0.0281928776687195,1,0,"neg",0.998094435299867,643115.401519168,0,0,1,1,0,1,1
"16",431,"150.05605-178.1",5014,150.05605,178.1,100,100,100,0,886640.151797584,3605364.19635973,406.6321820696,47004.0157990579,69548.2257610702,193986.253828142,830187.116531919,427.961827268135,25245.9279246829,31569.9954697897,13626.8789887368,5150.95426173522,37.7999559986751,12800.4679655163,12701.0887973529,3,14754.0983606558,"Multiple",150.0560525,0.02,"12-Dimethyl-3-nitrobenzene","C8H9NO2",151.06333,"M-H",540313.202812863,2.52203331656445,"DTXSID7025132","DTXSID7025132","'83-41-0","1,2-Dimethyl-3-nitrobenzene","C8H9NO2","CC1=CC=CC(=C1C)[N+]([O-])=O","Cc1cccc([N+](=O)[O-])c1C","1,2-dimethyl-3-nitrobenzene","C8H9NO2",151.0633285,"",151.0633285,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.408799874,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.561685,5.162847,9,NA,NA,0,0,"nurses1",1.14748223008839,0.309669794568705,3.70550260378658,0.000275112993186791,1,0,"neg",0.950159935210364,643115.401519168,1,0,NA,0,1,1,1
"17",432,"150.05605-178.1",1350,150.05605,178.1,100,100,100,0,886640.151797584,3605364.19635973,406.6321820696,47004.0157990579,69548.2257610702,193986.253828142,830187.116531919,427.961827268135,25245.9279246829,31569.9954697897,13626.8789887368,5150.95426173522,37.7999559986751,12800.4679655163,12701.0887973529,3,14754.0983606558,"Multiple",150.0560525,0.02,"Acetaminophen","C8H9NO2",151.06333,"M-H",540313.202812863,2.52203331656445,"DTXSID2020006","DTXSID2020006","'103-90-2","Acetaminophen","C8H9NO2","CC(=O)NC1=CC=C(O)C=C1","CC(=O)Nc1ccc(O)cc1","N-(4-hydroxyphenyl)acetamide","C8H9NO2",151.0633285,"",151.0633285,"VBtoxcast, Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.087963147,1.855114781,2,NA,NA,0,0,"nurses1",1.14748223008839,0.309669794568705,3.70550260378658,0.000275112993186791,1,0,"neg",0.950159935210364,643115.401519168,1,1,NA,1,0,1,1
"18",448,"151.05099-109.5",2768,151.05099,109.5,100,100,0,0,29182.5001071988,98393.2860328424,337.165375383895,9029.8312325892,8511.53891140547,17749.4302676976,18227.5250645544,102.693578270661,12421.6091116519,11391.9323945509,0,0,NA,0,NA,2,10,"Multiple",151.0513015,2.06,"2-Methyl-5-nitroaniline","C7H8N2O2",152.05858,"M-H",23465.9651874482,0,"DTXSID4020959","DTXSID4020959","'99-55-8","2-Methyl-5-nitroaniline","C7H8N2O2","CC1=C(N)C=C(C=C1)[N+]([O-])=O","Cc1ccc([N+](=O)[O-])cc1N","2-methyl-5-nitroaniline","C7H8N2O2",152.0585775,"",152.0585775,"exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,0.408485527,NA,"",NA,NA,NA,NA,NA,1,2,NA,1,-3.064964,4.657924,13,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",3.28321771489212,643115.401519168,0,0,NA,1,0,1,1
"19",454,"151.05112-195.6",2768,151.05112,195.6,97.5,98.75,8.33333333333333,-1.25,67411.553395779,222221.109423448,329.648403321562,13867.2193490953,NA,31629.1891892428,66641.779807788,210.697085559351,8189.99276001831,NA,8.84929912515667,30.6548713922923,346.410161513775,0,NA,2,10,"Multiple",151.0513015,1.2,"2-Methyl-5-nitroaniline","C7H8N2O2",152.05858,"M-H",49520.3712925109,0.0178700177203537,"DTXSID4020959","DTXSID4020959","'99-55-8","2-Methyl-5-nitroaniline","C7H8N2O2","CC1=C(N)C=C(C=C1)[N+]([O-])=O","Cc1ccc([N+](=O)[O-])cc1N","2-methyl-5-nitroaniline","C7H8N2O2",152.0585775,"",152.0585775,"exposurepred, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,1,0.408485527,NA,"",NA,NA,NA,NA,NA,1,2,NA,1,-3.064964,4.657924,13,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.56456081225055,643115.401519168,0,0,NA,1,0,1,1
"20",487,"153.01922-189.6",177,153.01922,189.6,100,100,25,0,1275541.86874243,1072350.38232028,84.0701829237106,950460.389566011,937222.12159612,1645191.94645627,1659271.93755664,100.855826648721,1533429.08730716,1088148.20091879,43.5411367159372,82.4230971915121,189.299369305035,0,NA,3,27000,"Multiple",153.0193327,0.74,"24-Dihydroxybenzoicacid","C7H6O4",154.02661,"M-H",1460366.90759935,0.00298152036240763,"DTXSID0025074","DTXSID0025074","'89-86-1","2,4-Dihydroxybenzoic,acid","C7H6O4","OC(=O)C1=CC=C(O)C=C1O","O=C(O)c1ccc(O)cc1O","2,4-dihydroxybenzoic acid","C7H6O4",154.0266087,"",154.0266087,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.554522117,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.4805339,1.356415,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",0.833567932733579,643115.401519168,1,0,NA,0,1,1,1
"21",606,"163.11242-445.1",5600,163.11242,445.1,100,98.75,75,1.25,5582.65140627672,5488.4777522123,98.3131016570631,4296.63957385387,3633.66775847966,4430.71232487522,4281.24700091761,96.6266073489251,2829.06218257059,NA,196.984508597756,159.255549871224,80.8467381546361,171.662683168056,NA,2,10,"Multiple",163.1128391,2.57,"4-(2-Methylbutan-2-yl)phenol","C11H16O",164.12012,"M-H",5006.68186557597,3.93443230240262,"DTXSID8021771","DTXSID8021771","'80-46-6","4-(2-Methylbutan-2-yl)phenol","C11H16O","CCC(C)(C)C1=CC=C(O)C=C1","CCC(C)(C)c1ccc(O)cc1","4-(2-methylbutan-2-yl)phenol","C11H16O",164.1201151,"",164.1201151,"E2Up, ERactive, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,0.282,1,3,NA,NA,NA,1,-0.9000875,7.89144,9,NA,NA,0,0,"nurses1",0.751618594634032,0.195739873686547,3.83988494770185,0.000166577912407011,1,0,"neg",1.01745372578433,643115.401519168,0,0,1,1,0,1,1
"22",616,"163.11246-758.7",5600,163.11246,758.7,84.1666666666667,78.75,41.6666666666667,5.41666666666667,2229.10113860151,3012.0433733707,135.123674794783,460.516497587964,NA,944.411690627802,1767.34934326592,187.137596961667,236.024943547202,NA,88.1608206362237,137.715735524995,156.209679686682,0,NA,2,10,"Multiple",163.1128391,2.32,"4-(2-Methylbutan-2-yl)phenol","C11H16O",164.12012,"M-H",1586.75641461465,5.55603997086306,"DTXSID8021771","DTXSID8021771","'80-46-6","4-(2-Methylbutan-2-yl)phenol","C11H16O","CCC(C)(C)C1=CC=C(O)C=C1","CCC(C)(C)c1ccc(O)cc1","4-(2-methylbutan-2-yl)phenol","C11H16O",164.1201151,"",164.1201151,"E2Up, ERactive, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,0.282,1,3,NA,NA,NA,1,-0.9000875,7.89144,9,NA,NA,0,0,"nurses1",1.39506940673548,0.480174990564511,2.90533541760555,0.00409476493655182,1,0,"neg",0.722055198894435,643115.401519168,0,0,1,1,0,1,1
"23",642,"165.01891-88.5",368,165.01891,88.5,100,100,100,0,104006.140341802,71247.0535111771,68.5027377009025,99601.7125802718,77290.3754183252,96572.3292677853,121510.21573849,125.823014376669,81929.6525684534,51862.6369723173,22327.6034611754,40474.7291127176,181.276638950963,6548.8127245464,6363.2262498602,3,16725.6637168142,"Multiple",165.0193327,2.56,"Monopotassiumphthalate","C8H5KO4",166.02661,"M-H",100289.234804794,22.2632105077226,"DTXSID0042167","DTXSID0042167","'877-24-7","Monopotassium,phthalate","C8H5KO4","[K+].OC(=O)C1=C(C=CC=C1)C([O-])=O","O=C(O)c1ccccc1C(=O)O","phthalic acid","C8H5KO4",166.0266087,"",203.9824901,"VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.369339,2.259379,2,NA,NA,1,0,"nurses1",0.62753554593288,0.190361546265659,3.29654574804263,0.00116398335471091,1,0,"neg",0.544437264043205,643115.401519168,0,0,NA,1,0,1,1
"24",739,"171.13901-571.2",5985,171.13901,571.2,100,100,100,0,2628197.87198669,5831547.99644467,221.88390222067,1063856.37338522,1279238.21201121,4770777.81402489,13768376.3572981,288.598146759686,1698292.96838618,1787095.79650875,60224.189851157,18731.3239019173,31.1026581647863,54824.2619001533,57631.1686418655,3,25714.2857142857,"Multiple",171.1390539,0.26,"3-Methylbutyl3-methylbutanoate","C10H20O2",172.14633,"M-H",3699487.84300579,1.6279061428737,"DTXSID8044757","DTXSID8044757","'659-70-1","3-Methylbutyl,3-methylbutanoate","C10H20O2","CC(C)CCOC(=O)CC(C)C","CC(C)CCOC(=O)CC(C)C","3-methylbutyl 3-methylbutanoate","C10H20O2",172.1463299,"",172.1463299,"exposurepred","",NA,NA,NA,NA,NA,1,0.13861682,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",-0.450693911771861,0.209010936747421,-2.15631736207422,0.0322896085273855,0,0,"neg",0.768833427074746,643115.401519168,1,0,NA,0,1,1,1
"25",740,"171.13901-571.2",224,171.13901,571.2,100,100,100,0,2628197.87198669,5831547.99644467,221.88390222067,1063856.37338522,1279238.21201121,4770777.81402489,13768376.3572981,288.598146759686,1698292.96838618,1787095.79650875,60224.189851157,18731.3239019173,31.1026581647863,54824.2619001533,57631.1686418655,3,25714.2857142857,"Multiple",171.1390539,0.26,"Sodiumdecanoate","C10H20O2",172.14633,"M-H",3699487.84300579,1.6279061428737,"DTXSID0027351","DTXSID0027351","'1002-62-6","Sodium,decanoate","C10H20O2","[Na+].CCCCCCCCCC([O-])=O","CCCCCCCCCC(=O)O","decanoic acid","C10H20O2",172.1463299,"",172.1463299,"exposurepred","",NA,NA,NA,NA,NA,1,13.06623529,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",-0.450693911771861,0.209010936747421,-2.15631736207422,0.0322896085273855,0,0,"neg",0.768833427074746,643115.401519168,1,0,NA,0,1,1,1
