"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","name_cleaned.x","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","name_original","SMILES_cleaned","name_cleaned.y","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"11","102.12748-59.6",6091,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"NN-Dimethylbutylamine","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID8047472","DTXSID8047472","N,N-Dimethylbutylamine","CCCCN(C)C","N,N-dimethylbutan-1-amine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.425301834,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"12","102.12748-59.6",1322,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"EthanamineNN-diethyl-sulfate","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID1068930","DTXSID1068930","Ethanamine,,N,N-diethyl,-,sulfate","CCN(CC)CC","N,N-diethylethanamine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.205022282,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"13","102.12748-59.6",4302,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"N-Ethyl-N-butylamine","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID6025276","DTXSID6025276","N-Ethyl-N-butylamine","CCCCNCC","N-ethylbutan-1-amine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.865888221,6.776555427,2,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"14","102.12748-59.6",4773,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"2-PropanamineN-(1-methylethyl)-lithiumsalt","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID6063305","DTXSID6063305","2-Propanamine,,N-(1-methylethyl),-,lithium,salt","CC(C)NC(C)C","N-propan-2-ylpropan-2-amine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.745079596,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"15","102.12748-59.6",2908,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"13-Dimethylbutylamine","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID4025113","DTXSID4025113","1,3-Dimethylbutylamine","CC(C)CC(C)N","4-methylpentan-2-amine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-4.454137298,6.488544528,1,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"16","102.12748-59.6",2178,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"Triethylamine","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID3024366","DTXSID3024366","Triethylamine","CCN(CC)CC","N,N-diethylethanamine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.904052962,8.318775703,12,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"17","102.12748-59.6",5488,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"Benzenesulfonicacid4-methyl-compdwithNN-diethylethanamine(1:1)","C13H23NO3S","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID7065883","DTXSID7065883","Benzenesulfonic,acid,,4-methyl,-,compd.,with,N,N-diethylethanamine,(1:1)","CCN(CC)CC","N,N-diethylethanamine","C13H23NO3S",101.1204495,"","273.1398648","exposurepred","",NA,NA,NA,NA,NA,1,1.239416123,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"18","102.12748-59.6",6426,102.12748,59.6,80.8333333333333,76.25,100,4.58333333333333,9029.04795732554,13263.337577956,146.896302252942,1611.35359890527,NA,7104.38016344986,9905.01136764583,139.421190023086,1346.87397391188,NA,1001484.37959728,1032160.85740559,103.063100976238,899567.178350809,175505.177387499,3,35064.9350649351,"Multiple",102.1277255,2.4,"Diisopropylamine","C6H15N","101.12045","M+H",8066.7140603877,12415.0226734223,"DTXSID9025085","DTXSID9025085","Diisopropylamine","CC(C)NC(C)C","N-propan-2-ylpropan-2-amine","C6H15N",101.1204495,"","101.1204495","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.12527545,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.900818377,2.159452676,2,NA,"",0,NA,"0","nurses1",0.42360926649596,0.206185174207932,2.05450885653283,0.0412670919080627,"1","0","pos"
"19","102.12752-54.2",2908,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"13-Dimethylbutylamine","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID4025113","DTXSID4025113","1,3-Dimethylbutylamine","CC(C)CC(C)N","4-methylpentan-2-amine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-4.454137298,6.488544528,1,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"20","102.12752-54.2",6426,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"Diisopropylamine","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID9025085","DTXSID9025085","Diisopropylamine","CC(C)NC(C)C","N-propan-2-ylpropan-2-amine","C6H15N",101.1204495,"","101.1204495","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.12527545,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.900818377,2.159452676,2,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"21","102.12752-54.2",4773,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"2-PropanamineN-(1-methylethyl)-lithiumsalt","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID6063305","DTXSID6063305","2-Propanamine,,N-(1-methylethyl),-,lithium,salt","CC(C)NC(C)C","N-propan-2-ylpropan-2-amine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.745079596,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"22","102.12752-54.2",2178,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"Triethylamine","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID3024366","DTXSID3024366","Triethylamine","CCN(CC)CC","N,N-diethylethanamine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.904052962,8.318775703,12,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"23","102.12752-54.2",5488,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"Benzenesulfonicacid4-methyl-compdwithNN-diethylethanamine(1:1)","C13H23NO3S","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID7065883","DTXSID7065883","Benzenesulfonic,acid,,4-methyl,-,compd.,with,N,N-diethylethanamine,(1:1)","CCN(CC)CC","N,N-diethylethanamine","C13H23NO3S",101.1204495,"","273.1398648","exposurepred","",NA,NA,NA,NA,NA,1,1.239416123,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"24","102.12752-54.2",1322,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"EthanamineNN-diethyl-sulfate","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID1068930","DTXSID1068930","Ethanamine,,N,N-diethyl,-,sulfate","CCN(CC)CC","N,N-diethylethanamine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.205022282,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"25","102.12752-54.2",4302,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"N-Ethyl-N-butylamine","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID6025276","DTXSID6025276","N-Ethyl-N-butylamine","CCCCNCC","N-ethylbutan-1-amine","C6H15N",101.1204495,"","101.1204495","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.865888221,6.776555427,2,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"26","102.12752-54.2",6091,102.12752,54.2,100,100,100,0,29099.486651943,12813.990123496,44.0351071369859,26162.6111509327,26676.1067586295,24752.9367268375,9604.90160496294,38.803079048593,21826.5725510501,23198.8349228154,1007251.52040307,1036627.02203528,102.916401815949,904084.943156069,181791.10610919,3,35064.9350649351,"Multiple",102.1277255,2.01,"NN-Dimethylbutylamine","C6H15N","101.12045","M+H",26926.2116893902,3740.78437777401,"DTXSID8047472","DTXSID8047472","N,N-Dimethylbutylamine","CCCCN(C)C","N,N-dimethylbutan-1-amine","C6H15N",101.1204495,"","101.1204495","exposurepred","",NA,NA,NA,NA,NA,1,0.425301834,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,NA,"0","nurses1",0.179528063839975,0.0462044645327923,3.88551335147624,0.000140056175352781,"1","0","pos"
"27","103.07505-300.3",3923,103.07505,300.3,100,100,100,0,8605.55466338924,3502.03744341231,40.6950810307566,7773.84110159193,7948.49387615077,9708.36984698871,3796.07105562495,39.1010140265967,8801.73274722959,9072.85772236263,15454.2994363499,4859.53025541161,31.4445198595128,14848.6138998402,14743.4764453017,2,10,"Multiple",103.0753556,2.96,"Methylbutyrate","C5H10O2","102.06808","M+H",9156.96225518898,168.771029143343,"DTXSID5047083","DTXSID5047083","Methyl,butyrate","CCCC(=O)OC","methyl butanoate","C5H10O2",102.0680796,"","102.0680796","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.526804921,1.311352231,1,NA,"",0,NA,"0","nurses1",-0.202215567958519,0.0470392557689952,-4.29886835267076,2.71564392396719e-05,"0","0","pos"
"28","103.07505-300.3",937,103.07505,300.3,100,100,100,0,8605.55466338924,3502.03744341231,40.6950810307566,7773.84110159193,7948.49387615077,9708.36984698871,3796.07105562495,39.1010140265967,8801.73274722959,9072.85772236263,15454.2994363499,4859.53025541161,31.4445198595128,14848.6138998402,14743.4764453017,2,10,"Multiple",103.0753556,2.96,"Tetrahydrofurfurylalcohol","C5H10O2","102.06808","M+H",9156.96225518898,168.771029143343,"DTXSID1029128","DTXSID1029128","Tetrahydrofurfuryl,alcohol","OCC1CCCO1","oxolan-2-ylmethanol","C5H10O2",102.0680796,"","102.0680796","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-4.868391,9.365958,4,NA,"",0,NA,"0","nurses1",-0.202215567958519,0.0470392557689952,-4.29886835267076,2.71564392396719e-05,"0","0","pos"
"29","103.07505-300.3",3655,103.07505,300.3,100,100,100,0,8605.55466338924,3502.03744341231,40.6950810307566,7773.84110159193,7948.49387615077,9708.36984698871,3796.07105562495,39.1010140265967,8801.73274722959,9072.85772236263,15454.2994363499,4859.53025541161,31.4445198595128,14848.6138998402,14743.4764453017,2,10,"Multiple",103.0753556,2.96,"Isovalericacid","C5H10O2","102.06808","M+H",9156.96225518898,168.771029143343,"DTXSID5029182","DTXSID5029182","Isovaleric,acid","CC(C)CC(=O)O","3-methylbutanoic acid","C5H10O2",102.0680796,"","102.0680796","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,8.416435574,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.594037914,3.099273226,1,NA,"",0,NA,"0","nurses1",-0.202215567958519,0.0470392557689952,-4.29886835267076,2.71564392396719e-05,"0","0","pos"
