"","parent_id","DB_name","is_metab","DTXSID","name_original","name_cleaned","formula","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin"
"50",NA,"DTXSID0020818",0,"DTXSID0020818","Methapyrilene,hydrochloride","N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine","C14H20ClN3S","C14H20ClN3S","261.129969","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.198953517","4.810136739","5","",""
"51",NA,"DTXSID0020862",0,"DTXSID0020862","3-Methylcholanthrene,,3-METHYLCHOLANTHRENE","3-methyl-1,2-dihydrobenzo[j]aceanthrylene","C21H16, C21H16","C21H16, C21H16","268.125201","VBtoxcast, MC","","","","","","","","","1","PAH","","","","","","","","","1","-3.121109596","7.594515188","12","",""
"52",NA,"DTXSID0020943",0,"DTXSID0020943","2-Methoxy-5-nitroaniline,,5-NITRO-ORTHO-ANISIDINE","2-methoxy-5-nitroaniline","C7H8N2O3, C7H8N2O3","C7H8N2O3, C7H8N2O3","168.053492","VBtoxcast, MC","","","","","","","","","1","Aromatic amine","","","","","","","","","1","-3.936604","4.887974","5","",""
"53",NA,"DTXSID0020947",0,"DTXSID0020947","3-(5-,NITRO-,2-,FURYL)-,IMIDAZO(,1,,2-A,)PYRIDINE","3-(5-nitrofuran-2-yl)imidazo[1,2-a]pyridine","C11H7N3O3","C11H7N3O3","229.048741","MC","","","","","","","","","1","","","","","","","","","","","","","","",""
"54",NA,"DTXSID0021040",0,"DTXSID0021040","N-Nitrosohexamethyleneimine","1-nitrosoazepane","C6H12N2O","C6H12N2O","128.094963","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-3.037796","2.423594","5","",""
"55",NA,"DTXSID0021094",0,"DTXSID0021094","4,4'-Oxydianiline,,4,4'-Oxydianiline","4-(4-aminophenoxy)aniline","C12H12N2O, C12H12N2O","C12H12N2O, C12H12N2O","200.094963","VBtoxcast, pellizzari","","","","","","","","","","","","","","","","","","","1","-1.531384227","6.791771428","15","","1"
"56",NA,"DTXSID0021121",0,"DTXSID0021121","Phenformin,hydrochloride","1-(diaminomethylidene)-2-(2-phenylethyl)guanidine","C10H16ClN5","C10H16ClN5","205.132745","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.3569282","4.827035","4","",""
"57",NA,"DTXSID0021123",0,"DTXSID0021123","Phenobarbital,sodium","5-ethyl-2,6-dioxo-5-phenylpyrimidin-4-olate","C12H11N2NaO3","C12H11N2NaO3","231.077516","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.373992579","3.952227224","6","",""
"58",NA,"DTXSID0021125",0,"DTXSID0021125","Phenolphthalein,,Phenolphthalein","3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one","C20H14O4, C20H14O4","C20H14O4, C20H14O4","318.089209","P4Up, VBtoxcast","","","","","","","","","","","","","","","","1","1","","1","-3.840321","14.52903","32","",""
"59",NA,"DTXSID0021129",0,"DTXSID0021129","Phenyl,isothiocyanate","isothiocyanatobenzene","C7H5NS","C7H5NS","135.01427","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.900788707","5.616184305","2","",""
"60",NA,"DTXSID0021254",0,"DTXSID0021254","Safrole","5-prop-2-enyl-1,3-benzodioxole","C10H10O2","C10H10O2","162.06808","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.995546","4.111942","4","",""
"61",NA,"DTXSID0021256",0,"DTXSID0021256","Sulfasalazine","2-hydroxy-5-[[4-(pyridin-2-ylsulfamoyl)phenyl]diazenyl]benzoic acid","C18H14N4O5S","C18H14N4O5S","398.068491","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.412247214","6.112580034","9","",""
"62",NA,"DTXSID0021258",0,"DTXSID0021258","Scopolamine,hydrobromide,trihydrate","[(1R,2R,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate","C17H28BrNO7","C17H28BrNO7","303.147058","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.500958","2.762561","2","",""
"63",NA,"DTXSID0021331",0,"DTXSID0021331","Tetrakis(hydroxymethyl)phosphonium,sulfate","tetrakis(hydroxymethyl)phosphanium","C8H24O12P2S","C8H24O12P2S","155.046772","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.81163476","14.5498685","13","",""
"64",NA,"DTXSID0021333",0,"DTXSID0021333","Tetramethylthiuram,monosulfide","dimethylcarbamothioyl N,N-dimethylcarbamodithioate","C6H12N2S3","C6H12N2S3","208.016261","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.003088","17.78989","88","",""
"65",NA,"DTXSID0021337",0,"DTXSID0021337","Thiabendazole,,Thiabendazole","4-(1H-benzimidazol-2-yl)-1,3-thiazole","C10H7N3S, C10H7N3S","C10H7N3S, C10H7N3S","201.036068","VBtoxcast, pellizzari","","","","","","","","","","","","","","","","","","","1","-1.988123356","7.062473421","19","","1"
"66",NA,"DTXSID0021339",0,"DTXSID0021339","Thiotepa,,THIOTEPA,,THIOTEPA","tris(aziridin-1-yl)-sulfanylidene-lambda5-phosphane","C6H12N3PS, C6H12N3PS, C6H12N3PS","C6H12N3PS, C6H12N3PS, C6H12N3PS","189.048955","VBtoxcast, Drug, MC","1","","0","0","","0","","","1","Pharmaceutical","","","","","","","","","1","-2.937719011","10.71104133","9","",""
"67",NA,"DTXSID0021383",0,"DTXSID0021383","Trichloroethylene","1,1,2-trichloroethene","C2HCl3","C2HCl3","129.914383","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.474659","3.319173","3","",""
"68",NA,"DTXSID0021385",0,"DTXSID0021385","Folpet,,Folpet","2-(trichloromethylsulfanyl)isoindole-1,3-dione","C9H4Cl3NO2S, C9H4Cl3NO2S","C9H4Cl3NO2S, C9H4Cl3NO2S","294.902832","pesticidemammarytumors, VBtoxcast","","","","","","","","","","","","","","","","","","1","1","-3.525540471","16.33598319","31","",""
"69",NA,"DTXSID0021389",0,"DTXSID0021389","Trichlorfon","2,2,2-trichloro-1-dimethoxyphosphorylethanol","C4H8Cl3O4P","C4H8Cl3O4P","255.922578","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.443124163","5.86746188","12","",""
"70",NA,"DTXSID0021410",0,"DTXSID0021410","Triprolidine,hydrochloride,monohydrate","2-[(E)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-enyl]pyridine","C19H25ClN2O","C19H25ClN2O","278.178299","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.917246043","7.636310704","3","",""
"71",NA,"DTXSID0021414",0,"DTXSID0021414","Tris(2-ethylhexyl),phosphate,,Tris(2-ethylhexyl),phosphate,,Tris(2-ethylhexyl),phosphate,,Tris(2-ethylhexyl),phosphate","tris(2-ethylhexyl) phosphate","C24H51O4P, C24H51O4P, C24H51O4P, C24H51O4P","C24H51O4P, C24H51O4P, C24H51O4P, C24H51O4P","434.352497","exposurepred, VBtoxcast, pellizzari, FRs","","","","","1","","1","15.64033316","","","","","","","","","","","1","-2.525163","11.19986","12","","1"
"72",NA,"DTXSID0021460",0,"DTXSID0021460","Zearalenone,,Zearalenone,,Zearalenone","(4S,12E)-16,18-dihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),12,15,17-tetraene-2,8-dione","C18H22O5, C18H22O5, C18H22O5","C18H22O5, C18H22O5, C18H22O5","318.146724","ERactive, VBtoxcast, MGDev","","","","","","","","","","","1","1","0.71","","","","","","1","-4.960336752","16.30604556","42","",""
"73",NA,"DTXSID0021462",0,"DTXSID0021462","Zinc,dibutyldithiocarbamate","None","C18H36N2S4Zn","C18H36N2S4Zn","204.088615","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.13957366","10.23013662","1","",""
"74",NA,"DTXSID0021464",0,"DTXSID0021464","Ziram","N,N-dimethylcarbamodithioate","C6H12N2S4Zn","C6H12N2S4Zn","119.994715","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.066224459","21.74652668","126","",""
"75",NA,"DTXSID0021543",0,"DTXSID0021543","1-Chlorooctane","1-chlorooctane","C8H17Cl","C8H17Cl","148.101878","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.447390384","15.42203059","6","",""
"76",NA,"DTXSID0021545",0,"DTXSID0021545","2-Chloropropanoic,acid","2-chloropropanoic acid","C3H5ClO2","C3H5ClO2","107.997807","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.777715829","1.111330112","1","",""
"77",NA,"DTXSID0021597",0,"DTXSID0021597","Heptanal","heptanal","C7H14O","C7H14O","114.104465","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-1.001417395","4.514190058","4","",""
"78",NA,"DTXSID0021599",0,"DTXSID0021599","Heptanenitrile","heptanenitrile","C7H13N","C7H13N","111.104799","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-5.295303669","4.306946882","11","",""
"79",NA,"DTXSID0021626",0,"DTXSID0021626","4-Isopropylbenzyl,alcohol","(4-propan-2-ylphenyl)methanol","C10H14O","C10H14O","150.104465","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.703797132","4.912837893","3","",""
"80",NA,"DTXSID0021751",0,"DTXSID0021751","2,2,2-Trifluoroethanol","2,2,2-trifluoroethanol","C2H3F3O","C2H3F3O","100.013599","exposurepred","","","","","","","1","0.530154303","","","","","","","","","","","","","","","",""
"81",NA,"DTXSID0021757",0,"DTXSID0021757","1-Ethynylcyclohexanol","1-ethynylcyclohexan-1-ol","C8H12O","C8H12O","124.088815","exposurepred","","","","","","","1","34.6503152","","","","","","","","","","","","","","","",""
"82",NA,"DTXSID0021832",0,"DTXSID0021832","N,N,4-Trimethylaniline,,N,N,4-Trimethylaniline","N,N,4-trimethylaniline","C9H13N, C9H13N","C9H13N, C9H13N","135.104799","VBtoxcast, pellizzari","","","","","","","","","","","","","","","","","","","1","-1.800078","7.220973","3","","1"
"83",NA,"DTXSID0021834",0,"DTXSID0021834","4-Nitrophenol,,4-Nitrophenol","4-nitrophenol","C6H5NO3, C6H5NO3","C6H5NO3, C6H5NO3","139.026943","P4Up, VBtoxcast","","","","","","","","","","","","","","","","1","3","","1","-4.801966456","9.43323045","9","",""
"84",NA,"DTXSID0021836",0,"DTXSID0021836","1,4-Dinitrobenzene","1,4-dinitrobenzene","C6H4N2O4","C6H4N2O4","168.017107","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-2.844756802","6.154330002","6","",""
"85",NA,"DTXSID0021886",0,"DTXSID0021886","2,4,4-Trimethyl-2-pentanamine","2,4,4-trimethylpentan-2-amine","C8H19N","C8H19N","129.15175","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-4.762865997","2.407660331","1","",""
"86",NA,"DTXSID0021915",0,"DTXSID0021915","Diethyl,decanedioate","diethyl decanedioate","C14H26O4","C14H26O4","258.183109","VBtoxcast","","","","","","","","","","","","","","","","","","","1","-0.348091477","3.579394152","1","",""
"87",NA,"DTXSID0021961",0,"DTXSID0021961","Benzophenone,,Benzophenone","diphenylmethanone","C13H10O, C13H10O","C13H10O, C13H10O","182.073165","exposurepred, VBtoxcast","","","","","","","1","0.235930288","","","","","","","","","","","1","-2.414958034","4.866122859","6","",""
