"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DF_high_N","parent_id","DB_name","name_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","carcino","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"11","209.05874-262.1",7229,209.05874,262.1,100,100,41.6666666666667,0,315451.286594236,1649172.69884336,522.797899050794,25080.7819784574,27608.2262176649,44979.3105220046,112533.196771368,250.188798950832,22824.4040211217,21548.1999449984,78.6332005597367,137.573733937191,174.956294488711,0,NA,3,25714.2857142857,"Multiple",209.0567808,9.37,"C9H10N2O4","210.06406","M-H",180215.29855812,0.0436329219488418,"0","DTXSID00379884","DTXSID00379884-BTMR0222","3-(PERFLUORO-3-METHYLBUTYL)-1,2-PROPENOXIDE","FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1","2-[2,2,3,3,4,5,5,5-octafluoro-4-(trifluoromethyl)pentyl]oxirane","C8H5F11O","326.016475","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"12","215.0377-346.3",7237,215.0377,346.3,97.5,100,0,-2.5,19690.8157773221,23707.9874137283,120.401245341154,13761.0687509049,NA,18873.2906954148,25912.6265723079,137.297872376879,12717.1306278439,11286.9917236481,0,0,NA,0,NA,3,15000,"Unique",215.038353864,3.04,"C9H12O4S","216.04563","M-H",19282.0532363684,0,"0","DTXSID00382171","DTXSID00382171-BTMR0501","2(PERFLUORO-2-PROPYL)ETHANOL","OCCC(F)(C(F)(F)F)C(F)(F)F","3,4,4,4-tetrafluoro-3-(trifluoromethyl)butan-1-ol","C5H5F7O","214.022862","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"13","427.11116-478.1",7238,427.11116,478.1,85.8333333333333,78.75,0,7.08333333333333,8373.74433349501,11800.7537179671,140.925651034795,2756.34098244589,NA,7649.9868407441,9235.43029255168,120.724786654056,3740.97038451842,NA,0,0,NA,0,NA,3,27000,"Unique",427.1146896,8.26,"C21H20N2O8","428.12197","M-H",8011.86558711956,0,"0","DTXSID0038700","DTXSID0038700-BTMR0171","2-Methoxy-4-nitroaniline","COc1cc([N+](=O)[O-])ccc1N","2-methoxy-4-nitroaniline","C7H8N2O3","168.053492","ERactive, VBtoxcast","","","","","","","","","","","","1","0","","","","","","1","-5.114555","8.9132","8","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"14","229.05412-384.6",7261,229.05412,384.6,100,100,91.6666666666667,0,1545862.3180727,2105691.15381953,136.214663440713,450696.720656966,472406.878557841,1959358.66301913,2833047.54349364,144.59055388707,503049.276305056,590393.559895104,3306.61866449322,3654.32401344219,110.51543538064,2328.4453761437,NA,3,54000,"Multiple",229.054003928,0.51,"C10H14O4S","230.06128","M-H",1752610.49054591,0.188668199941178,"0","DTXSID0060985","DTXSID0060985-BTMR0226","HEXAFLUOROGLUTARYL,CHLORIDE","O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl","2,2,3,3,4,4-hexafluoropentanedioyl dichloride","C5Cl2F6O2","275.917954","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"15","368.07209-457.7",7266,368.07209,457.7,57.5,38.75,0,18.75,454.26359898532,1839.85665146715,405.019608785913,111.565476731412,NA,151.192374896523,258.842179223239,171.200551218533,0,NA,0,0,NA,0,NA,3,20769.2307692308,"Multiple",368.06885804,8.78,"C12H20ClN3O6S","369.07613","M-H",302.727986940921,0,"1","DTXSID10171538","DTXSID10171538-BTMR0229","1H,1H,9H-PERFLUORONONYL,METHACRYLATE","C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononyl 2-methylprop-2-enoate","C13H8F16O2","500.026881","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",1.76190372925725,0.479801520970391,3.67215119638184,0.000310939427051628,"1","1","neg"
"16","285.12582-550.3",7270,285.12582,550.3,100,100,100,0,15634.9638633809,9297.78391801938,59.4678951564191,14951.2545913972,12884.6427151466,17044.731401514,11698.731821574,68.6354718416672,16110.3325024625,13794.2745399796,16975.5407601429,8188.92801877914,48.2395708889936,17175.254010988,14592.1174429305,3,16993.006993007,"Unique",285.124466436,4.75,"C16H18N2O3","286.13174","M-H",16339.8476324475,103.890447095927,"0","DTXSID1020221","DTXSID1020221-BTMR0166","4-tert-Butylphenol","CC(C)(C)c1ccc(O)cc1","4-tert-butylphenol","C10H14O","150.104465","ERactive, VBtoxcast","","","","","","","","","","","","1","0.161","","","","","","1","-1.095254","12.76574","8","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"17","356.11681-357.2",7340,356.11681,357.2,97.5,92.5,0,5,74985.2827502596,93369.7457063706,124.517428329691,39502.5809863535,NA,67522.9487802476,90379.7680052575,133.850445867518,46486.4106832113,NA,0,0,NA,0,NA,3,26470.5882352941,"Unique",356.113961328,8,"C19H19NO6","357.12124","M-H",71254.1157652536,0,"0","DTXSID1041920","DTXSID1041920-BTMR0501","2-(2-Ethylhexyloxy)ethanol","CCCCC(CC)COCCO","2-(2-ethylhexoxy)ethanol","C10H22O2","174.16198","ERactive, exposurepred, VBtoxcast","","","","","","","1","0.152673339","","","","1","0.000532","","","","","","1","-2.164614128","9.413137158","2","","","0",0,"nurses1",0.969646368954985,0.514360307680179,1.88515006791289,0.0609044712821464,"1","1","neg"
"18","395.20611-558.8",7359,395.20611,558.8,100,100,50,0,39902.815659388,87459.5992999232,219.181523545811,27129.834715189,24945.6421758957,28320.4589394793,22755.2771446005,80.3492527901063,24830.7422541962,18040.9638525981,2813.59143990553,6130.20519364476,217.878299837683,67.1668826452225,NA,2,10,"Multiple",395.207527364,3.59,"C21H32O7","396.2148","M-H",34111.6372994336,8.24818643329163,"0","DTXSID10880178","DTXSID10880178-BTMR0229","HEXAFLUOROISOPROPYL,ACRYLATE","C=CC(=O)OC(C(F)(F)F)C(F)(F)F","1,1,1,3,3,3-hexafluoropropan-2-yl prop-2-enoate","C6H4F6O2","222.011549","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",0.526902261372714,0.135716151785664,3.88238433259477,0.000141738721755873,"1","1","neg"
"19","395.2066-342.8",7359,395.2066,342.8,64.1666666666667,52.5,8.33333333333333,11.6666666666667,2536.09249142381,6239.71817598264,246.036696101708,246.185844625045,NA,2250.05235707204,5577.68467787282,247.891328410286,100.304643032388,NA,10.8041235676501,37.4265819008445,346.410161513776,0,NA,2,10,"Multiple",395.207527364,2.35,"C21H32O7","396.2148","M-H",2393.07242424792,0.4514749933256,"1","DTXSID10880178","DTXSID10880178-BTMR0229","HEXAFLUOROISOPROPYL,ACRYLATE","C=CC(=O)OC(C(F)(F)F)C(F)(F)F","1,1,1,3,3,3-hexafluoropropan-2-yl prop-2-enoate","C6H4F6O2","222.011549","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",1.23893123494438,0.647486258647184,1.91344792016578,0.0571630134871536,"1","1","neg"
"20","299.13212-640.3",7360,299.13212,640.3,100,100,100,0,19837.6434136338,9425.31128744816,47.5122527959668,19473.1182294004,17280.0092745846,19412.7324418443,11192.8098662583,57.6570552331522,18660.3960379601,15734.8245075796,8669.66521402032,4885.68846180819,56.3538307558543,6968.82502759062,7592.08250762831,3,22314.0495867768,"Multiple",299.132254248,0.45,"C15H24O4S","300.13953","M-H",19625.1879277391,44.176215004628,"0","DTXSID20165701","DTXSID20165701-BTMR0165","3,3-BIS(TRIFLUOROMETHYL)-3-HYDROXYPROPIONIC,ACID","O=C(O)CC(O)(C(F)(F)F)C(F)(F)F","4,4,4-trifluoro-3-hydroxy-3-(trifluoromethyl)butanoic acid","C5H4F6O3","226.006463","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",0.178388336426999,0.0828233073074105,2.1538422242049,0.0324860411749876,"1","1","neg"
"21","378.10084-429.9",7362,378.10084,429.9,100,98.75,0,1.25,136161.537455223,128347.568729539,94.2612511053253,93815.502913706,73361.7220023049,114392.890078484,97088.0824714947,84.872479753666,93263.1437390008,NA,0,0,NA,0,NA,3,24545.4545454545,"Unique",378.101682392,2.23,"C18H21NO6S","379.10896","M-H",125277.213766853,0,"0","DTXSID20188995","DTXSID20188995-BTMR0224","1H-PERFLUOROHEXANE","FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorohexane","C6HF13","319.987067","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"22","201.02292-289.1",7375,201.02292,289.1,100,100,100,0,832187.881403302,3159101.45479383,379.61397004084,122656.219771811,184313.76846604,1129941.3154012,2292991.87191749,202.93017351112,135431.23357869,241316.053453076,12278.8207734409,3170.62565449377,25.8219067856404,10870.3036746522,11941.8109589943,3,49090.9090909091,"Unique",201.0227038,1.08,"C8H10O4S","202.02998","M-H",981064.598402252,1.25158127134931,"0","DTXSID2020426","DTXSID2020426-BTMR1242","Dicloran","Nc1c(Cl)cc([N+](=O)[O-])cc1Cl","2,6-dichloro-4-nitroaniline","C6H4Cl2N2O2","205.964983","VBtoxcast, pellizzari","","","","","","","","","","","","","","","","","","","1","-2.865788","7.681528","14","","1","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"23","445.18625-565.2",7379,445.18625,565.2,100,100,100,0,1136263.2308611,1121224.78163828,98.6764995280694,677160.607954832,799143.896356685,1616894.87298092,1160348.27295126,71.7639898759792,1183825.72689643,1215954.10840407,1116606.43438153,1223874.98537558,109.606657071922,512330.397771429,743270.718004,3,51428.5714285714,"Unique",445.18679192,1.22,"C24H30O8","446.19407","M-H",1376579.05192101,81.1145885754479,"0","DTXSID2020892","DTXSID2020892-BTMR0501","METRONIDAZOLE","Cc1ncc([N+](=O)[O-])n1CCO","2-(2-methyl-5-nitroimidazol-1-yl)ethanol","C6H9N3O3","171.064391","Drug, MC","1","1","0","0","","0","","","1","Pharmaceutical","","","","","","","","","","","","","","","0",1,"nurses1",-0.591170353006351,0.112231800162989,-5.26740506833022,3.65874382699076e-07,"0","1","neg"
"24","357.09824-389.6",7431,357.09824,389.6,97.5,92.5,0,5,9919.12805367276,9921.3823583449,100.022726843125,7088.56130621574,NA,10323.3389788249,12882.37919872,124.788881050444,5847.78537705179,NA,0,0,NA,0,NA,3,21600,"Multiple",357.097976916,0.74,"C19H18O7","358.10525","M-H",10121.2335162489,0,"0","DTXSID20382618","DTXSID20382618-BTMR0501","2-IODO-1H,1H,2H,3H,3H-PERFLUORODECAN-1-OL","OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-pentadecafluoro-2-iododecan-1-ol","C10H6F15IO","553.922386","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"25","388.02862-74.7",7436,388.02862,74.7,100,100,50,0,27111.8465798692,12084.8665169638,44.5741181124009,29187.126115048,19628.5894624069,26470.964426975,10386.0844767991,39.2357615282627,28127.7433478685,22101.0245068176,31100.7458186324,69779.5950446034,224.366307649119,936.69755422817,NA,3,25471.6981132076,"Unique",388.0272732,3.47,"C10H10F7NO7","389.03455","M-H",26791.4055034221,116.084786274688,"0","DTXSID2041252","DTXSID2041252-BTMR0171","1,4-Diaminoanthraquinone","Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O","1,4-diaminoanthracene-9,10-dione","C14H10N2O2","238.074228","E2Up, P4Up, VBtoxcast","","","","","","","","","","","","","","1","2","1","2","","1","-2.576777333","9.375372765","22","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"26","470.22376-344.3",7449,470.22376,344.3,100,96.25,0,3.75,75315.3877605703,51320.3242798827,68.1405564066555,62974.7020947366,58762.7689444722,45031.2278413771,39246.9939670958,87.1550607177395,35337.4294915192,NA,0,0,NA,0,NA,3,21600,"Unique",470.2269797,6.85,"C22H35N2O9","471.23426","M-H",60173.3078009737,0,"0","DTXSID20880124","DTXSID20880124-BTMR0244","N,N-DIETHYL-2H-PERFLUOROPROPANAMINE","CCN(CC)C(F)(F)C(F)C(F)(F)F","N,N-diethyl-1,1,2,3,3,3-hexafluoropropan-1-amine","C7H11F6N","223.079569","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,"nurses1",1.62209081526909,0.302753580793846,5.35779233730557,2.37285139710673e-07,"1","1","neg"
"27","273.04329-159.5",7452,273.04329,159.5,57.5,61.25,0,-3.75000000000001,2729.70917358661,4841.94711485747,177.379596394716,139.868838214273,NA,2522.26704471282,4976.16247871741,197.289279465806,219.870475260142,NA,0,0,NA,0,NA,2,10,"Unique",273.043833168,1.99,"C11H14O6S","274.05111","M-H",2625.98810914971,0,"0","DTXSID20880129","DTXSID20880129-BTMR0501","1H,1H-PERFLUORO-1-PENTANOL","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F","2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol","C5H3F9O","250.004019","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"28","273.04333-266",7452,273.04333,266,82.5,90,0,-7.5,24006.4610306945,41350.8734242715,172.248934865495,8362.66099872265,NA,24478.6143629143,32362.2008998888,132.206016321407,16279.4735224528,NA,0,0,NA,0,NA,2,10,"Unique",273.043833168,1.84,"C11H14O6S","274.05111","M-H",24242.5376968044,0,"0","DTXSID20880129","DTXSID20880129-BTMR0501","1H,1H-PERFLUORO-1-PENTANOL","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F","2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol","C5H3F9O","250.004019","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"29","123.04516-197.3",7456,123.04516,197.3,100,100,66.6666666666667,0,236646.190770684,222707.736447416,94.1100026677485,173459.757135405,154508.037557274,224238.226232132,248892.950331387,110.994880094053,146988.635972754,148389.894904804,2824.35593437482,2965.04718171451,104.981356833512,2143.44598278887,NA,3,26213.5922330098,"Multiple",123.045153,0.06,"C7H8O2","124.05243","M-H",230442.208501408,1.22562439960193,"0","DTXSID30182964","DTXSID30182964-BTMR0165","(PERFLUOROCYCLOHEXYL)METHANOL","OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F","(1,2,2,3,3,4,4,5,5,6,6-undecafluorocyclohexyl)methanol","C7H3F11O","312.000825","PFAS","0","","0","0","","1","","","","","","","","","","","","","","","","","","","0",0,NA,NA,NA,NA,NA,"0","1","neg"
"30","307.02762-350",7474,307.02762,350,94.1666666666667,90,0,4.16666666666667,90442.1656067644,223194.086340235,246.781006229623,23861.5838150323,NA,36192.8327146136,63022.1214729729,174.128734188652,17548.3383323581,NA,0,0,NA,0,NA,3,23893.8053097345,"Multiple",307.028183,1.83,"C14H12O6S","308.03546","M-H",63317.499160689,0,"0","DTXSID3020465","DTXSID3020465-BTMR0197","Diethylstilbestrol","CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1","4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol","C18H20O2","268.14633","ERactive, VBtoxcast, MC, MGDev","","","","","","","","","1","Hormone or EDC","1","1","0.943","","","","","","1","-6.833839031","17.88061358","42","","","0",1,"nurses1",1.19389599825012,0.434187826335606,2.74972241466598,0.00652847889168571,"1","1","neg"
"31","707.76155-203.8",7491,707.76155,203.8,93.3333333333333,80,0,13.3333333333333,55660.0880850997,64083.3019636732,115.133310363604,43194.6271975048,NA,31150.1763317961,39589.2449813036,127.091559802483,13221.5547040587,NA,0,0,NA,0,NA,3,519.230769230769,"Multiple",707.765528728,5.62,"C17H19Br4N3O6S","708.7728","M-H",43405.1322084479,0,"1","DTXSID3022877","DTXSID3022877-BTMR0171","Cytarabine","Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1","4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","C9H13N3O5","243.085521","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-2.905647426","4.479904214","23","","","0",0,"nurses1",2.28969918305436,0.510000413001155,4.48960260557511,1.22253667816049e-05,"1","1","neg"
"32","707.76155-203.8",7492,707.76155,203.8,93.3333333333333,80,0,13.3333333333333,55660.0880850997,64083.3019636732,115.133310363604,43194.6271975048,NA,31150.1763317961,39589.2449813036,127.091559802483,13221.5547040587,NA,0,0,NA,0,NA,3,519.230769230769,"Multiple",707.765528728,5.62,"C17H19Br4N3O6S","708.7728","M-H",43405.1322084479,0,"1","DTXSID3022877","DTXSID3022877-BTMR0501","Cytarabine","Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1","4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","C9H13N3O5","243.085521","VBtoxcast, Drug","1","","0","0","","0","","","","","","","","","","","","","1","-2.905647426","4.479904214","23","","","0",0,"nurses1",2.28969918305436,0.510000413001155,4.48960260557511,1.22253667816049e-05,"1","1","neg"
