,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,SD_N/SD_OW,cv_N/cv_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,fragment?,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2XFB, higher N_Int, higher N df"
11,209.05874-262.1,7229,209.05874,262.1,100,100,41.66666667,0,315451.2866,1649172.699,522.7978991,25080.78198,27608.22622,44979.31052,112533.1968,250.188799,22824.40402,21548.19994,14.65498845,2.089613529,78.63320056,137.5737339,174.9562945,0,NA,3,25714.28571,Multiple,209.0567808,9.37,C9H10N2O4,210.06406,M-H,180215.2986,0.043632922,0,DTXSID00379884,DTXSID00379884-BTMR0222,"3-(PERFLUORO-3-METHYLBUTYL)-1,2-PROPENOXIDE",1,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1,"2-[2,2,3,3,4,5,5,5-octafluoro-4-(trifluoromethyl)pentyl]oxirane",C8H5F11O,326.016475,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
12,215.0377-346.3,7237,215.0377,346.3,97.5,100,0,-2.5,19690.81578,23707.98741,120.4012453,13761.06875,NA,18873.2907,25912.62657,137.2978724,12717.13063,11286.99172,0.914920274,0.876934531,0,0,NA,0,NA,3,15000,Unique,215.0383539,3.04,C9H12O4S,216.04563,M-H,19282.05324,0,0,DTXSID00382171,DTXSID00382171-BTMR0501,2(PERFLUORO-2-PROPYL)ETHANOL,?,OCCC(F)(C(F)(F)F)C(F)(F)F,"3,4,4,4-tetrafluoro-3-(trifluoromethyl)butan-1-ol",C5H5F7O,214.022862,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
13,427.11116-478.1,7238,427.11116,478.1,85.83333333,78.75,0,7.083333333,8373.744333,11800.75372,140.925651,2756.340982,NA,7649.986841,9235.430293,120.7247867,3740.970385,NA,1.277769778,1.167329883,0,0,NA,0,NA,3,27000,Unique,427.1146896,8.26,C21H20N2O8,428.12197,M-H,8011.865587,0,0,DTXSID0038700,DTXSID0038700-BTMR0171,2-Methoxy-4-nitroaniline,1,COc1cc([N+](=O)[O-])ccc1N,2-methoxy-4-nitroaniline,C7H8N2O3,168.053492,"ERactive, VBtoxcast",,,,,,,,,,,,1,0,,,,,,1,-5.114555,8.9132,8,,,0,0,NA,NA,NA,NA,NA,0,1,neg,1,
14,229.05412-384.6,7261,229.05412,384.6,100,100,91.66666667,0,1545862.318,2105691.154,136.2146634,450696.7207,472406.8786,1959358.663,2833047.543,144.5905539,503049.2763,590393.5599,0.743260084,0.942071662,3306.618664,3654.324013,110.5154354,2328.445376,NA,3,54000,Multiple,229.0540039,0.51,C10H14O4S,230.06128,M-H,1752610.491,0.1886682,0,DTXSID0060985,DTXSID0060985-BTMR0226,"HEXAFLUOROGLUTARYL,CHLORIDE",?,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl,"2,2,3,3,4,4-hexafluoropentanedioyl dichloride",C5Cl2F6O2,275.917954,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
15,368.07209-457.7,7266,368.07209,457.7,57.5,38.75,0,18.75,454.263599,1839.856651,405.0196088,111.5654767,NA,151.1923749,258.8421792,171.2005512,0,NA,7.108024886,2.365761126,0,0,NA,0,NA,3,20769.23077,Multiple,368.068858,8.78,C12H20ClN3O6S,369.07613,M-H,302.7279869,0,1,DTXSID10171538,DTXSID10171538-BTMR0229,"1H,1H,9H-PERFLUORONONYL,METHACRYLATE",1,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluorononyl 2-methylprop-2-enoate",C13H8F16O2,500.026881,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,1.761903729,0.479801521,3.672151196,0.000310939,1,1,neg,0,1
16,285.12582-550.3,7270,285.12582,550.3,100,100,100,0,15634.96386,9297.783918,59.46789516,14951.25459,12884.64272,17044.7314,11698.73182,68.63547184,16110.3325,13794.27454,0.794768532,0.866430922,16975.54076,8188.928019,48.23957089,17175.25401,14592.11744,3,16993.00699,Unique,285.1244664,4.75,C16H18N2O3,286.13174,M-H,16339.84763,103.8904471,0,DTXSID1020221,DTXSID1020221-BTMR0166,4-tert-Butylphenol,,CC(C)(C)c1ccc(O)cc1,4-tert-butylphenol,C10H14O,150.104465,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.161,,,,,,1,-1.095254,12.76574,8,,,0,0,NA,NA,NA,NA,NA,0,1,neg,1,
17,356.11681-357.2,7340,356.11681,357.2,97.5,92.5,0,5,74985.28275,93369.74571,124.5174283,39502.58099,NA,67522.94878,90379.76801,133.8504459,46486.41068,NA,1.033082379,0.930272795,0,0,NA,0,NA,3,26470.58824,Unique,356.1139613,8,C19H19NO6,357.12124,M-H,71254.11577,0,0,DTXSID1041920,DTXSID1041920-BTMR0501,2-(2-Ethylhexyloxy)ethanol,1,CCCCC(CC)COCCO,2-(2-ethylhexoxy)ethanol,C10H22O2,174.16198,"ERactive, exposurepred, VBtoxcast",,,,,,,1,0.152673339,,,,1,0.000532,,,,,,1,-2.164614128,9.413137158,2,,,0,0,nurses1,0.969646369,0.514360308,1.885150068,0.060904471,1,1,neg,1,1
18,395.20611-558.8,7359,395.20611,558.8,100,100,50,0,39902.81566,87459.5993,219.1815235,27129.83472,24945.64218,28320.45894,22755.27714,80.34925279,24830.74225,18040.96385,3.843486447,2.727860135,2813.59144,6130.205194,217.8782998,67.16688265,NA,2,10,Multiple,395.2075274,3.59,C21H32O7,396.2148,M-H,34111.6373,8.248186433,0,DTXSID10880178,DTXSID10880178-BTMR0229,"HEXAFLUOROISOPROPYL,ACRYLATE",1,C=CC(=O)OC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoropropan-2-yl prop-2-enoate",C6H4F6O2,222.011549,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,0.526902261,0.135716152,3.882384333,0.000141739,1,1,neg,0,1
19,395.2066-342.8,7359,395.2066,342.8,64.16666667,52.5,8.333333333,11.66666667,2536.092491,6239.718176,246.0366961,246.1858446,NA,2250.052357,5577.684678,247.8913284,100.304643,NA,1.118693246,0.992518366,10.80412357,37.4265819,346.4101615,0,NA,2,10,Multiple,395.2075274,2.35,C21H32O7,396.2148,M-H,2393.072424,0.451474993,1,DTXSID10880178,DTXSID10880178-BTMR0229,"HEXAFLUOROISOPROPYL,ACRYLATE",1,C=CC(=O)OC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoropropan-2-yl prop-2-enoate",C6H4F6O2,222.011549,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,1.238931235,0.647486259,1.91344792,0.057163013,1,1,neg,0,1
20,299.13212-640.3,7360,299.13212,640.3,100,100,100,0,19837.64341,9425.311287,47.5122528,19473.11823,17280.00927,19412.73244,11192.80987,57.65705523,18660.39604,15734.82451,0.84208625,0.824049244,8669.665214,4885.688462,56.35383076,6968.825028,7592.082508,3,22314.04959,Multiple,299.1322542,0.45,C15H24O4S,300.13953,M-H,19625.18793,44.176215,0,DTXSID20165701,DTXSID20165701-BTMR0165,"3,3-BIS(TRIFLUOROMETHYL)-3-HYDROXYPROPIONIC,ACID",1,O=C(O)CC(O)(C(F)(F)F)C(F)(F)F,"4,4,4-trifluoro-3-hydroxy-3-(trifluoromethyl)butanoic acid",C5H4F6O3,226.006463,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,0.178388336,0.082823307,2.153842224,0.032486041,1,1,neg,0,1
21,378.10084-429.9,7362,378.10084,429.9,100,98.75,0,1.25,136161.5375,128347.5687,94.26125111,93815.50291,73361.722,114392.8901,97088.08247,84.87247975,93263.14374,NA,1.321970374,1.110622093,0,0,NA,0,NA,3,24545.45455,Unique,378.1016824,2.23,C18H21NO6S,379.10896,M-H,125277.2138,0,0,DTXSID20188995,DTXSID20188995-BTMR0224,1H-PERFLUOROHEXANE,?,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorohexane",C6HF13,319.987067,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
22,201.02292-289.1,7375,201.02292,289.1,100,100,100,0,832187.8814,3159101.455,379.61397,122656.2198,184313.7685,1129941.315,2292991.872,202.9301735,135431.2336,241316.0535,1.377720302,1.870663014,12278.82077,3170.625654,25.82190679,10870.30367,11941.81096,3,49090.90909,Unique,201.0227038,1.08,C8H10O4S,202.02998,M-H,981064.5984,1.251581271,0,DTXSID2020426,DTXSID2020426-BTMR1242,Dicloran,1,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,"2,6-dichloro-4-nitroaniline",C6H4Cl2N2O2,205.964983,"VBtoxcast, pellizzari",,,,,,,,,,,,,,,,,,,1,-2.865788,7.681528,14,,1,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
23,445.18625-565.2,7379,445.18625,565.2,100,100,100,0,1136263.231,1121224.782,98.67649953,677160.608,799143.8964,1616894.873,1160348.273,71.76398988,1183825.727,1215954.108,0.966282975,1.375014122,1116606.434,1223874.985,109.6066571,512330.3978,743270.718,3,51428.57143,Unique,445.1867919,1.22,C24H30O8,446.19407,M-H,1376579.052,81.11458858,0,DTXSID2020892,DTXSID2020892-BTMR0501,METRONIDAZOLE,,Cc1ncc([N+](=O)[O-])n1CCO,2-(2-methyl-5-nitroimidazol-1-yl)ethanol,C6H9N3O3,171.064391,"Drug, MC",1,1,0,0,,0,,,1,Pharmaceutical,,,,,,,,,,,,,,,0,1,nurses1,-0.591170353,0.1122318,-5.267405068,3.66E-07,0,1,neg,1,
24,357.09824-389.6,7431,357.09824,389.6,97.5,92.5,0,5,9919.128054,9921.382358,100.0227268,7088.561306,NA,10323.33898,12882.3792,124.7888811,5847.785377,NA,0.770151399,0.80153557,0,0,NA,0,NA,3,21600,Multiple,357.0979769,0.74,C19H18O7,358.10525,M-H,10121.23352,0,0,DTXSID20382618,DTXSID20382618-BTMR0501,"2-IODO-1H,1H,2H,3H,3H-PERFLUORODECAN-1-OL",?,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-pentadecafluoro-2-iododecan-1-ol",C10H6F15IO,553.922386,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
25,388.02862-74.7,7436,388.02862,74.7,100,100,50,0,27111.84658,12084.86652,44.57411811,29187.12612,19628.58946,26470.96443,10386.08448,39.23576153,28127.74335,22101.02451,1.16356328,1.136058442,31100.74582,69779.59504,224.3663076,936.6975542,NA,3,25471.69811,Unique,388.0272732,3.47,C10H10F7NO7,389.03455,M-H,26791.4055,116.0847863,0,DTXSID2041252,DTXSID2041252-BTMR0171,"1,4-Diaminoanthraquinone",,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,"1,4-diaminoanthracene-9,10-dione",C14H10N2O2,238.074228,"E2Up, P4Up, VBtoxcast",,,,,,,,,,,,,,1,2,1,2,,1,-2.576777333,9.375372765,22,,,0,0,NA,NA,NA,NA,NA,0,1,neg,2,
26,470.22376-344.3,7449,470.22376,344.3,100,96.25,0,3.75,75315.38776,51320.32428,68.14055641,62974.70209,58762.76894,45031.22784,39246.99397,87.15506072,35337.42949,NA,1.307624332,0.781831323,0,0,NA,0,NA,3,21600,Unique,470.2269797,6.85,C22H35N2O9,471.23426,M-H,60173.3078,0,0,DTXSID20880124,DTXSID20880124-BTMR0244,"N,N-DIETHYL-2H-PERFLUOROPROPANAMINE",1,CCN(CC)C(F)(F)C(F)C(F)(F)F,"N,N-diethyl-1,1,2,3,3,3-hexafluoropropan-1-amine",C7H11F6N,223.079569,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,1.622090815,0.302753581,5.357792337,2.37E-07,1,1,neg,0,1
27,273.04329-159.5,7452,273.04329,159.5,57.5,61.25,0,-3.75,2729.709174,4841.947115,177.3795964,139.8688382,NA,2522.267045,4976.162479,197.2892795,219.8704753,NA,0.97302834,0.899083807,0,0,NA,0,NA,2,10,Unique,273.0438332,1.99,C11H14O6S,274.05111,M-H,2625.988109,0,0,DTXSID20880129,DTXSID20880129-BTMR0501,"1H,1H-PERFLUORO-1-PENTANOL",?,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol",C5H3F9O,250.004019,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
28,273.04333-266,7452,273.04333,266,82.5,90,0,-7.5,24006.46103,41350.87342,172.2489349,8362.660999,NA,24478.61436,32362.2009,132.2060163,16279.47352,NA,1.277752201,1.302882725,0,0,NA,0,NA,2,10,Unique,273.0438332,1.84,C11H14O6S,274.05111,M-H,24242.5377,0,0,DTXSID20880129,DTXSID20880129-BTMR0501,"1H,1H-PERFLUORO-1-PENTANOL",?,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol",C5H3F9O,250.004019,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
29,123.04516-197.3,7456,123.04516,197.3,100,100,66.66666667,0,236646.1908,222707.7364,94.11000267,173459.7571,154508.0376,224238.2262,248892.9503,110.9948801,146988.636,148389.8949,0.894793268,0.84787697,2824.355934,2965.047182,104.9813568,2143.445983,NA,3,26213.59223,Multiple,123.045153,0.06,C7H8O2,124.05243,M-H,230442.2085,1.2256244,0,DTXSID30182964,DTXSID30182964-BTMR0165,(PERFLUOROCYCLOHEXYL)METHANOL,?,OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"(1,2,2,3,3,4,4,5,5,6,6-undecafluorocyclohexyl)methanol",C7H3F11O,312.000825,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,1,neg,0,
30,307.02762-350,7474,307.02762,350,94.16666667,90,0,4.166666667,90442.16561,223194.0863,246.7810062,23861.58382,NA,36192.83271,63022.12147,174.1287342,17548.33833,NA,3.541519726,1.417233103,0,0,NA,0,NA,3,23893.80531,Multiple,307.028183,1.83,C14H12O6S,308.03546,M-H,63317.49916,0,0,DTXSID3020465,DTXSID3020465-BTMR0197,Diethylstilbestrol,,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,C18H20O2,268.14633,"ERactive, VBtoxcast, MC, MGDev",,,,,,,,,1,Hormone or EDC,1,1,0.943,,,,,,1,-6.833839031,17.88061358,42,,,0,1,nurses1,1.193895998,0.434187826,2.749722415,0.006528479,1,1,neg,3,1
31,707.76155-203.8,7491,707.76155,203.8,93.33333333,80,0,13.33333333,55660.08809,64083.30196,115.1333104,43194.6272,NA,31150.17633,39589.24498,127.0915598,13221.5547,NA,1.618704827,0.90590839,0,0,NA,0,NA,3,519.2307692,Multiple,707.7655287,5.62,C17H19Br4N3O6S,708.7728,M-H,43405.13221,0,1,DTXSID3022877,DTXSID3022877-BTMR0171,Cytarabine,?,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C9H13N3O5,243.085521,"VBtoxcast, Drug",1,,0,0,,0,,,,,,,,,,,,,1,-2.905647426,4.479904214,23,,,0,0,nurses1,2.289699183,0.510000413,4.489602606,1.22E-05,1,1,neg,0,1
32,707.76155-203.8,7492,707.76155,203.8,93.33333333,80,0,13.33333333,55660.08809,64083.30196,115.1333104,43194.6272,NA,31150.17633,39589.24498,127.0915598,13221.5547,NA,1.618704827,0.90590839,0,0,NA,0,NA,3,519.2307692,Multiple,707.7655287,5.62,C17H19Br4N3O6S,708.7728,M-H,43405.13221,0,1,DTXSID3022877,DTXSID3022877-BTMR0501,Cytarabine,?,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C9H13N3O5,243.085521,"VBtoxcast, Drug",1,,0,0,,0,,,,,,,,,,,,,1,-2.905647426,4.479904214,23,,,0,0,nurses1,2.289699183,0.510000413,4.489602606,1.22E-05,1,1,neg,0,1
33,707.76155-203.8,7493,707.76155,203.8,93.33333333,80,0,13.33333333,55660.08809,64083.30196,115.1333104,43194.6272,NA,31150.17633,39589.24498,127.0915598,13221.5547,NA,1.618704827,0.90590839,0,0,NA,0,NA,3,519.2307692,Multiple,707.7655287,5.62,C17H19Br4N3O6S,708.7728,M-H,43405.13221,0,1,DTXSID3022877,DTXSID3022877-BTMR0502,Cytarabine,?,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C9H13N3O5,243.085521,"VBtoxcast, Drug",1,,0,0,,0,,,,,,,,,,,,,1,-2.905647426,4.479904214,23,,,0,0,nurses1,2.289699183,0.510000413,4.489602606,1.22E-05,1,1,neg,0,1
