"","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","CASRN","name_original","formula_original","SMILES_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI"
"11","109.02946-127.2",1411,109.02946,127.2,100,100,100,0,590324.250757062,540052.333298323,91.4840162174825,468439.049337295,397322.227422594,567327.057933912,476372.973045356,83.9679628149957,427584.675419102,389851.824932161,1083.21060845534,646.101535572468,59.6468988144245,1027.25071121698,846.062879894987,3,17419.3548387097,"Multiple",109.0295034,0.4,"Resorcinol","C6H6O2","110.03678","M-H",578825.654345487,0.187139357131672,"DTXSID2021238","DTXSID2021238","'108-46-3","Resorcinol","C6H6O2","OC1=CC(O)=CC=C1","Oc1cccc(O)c1","benzene-1,3-diol","C6H6O2",110.0367794,"","110.0367794","P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,3,NA,1,-3.941923087,5.97403702,6,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"12","109.02946-127.2",2028,109.02946,127.2,100,100,100,0,590324.250757062,540052.333298323,91.4840162174825,468439.049337295,397322.227422594,567327.057933912,476372.973045356,83.9679628149957,427584.675419102,389851.824932161,1083.21060845534,646.101535572468,59.6468988144245,1027.25071121698,846.062879894987,3,17419.3548387097,"Multiple",109.0295034,0.4,"Catechol","C6H6O2","110.03678","M-H",578825.654345487,0.187139357131672,"DTXSID3020257","DTXSID3020257","'120-80-9","Catechol","C6H6O2","OC1=C(O)C=CC=C1","Oc1ccccc1O","benzene-1,2-diol","C6H6O2",110.0367794,"","110.0367794","E2Up, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,3,1,2,NA,1,-2.807518971,9.701733113,25,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"13","109.02946-127.2",4844,109.02946,127.2,100,100,100,0,590324.250757062,540052.333298323,91.4840162174825,468439.049337295,397322.227422594,567327.057933912,476372.973045356,83.9679628149957,427584.675419102,389851.824932161,1083.21060845534,646.101535572468,59.6468988144245,1027.25071121698,846.062879894987,3,17419.3548387097,"Multiple",109.0295034,0.4,"Hydroquinone","C6H6O2","110.03678","M-H",578825.654345487,0.187139357131672,"DTXSID7020716","DTXSID7020716","'123-31-9","Hydroquinone","C6H6O2","OC1=CC=C(O)C=C1","Oc1ccc(O)cc1","benzene-1,4-diol","C6H6O2",110.0367794,"","110.0367794","E2Up, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,2,1,1,NA,1,-1.484020816,17.22653734,16,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"14","109.06561-217",895,109.06561,217,92.5,95,0,-2.5,6007.92007942005,7792.77280018431,129.708329957288,3023.4801360489,NA,5981.67369701264,6240.42920704682,104.325804501229,3679.19742954738,NA,0,0,NA,0,NA,2,10,"Unique",109.0658889,2.56,"3-Cyclohexene-1-carboxaldehyde","C7H10O","110.07316","M-H",5994.79688821634,0,"DTXSID1026661","DTXSID1026661","'100-50-5","3-Cyclohexene-1-carboxaldehyde","C7H10O","O=CC1CCC=CC1","O=CC1CC=CCC1","cyclohex-3-ene-1-carbaldehyde","C7H10O",110.0731649,"","110.0731649","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.867856388,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.460168879,8.271189302,3,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"15","109.06573-85.5",895,109.06573,85.5,43.3333333333333,35,0,8.33333333333334,677.338071758152,1335.32135031944,197.142520994484,0,NA,315.385098891407,1123.34608855341,356.182360074089,0,NA,0,0,NA,0,NA,2,10,"Unique",109.0658889,1.46,"3-Cyclohexene-1-carboxaldehyde","C7H10O","110.07316","M-H",496.36158532478,0,"DTXSID1026661","DTXSID1026661","'100-50-5","3-Cyclohexene-1-carboxaldehyde","C7H10O","O=CC1CCC=CC1","O=CC1CC=CCC1","cyclohex-3-ene-1-carbaldehyde","C7H10O",110.0731649,"","110.0731649","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.867856388,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.460168879,8.271189302,3,NA,"",0,"0","nurses1",1.2239015487699,0.548723843762857,2.23045082272538,0.0268632962489296,"1","0","neg"
"16","109.06602-307.5",895,109.06602,307.5,81.6666666666667,50,0,31.6666666666667,1108.1956729669,1287.3290729756,116.164419730058,521.60799727934,NA,632.280960016924,1208.04167524706,191.060897233837,50.32617718006,NA,0,0,NA,0,NA,2,10,"Unique",109.0658889,1.2,"3-Cyclohexene-1-carboxaldehyde","C7H10O","110.07316","M-H",870.23831649191,0,"DTXSID1026661","DTXSID1026661","'100-50-5","3-Cyclohexene-1-carboxaldehyde","C7H10O","O=CC1CCC=CC1","O=CC1CC=CCC1","cyclohex-3-ene-1-carbaldehyde","C7H10O",110.0731649,"","110.0731649","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.867856388,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.460168879,8.271189302,3,NA,"",0,"1","nurses1",3.21299863265669,0.61572360050849,5.21824830167831,4.62043772334029e-07,"1","0","neg"
"17","112.05177-75.3",6030,112.05177,75.3,100,100,100,0,137318.481486124,41999.5676591362,30.5855171165581,140722.768364486,129996.38716766,136796.845292713,33986.6696254089,24.8446296789121,134564.452218034,132292.148493737,8292.15630059857,3227.34465019009,38.9204512456805,8248.43972237928,7668.99561997955,3,19440,"Unique",112.0516358,1.2,"Creatinine","C4H7N3O","113.05891","M-H",137057.663389419,6.05012233211525,"DTXSID8045987","DTXSID8045987","'60-27-5","Creatinine","C4H7N3O","CN1CC(=O)NC1=N","CN1CC(=O)NC1=N","2-imino-1-methylimidazolidin-4-one","C4H7N3O",113.0589118,"","113.0589119","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.016627802,2.987700259,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"18","113.09691-198.4",2376,113.09691,198.4,83.3333333333333,72.5,8.33333333333333,10.8333333333333,1828.14237724385,2729.43510048087,149.301013665896,776.555049047002,NA,1765.96786884282,4749.26332967118,268.932601405892,427.842535204874,NA,9.0415667333795,31.3209059244757,346.410161513776,0,NA,2,10,"Multiple",113.0971891,2.47,"24-Dimethylpentan-3-one","C7H14O","114.10447","M-H",1797.05512304334,0.503132409097584,"DTXSID3038771","DTXSID3038771","'565-80-0","2,4-Dimethylpentan-3-one","C7H14O","CC(C)C(=O)C(C)C","CC(C)C(=O)C(C)C","2,4-dimethylpentan-3-one","C7H14O",114.1044651,"","114.1044651","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,1.388324943,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.785954421,4.861453114,4,NA,"",0,"1","nurses1",1.51812928871638,0.493905200746614,3.07372606407361,0.0024184409025731,"1","0","neg"
"19","113.09691-198.4",76,113.09691,198.4,83.3333333333333,72.5,8.33333333333333,10.8333333333333,1828.14237724385,2729.43510048087,149.301013665896,776.555049047002,NA,1765.96786884282,4749.26332967118,268.932601405892,427.842535204874,NA,9.0415667333795,31.3209059244757,346.410161513776,0,NA,2,10,"Multiple",113.0971891,2.47,"Heptanal","C7H14O","114.10447","M-H",1797.05512304334,0.503132409097584,"DTXSID0021597","DTXSID0021597","'111-71-7","Heptanal","C7H14O","CCCCCCC=O","CCCCCCC=O","heptanal","C7H14O",114.1044651,"","114.1044651","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.001417395,4.514190058,4,NA,"",0,"1","nurses1",1.51812928871638,0.493905200746614,3.07372606407361,0.0024184409025731,"1","0","neg"
"20","113.09691-198.4",4676,113.09691,198.4,83.3333333333333,72.5,8.33333333333333,10.8333333333333,1828.14237724385,2729.43510048087,149.301013665896,776.555049047002,NA,1765.96786884282,4749.26332967118,268.932601405892,427.842535204874,NA,9.0415667333795,31.3209059244757,346.410161513776,0,NA,2,10,"Multiple",113.0971891,2.47,"4-Heptanone","C7H14O","114.10447","M-H",1797.05512304334,0.503132409097584,"DTXSID6047650","DTXSID6047650","'123-19-3","4-Heptanone","C7H14O","CCCC(=O)CCC","CCCC(=O)CCC","heptan-4-one","C7H14O",114.1044651,"","114.1044651","exposurepred","",NA,NA,NA,NA,NA,1,1.595053162,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"1","nurses1",1.51812928871638,0.493905200746614,3.07372606407361,0.0024184409025731,"1","0","neg"
"21","113.09696-309",76,113.09696,309,100,100,58.3333333333333,0,6221.00150855104,3875.24864804634,62.2930028664942,5493.49351295276,5141.74219568608,7720.90960067246,9978.45328632483,129.239348760873,5061.73902208123,5660.97708575832,104.862670306843,114.459626955976,109.151928537631,109.679010694889,NA,2,10,"Multiple",113.0971891,2.03,"Heptanal","C7H14O","114.10447","M-H",6970.95555461175,1.50427971438534,"DTXSID0021597","DTXSID0021597","'111-71-7","Heptanal","C7H14O","CCCCCCC=O","CCCCCCC=O","heptanal","C7H14O",114.1044651,"","114.1044651","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.001417395,4.514190058,4,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"22","113.09696-309",2376,113.09696,309,100,100,58.3333333333333,0,6221.00150855104,3875.24864804634,62.2930028664942,5493.49351295276,5141.74219568608,7720.90960067246,9978.45328632483,129.239348760873,5061.73902208123,5660.97708575832,104.862670306843,114.459626955976,109.151928537631,109.679010694889,NA,2,10,"Multiple",113.0971891,2.03,"24-Dimethylpentan-3-one","C7H14O","114.10447","M-H",6970.95555461175,1.50427971438534,"DTXSID3038771","DTXSID3038771","'565-80-0","2,4-Dimethylpentan-3-one","C7H14O","CC(C)C(=O)C(C)C","CC(C)C(=O)C(C)C","2,4-dimethylpentan-3-one","C7H14O",114.1044651,"","114.1044651","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,1.388324943,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.785954421,4.861453114,4,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"23","113.09696-309",4676,113.09696,309,100,100,58.3333333333333,0,6221.00150855104,3875.24864804634,62.2930028664942,5493.49351295276,5141.74219568608,7720.90960067246,9978.45328632483,129.239348760873,5061.73902208123,5660.97708575832,104.862670306843,114.459626955976,109.151928537631,109.679010694889,NA,2,10,"Multiple",113.0971891,2.03,"4-Heptanone","C7H14O","114.10447","M-H",6970.95555461175,1.50427971438534,"DTXSID6047650","DTXSID6047650","'123-19-3","4-Heptanone","C7H14O","CCCC(=O)CCC","CCCC(=O)CCC","heptan-4-one","C7H14O",114.1044651,"","114.1044651","exposurepred","",NA,NA,NA,NA,NA,1,1.595053162,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"24","114.05611-841.4",1583,114.05611,841.4,98.3333333333333,97.5,41.6666666666667,0.833333333333329,7062.50987086226,12446.5705060605,176.234380321523,1430.9414333721,NA,7020.29035384413,9520.90609948053,135.619833647865,1792.71428731896,NA,132.230006442236,240.304631581885,181.732299685595,0,NA,2,10,"Multiple",114.0560525,0.5,"2-PropenamideN-(hydroxymethyl)-2-methyl-","C5H9NO2","115.06333","M-H",7041.4001123532,1.8778936622314,"DTXSID2027335","DTXSID2027335","'923-02-4","2-Propenamide,,N-(hydroxymethyl)-2-methyl-","C5H9NO2","CC(=C)C(=O)NCO","C=C(C)C(=O)NCO","N-(hydroxymethyl)-2-methylprop-2-enamide","C5H9NO2",115.0633285,"","115.0633285","exposurepred","",NA,NA,NA,NA,NA,1,1.124004853,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"25","114.05611-841.4",5258,114.05611,841.4,98.3333333333333,97.5,41.6666666666667,0.833333333333329,7062.50987086226,12446.5705060605,176.234380321523,1430.9414333721,NA,7020.29035384413,9520.90609948053,135.619833647865,1792.71428731896,NA,132.230006442236,240.304631581885,181.732299685595,0,NA,2,10,"Multiple",114.0560525,0.5,"4-Morpholinecarboxaldehyde","C5H9NO2","115.06333","M-H",7041.4001123532,1.8778936622314,"DTXSID7044427","DTXSID7044427","'4394-85-8","4-Morpholinecarboxaldehyde","C5H9NO2","O=CN1CCOCC1","O=CN1CCOCC1","morpholine-4-carbaldehyde","C5H9NO2",115.0633285,"","115.0633285","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.88825339,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.18178009,2.061748823,1,NA,"",0,"0",NA,NA,NA,NA,NA,"0","0","neg"
"26","114.05635-71.6",1583,114.05635,71.6,100,100,66.6666666666667,0,55551.2989592599,27924.8677098949,50.268613395295,46338.5337424512,50326.4889906278,59840.3374818632,24805.3994929637,41.4526397022441,51091.3542292908,55667.6976364053,515.071116635505,684.973835998304,132.986264202237,264.181112234248,NA,2,10,"Multiple",114.0560525,2.61,"2-PropenamideN-(hydroxymethyl)-2-methyl-","C5H9NO2","115.06333","M-H",57695.8182205615,0.892735613292584,"DTXSID2027335","DTXSID2027335","'923-02-4","2-Propenamide,,N-(hydroxymethyl)-2-methyl-","C5H9NO2","CC(=C)C(=O)NCO","C=C(C)C(=O)NCO","N-(hydroxymethyl)-2-methylprop-2-enamide","C5H9NO2",115.0633285,"","115.0633285","exposurepred","",NA,NA,NA,NA,NA,1,1.124004853,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"0","nurses1",-0.152415331378494,0.0779218567335009,-1.95600230497287,0.0519005636685662,"0","0","neg"
"27","114.05635-71.6",5258,114.05635,71.6,100,100,66.6666666666667,0,55551.2989592599,27924.8677098949,50.268613395295,46338.5337424512,50326.4889906278,59840.3374818632,24805.3994929637,41.4526397022441,51091.3542292908,55667.6976364053,515.071116635505,684.973835998304,132.986264202237,264.181112234248,NA,2,10,"Multiple",114.0560525,2.61,"4-Morpholinecarboxaldehyde","C5H9NO2","115.06333","M-H",57695.8182205615,0.892735613292584,"DTXSID7044427","DTXSID7044427","'4394-85-8","4-Morpholinecarboxaldehyde","C5H9NO2","O=CN1CCOCC1","O=CN1CCOCC1","morpholine-4-carbaldehyde","C5H9NO2",115.0633285,"","115.0633285","exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.88825339,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.18178009,2.061748823,1,NA,"",0,"0","nurses1",-0.152415331378494,0.0779218567335009,-1.95600230497287,0.0519005636685662,"0","0","neg"
"28","115.04004-82.8",6466,115.04004,82.8,100,100,100,0,68149.294925237,62001.9936868094,90.9796554092431,47945.4689932362,41299.9649096168,99954.4052048115,70147.5173051856,70.1795155115473,82343.4089487744,69584.3467661215,4531.19017681886,6299.88202811772,139.033714813987,1858.00528559504,2028.94542736672,3,24059.405940594,"Multiple",115.0400681,0.24,"Methylacetoacetate","C5H8O3","116.04734","M-H",84051.8500650242,5.39094639001216,"DTXSID9026716","DTXSID9026716","'105-45-3","Methyl,acetoacetate","C5H8O3","COC(=O)CC(C)=O","COC(=O)CC(C)=O","methyl 3-oxobutanoate","C5H8O3",116.0473441,"","116.0473441","VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.203138157,1.85747579,4,NA,"",0,"0","nurses1",-0.787551949082065,0.189781161382831,-4.14978991246342,4.97741540334548e-05,"0","0","neg"
"29","115.04004-82.8",1447,115.04004,82.8,100,100,100,0,68149.294925237,62001.9936868094,90.9796554092431,47945.4689932362,41299.9649096168,99954.4052048115,70147.5173051856,70.1795155115473,82343.4089487744,69584.3467661215,4531.19017681886,6299.88202811772,139.033714813987,1858.00528559504,2028.94542736672,3,24059.405940594,"Multiple",115.0400681,0.24,"2-Hydroxyethylacrylate","C5H8O3","116.04734","M-H",84051.8500650242,5.39094639001216,"DTXSID2022123","DTXSID2022123","'818-61-1","2-Hydroxyethyl,acrylate","C5H8O3","OCCOC(=O)C=C","C=CC(=O)OCCO","2-hydroxyethyl prop-2-enoate","C5H8O3",116.0473441,"","116.0473441","P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,2,NA,1,-6.363088,4.415653,5,NA,"",0,"0","nurses1",-0.787551949082065,0.189781161382831,-4.14978991246342,4.97741540334548e-05,"0","0","neg"
