,DTXSID,Compound,Formula,CASRN,SMILES,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most comon and haz,Phthalate,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin
39,DTXSID0020498,"Dimethyl terephthalate, Dimethyl terephthalate","C10H10O4, C10H10O4","120-61-6, 120-61-6","COC(=O)C1=CC=C(C=C1)C(=O)OC, COC(=O)C1=CC=C(C=C1)C(=O)OC","194.0579088, 194.057908802","exposurepred, VBtoxcast",,,,,,,,1,0.635286248,,,,,,,,,,,1,-1.770357559,5.386432812,6,,
40,DTXSID0020523,"2,4-Dinitrophenol",C6H4N2O5,51-28-5,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,184.0120212,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-5.262400852,5.436292902,10,,
41,DTXSID0020529,"2,4-Dinitrotoluene, 2,4-DINTROTOLUENE","C7H6N2O4, C7H6N2O4","121-14-2, 121-14-2","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O, CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]","182.032756681, 182.032757","VBtoxcast, MC",,,,,,,,,,1,,,,,,,,,,1,-2.970192504,5.744541013,7,,
42,DTXSID00205573,"Maleimide, 1,1'-(tetrafluoro-m-phenylene)di-",C14H4F4N2O4,56973-16-1,FC1=C(F)C(N2C(=O)C=CC2=O)=C(F)C(N2C(=O)C=CC2=O)=C1F,340.0107193,exposurepred,,,,,,,,1,0.427234473,,,,,,,,,,,,,,,,
43,DTXSID0020573,"17beta-Estradiol, 17beta-Estradiol, ESTRADIOL-17B, 17beta-Estradiol","C18H24O2, C18H24O2, C18H24O2, C18H24O2","50-28-2, 50-28-2, 50-28-2, 50-28-2","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H], [H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H], [H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H], [H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]","272.17763, 272.177630013, 272.17763, 272.177630013","ERactive, VBtoxcast, MC, MGDev",,,,,,,,,,1,Hormone or EDC,1,1,0.935,,,,,,1,-7.683792469,26.24151942,67,,
44,DTXSID0020575,Estragole,C10H12O,140-67-0,COC1=CC=C(CC=C)C=C1,148.088815,exposurepred,,,,,,,,1,1.147383705,,,,,,,,,,,,,,,,
45,DTXSID0020600,"Ethylene oxide, ETHYLENE OXIDE","C2H4O, C2H4O","75-21-8, 75-21-8","C1CO1, C1CO1","44.02621475, 44.02621475","exposurepred, MC",,,,,,,,1,1.491983226,1,Ethylene oxide,,,,,,,,,,,,,,
46,DTXSID0020604,"4-Vinyl-1-cyclohexene dioxide, 4-Vinyl-1-cyclohexene dioxide","C8H12O2, C8H12O2","106-87-6, 106-87-6","C1OC1C1CCC2OC2C1, C1OC1C1CCC2OC2C1","140.0837296, 140.083729626","exposurepred, VBtoxcast",,,,,,,,1,0.160246133,,,,,,,,,,,1,-0.680808601,5.917849823,1,,
47,DTXSID0020606,"Bis(2-ethylhexyl)hexanedioate, Bis(2-ethylhexyl)hexanedioate, Bis(2-ethylhexyl)hexanedioate","C22H42O4, C22H42O4, C22H42O4","103-23-1, 103-23-1, 103-23-1","CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC, CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC, CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC","370.3083098, 370.308309832, 370.30830983200002","exposurepred, VBtoxcast, pellizzari",,,,,,,,1,7.453277515,,,,,,,,,,,1,-1.448349174,5.027414002,2,,1
48,DTXSID0020650,Gallic acid,C7H6O5,149-91-7,OC(=O)C1=CC(O)=C(O)C(O)=C1,170.0215233,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-4.930971708,7.402609759,4,,
49,DTXSID0020654,"Geranyl acetate, Geranyl acetate","C12H20O2, C12H20O2","105-87-3, 105-87-3","CC(C)=CCC\\C(C)=C\\COC(C)=O, CC(C)=CCC\\C(C)=C\\COC(C)=O","196.1463299, 196.146329884","exposurepred, VBtoxcast",,,,,,,,1,0.138817472,,,,,,,,,,,1,-0.267363979,5.963571437,2,,
50,DTXSID0020656,Gibberellic acid,C19H22O6,77-06-5,C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,346.1416384,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.188686,1.89033,1,,
51,DTXSID0020733,ICRF-159,C11H16N4O4,21416-67-1,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,268.117155,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.043051151,4.402846381,4,,
52,DTXSID0020737,Indole,C8H7N,120-72-9,N1C=CC2=C1C=CC=C2,117.0578492,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.858345362,13.22125909,2,,
53,DTXSID0020810,6-Mercaptopurine,C5H4N4S,50-44-2,S=C1NC=NC2=C1N=CN2,152.0156673,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-3.048545511,5.931119351,28,,
54,DTXSID0020814,"Mestranol, Mestranol, MESTRANOL","C21H26O2, C21H26O2, C21H26O2","72-33-3, 72-33-3, 72-33-3","COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2, COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2, COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2","310.1932801, 310.193280077, 310.1932801","ERactive, VBtoxcast, MC",,,,,,,,,,1,,,1,0.742,,,,,,1,-4.467339,71.75884,55,,
55,DTXSID0020818,Methapyrilene hydrochloride,C14H20ClN3S,135-23-9,Cl.CN(C)CCN(CC1=CC=CS1)C1=NC=CC=C1,297.1066465,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.198953517,4.810136739,5,,
56,DTXSID0020862,"3-Methylcholanthrene, 3-METHYLCHOLANTHRENE","C21H16, C21H16","56-49-5, 56-49-5","CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23, CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23","268.1252005152, 268.1252005","VBtoxcast, MC",,,,,,,,,,1,PAH,,,,,,,,,1,-3.121109596,7.594515188,12,,
57,DTXSID0020868,"Dichloromethane, Dichloromethane, METHYLENE CHLORIDE (DICHLOROMETHANE)","CH2Cl2, CH2Cl2, CH2Cl2","75-09-2, 75-09-2, 75-09-2","ClCCl, ClCCl, ClCCl","83.9533555, 83.9533555, 83.9533555","exposurepred, VBtoxcast, MC",,,,,,,,1,0.320956276,1,Halogenated organic solvent,,,,,,,,,1,-1.462228,2.765107,1,,
58,DTXSID0020943,"2-Methoxy-5-nitroaniline, 5-NITRO-ORTHO-ANISIDINE","C7H8N2O3, C7H8N2O3","99-59-2, 99-59-2","COC1=C(N)C=C(C=C1)[N+]([O-])=O, COC1=C(N)C=C(C=C1)[N+]([O-])=O","168.053492126, 168.0534921","VBtoxcast, MC",,,,,,,,,,1,Aromatic amine,,,,,,,,,1,-3.936604,4.887974,5,,
59,DTXSID0020947,"3-(5- NITRO- 2- FURYL)- IMIDAZO( 1 ,2-A )PYRIDINE",C11H7N3O3,75198-31-1,C1=CC2=NC=C(N2C=C1)C3=CC=C(O3)[N+](=O)[O-],229.048741,MC,,,,,,,,,,1,,,,,,,,,,,,,,,
60,DTXSID0021040,N-Nitrosohexamethyleneimine,C6H12N2O,932-83-2,O=NN1CCCCCC1,128.094963,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-3.037796,2.423594,5,,
61,DTXSID0021094,"4,4'-Oxydianiline, 4,4'-Oxydianiline","C12H12N2O, C12H12N2O","101-80-4, 101-80-4","NC1=CC=C(OC2=CC=C(N)C=C2)C=C1, NC1=CC=C(OC2=CC=C(N)C=C2)C=C1","200.094963014, 200.094963014","VBtoxcast, pellizzari",,,,,,,,,,,,,,,,,,,,1,-1.531384227,6.791771428,15,,1
62,DTXSID0021121,Phenformin hydrochloride,C10H16ClN5,834-28-6,Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1,241.1094232,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.3569282,4.827035,4,,
63,DTXSID0021123,Phenobarbital sodium,C12H11N2NaO3,57-30-7,[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,254.0667365,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.373992579,3.952227224,6,,
64,DTXSID0021125,"Phenolphthalein, Phenolphthalein","C20H14O4, C20H14O4","77-09-8, 77-09-8","OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1, OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1","318.0892089, 318.089208931","P4Up, VBtoxcast",,,,,,,,,,,,,,,,,1,1,,1,-3.840321,14.52903,32,,
65,DTXSID0021129,Phenyl isothiocyanate,C7H5NS,103-72-0,S=C=NC1=CC=CC=C1,135.0142703,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.900788707,5.616184305,2,,
66,DTXSID0021206,"1,2-Propylene glycol, 1,2-Propylene glycol","C3H8O2, C3H8O2","57-55-6, 57-55-6","CC(O)CO, CC(O)CO","76.0524295, 76.052429498","exposurepred, Vbtoxcast, Disinfect ingredient list",,,,1,,,,1,331.0259265,,,,,,,,,,,1,-2.927892825,3.049947331,12,,
67,DTXSID0021254,Safrole,C10H10O2,94-59-7,C=CCC1=CC=C2OCOC2=C1,162.0680796,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.995546,4.111942,4,,
68,DTXSID0021256,Sulfasalazine,C18H14N4O5S,599-79-1,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,398.0684907,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.412247214,6.112580034,9,,
69,DTXSID0021258,Scopolamine hydrobromide trihydrate,C17H28BrNO7,6533-68-2,O.O.O.Br.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,437.104915,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.500958,2.762561,2,,
70,DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate,C8H24O12P2S,55566-30-8,[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO,406.0463714,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.81163476,14.5498685,13,,
71,DTXSID0021333,Tetramethylthiuram monosulfide,C6H12N2S3,97-74-5,CN(C)C(=S)SC(=S)N(C)C,208.0162619,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-4.003088,17.78989,88,,
72,DTXSID0021337,"Thiabendazole, Thiabendazole","C10H7N3S, C10H7N3S","148-79-8, 148-79-8","N1C2=C(C=CC=C2)N=C1C1=CSC=N1, N1C2=C(C=CC=C2)N=C1C1=CSC=N1","201.036068411, 201.036068411","VBtoxcast, pellizzari",,,,,,,,,,,,,,,,,,,,1,-1.988123356,7.062473421,19,,1
73,DTXSID0021339,"Thiotepa, THIOTEPA, THIOTEPA","C6H12N3PS, C6H12N3PS, C6H12N3PS","52-24-4, 52-24-4, 52-24-4","S=P(N1CC1)(N1CC1)N1CC1, S=P(N1CC1)(N1CC1)N1CC1, S=P(N1CC1)(N1CC1)N1CC1","189.04895557, 189.0489556, 189.0489556","VBtoxcast, Drug, MC",1,,,0,0,,0,,,1,Pharmaceutical,,,,,,,,,1,-2.937719011,10.71104133,9,,
74,DTXSID0021383,Trichloroethylene,C2HCl3,79-01-6,ClC=C(Cl)Cl,129.9143831,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-2.474659,3.319173,3,,
75,DTXSID0021385,"Folpet, Folpet","C9H4Cl3NO2S, C9H4Cl3NO2S","133-07-3, 133-07-3","ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O, ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O","294.9028326, 294.9028326","pesticidemammarytumors, VBtoxcast",,,,,,,,,,,,,,,,,,,1,1,-3.525540471,16.33598319,31,,
76,DTXSID0021389,Trichlorfon,C4H8Cl3O4P,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,255.9225788,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-1.443124163,5.86746188,12,,
77,DTXSID0021410,Triprolidine hydrochloride monohydrate,C19H25ClN2O,6138-79-0,O.Cl.CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,332.1655411,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.917246043,7.636310704,3,,
78,DTXSID0021414,"Tris(2-ethylhexyl) phosphate, Tris(2-ethylhexyl) phosphate, Tris(2-ethylhexyl) phosphate, Tris(2-ethylhexyl) phosphate","C24H51O4P, C24H51O4P, C24H51O4P, C24H51O4P","78-42-2, 78-42-2, 78-42-2, 78-42-2","CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC, CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC, CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC, CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC","434.3524971, 434.35249712, 434.35249712000001, 434.35249712","exposurepred, VBtoxcast, pellizzari, FRs",,,,,,1,,1,15.64033316,,,,,,,,,,,1,-2.525163,11.19986,12,,1
79,DTXSID0021460,"Zearalenone, Zearalenone, Zearalenone","C18H22O5, C18H22O5, C18H22O5","17924-92-4, 17924-92-4, 17924-92-4","C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1, C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1, C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1","318.1467238, 318.146723808, 318.146723808","ERactive, VBtoxcast, MGDev",,,,,,,,,,,,1,1,0.71,,,,,,1,-4.960336752,16.30604556,42,,
80,DTXSID0021462,Zinc dibutyldithiocarbamate,C18H36N2S4Zn,136-23-2,[Zn++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S,472.105276,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-0.13957366,10.23013662,1,,
81,DTXSID0021464,Ziram,C6H12N2S4Zn,137-30-4,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,303.917475,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-5.066224459,21.74652668,126,,
82,DTXSID0021543,1-Chlorooctane,C8H17Cl,111-85-3,CCCCCCCCCl,148.1018782,VBtoxcast,,,,,,,,,,,,,,,,,,,,1,-4.447390384,15.42203059,6,,
