Drug,INPUT (CompTox),FOUND_BY (CompTox),DTXSID (CompTox),PREFERRED_NAME (CompTox),Route(s),UCSF Handling Recommendation,2016 NIOSH Category,Preg Risk,Risk Assessment/Comments
Bendamustine,Bendamustine,Approved Name,DTXSID2046888,Bendamustine,IV,HAZARDOUS,Group 1,D,
Bexarotene,Bexarotene,Approved Name,DTXSID1040619,Bexarotene,Topical gel,REPRODUCTIVE TOXIN,Group 1,X,PI states not mutagenic or carcinogenic in animal models.  Primary risk is teratogenicity.  PI advises to let gel dry completely before covering with clothing.
Bexarotene,Bexarotene,Approved Name,DTXSID1040619,Bexarotene,PO,REPRODUCTIVE TOXIN,Group 1,X,PI states not mutagenic or carcinogenic in animal models.  Primary risk is teratogenicity.
Bevacizumab,Bevacizumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,Monoclonal antibody.  Not linked to cytotoxic agent.   No manufacturer specified handling precautions.
Bicalutamide,Bicalutamide,Approved Name,DTXSID2022678,Bicalutamide,PO,REPRODUCTIVE TOXIN,Group 1,X,No special handling precautions identified by manufacturer.  No carcinogenic potential identified in SDS. Similar MOA to nilotinib which was removed from NIOSH list.  Teratogenic potential therefor listed as reproductive toxin.
Bleomycin,Bleomycin,Approved Name,DTXSID1030862,Bleomycin,IV/injection,HAZARDOUS,Group 1,D,Also administered via intra-pleural and intralesional routes.
Blinatumomab,Blinatumomab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,No special handling precautions defined in prescribing information.
Bortezomib,Bortezomib,Approved Name,DTXSID3040980,Bortezomib,IV,HAZARDOUS,Group 1,D,
Bosentan,Bosentan,Approved Name,DTXSID7046627,Bosentan,PO,REPRODUCTIVE TOXIN,Group 3,X,
Bosutinib,Bosutinib,Expert Validated Synonym,DTXSID10861568,"4-[(2,4-Dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methyl-1-piperazinyl)propoxy]-3-quinolinecarbonitrile",PO,HAZARDOUS: LIMITED RISK,Group 1,D,BCR-ABL TKI; PI specifies follow proper disposal for handling anti-cancer drugs.  Only available in oral tablets.  Minimal potential for exposure when handling in tact tablets.
Brentuximab vedotin,Brentuximab vedotin,NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,Anti-CD30 monoclonal antibody linked to antimicrotubule agent.
Busulfan,Busulfan,Approved Name,DTXSID3020910,Busulfan,IV,HAZARDOUS,Group 1,D,
Busulfan,Busulfan,Approved Name,DTXSID3020910,Busulfan,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Cabazitaxel,Cabazitaxel,Approved Name,DTXSID40171389,Cabazitaxel,IV,HAZARDOUS,Group 1,D,Similar to other taxanes
Cabozantinib,Cabozantinib,Approved Name,DTXSID10233968,Cabozantinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Capecitabine,Capecitabine,Approved Name,DTXSID3046451,Capecitabine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Carbamazepine,Carbamazepine,Approved Name,DTXSID4022731,Carbamazepine,PO,REPRODUCTIVE TOXIN,Group 2,D,"Listed in NIOSH group 2 due to risk for organ toxicity (aplastic anemia) and teratogenicity.  SDS does not identify carcinogenic potential. Consider organ toxicity to be remote possibility with standard preparation of oral tablets and suspension, due to dose-level required for organ toxicity, therefore will not require preparation/handling in BSC/CACI.  Due to concerns for teratogenicity, listed as reproductive toxin."
Carboplatin,Carboplatin,Approved Name,DTXSID3046742,Carboplatin,IV,HAZARDOUS,Group 1,D,
Carboprost,Carboprost,Approved Name,DTXSID4022739,Carboprost,IM,NO HANDLING PRECAUTIONS,Not listed,C,"SDS does not list as reproductive toxin; not classified as hazardous.  Teratogenic effects were not observed in animal reproduction studies. When used for termination of pregnancy, carboprost is not considered feticidal, but is used to terminate pregnancy due to its ability to stimulate uterine contractions."
Carfilzomib,Carfilzomib,Approved Name,DTXSID4048690,Carfilzomib,IV,HAZARDOUS,Group 1,D,Similar to bortezomib and other proteasome inhibitors
Carmustine (BCNU),Carmustine (BCNU),NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,
Ceritinib,Ceritinib,Approved Name,DTXSID10725373,Ceritinib,PO,HAZARDOUS: LIMITED RISK,Not listed,D,ALK tyrosine kinase inhibitor; same MOA as crizotinib.  No manufacturer specified handling precautions.
Cetuximab,Cetuximab,Approved Name,DTXSID0040830,Cetuximab,IV,NO HANDLING PRECAUTIONS,Not listed,C,"Monoclonal antibody, no cytotoxic component.  No special handling requirements defined by manufacturer."
Chlorambucil,Chlorambucil,Approved Name,DTXSID7020263,Chlorambucil,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Chloramphenicol,Chloramphenicol,Approved Name,DTXSID7020265,Chloramphenicol,IV/PO,HAZARDOUS,Group 2,C,Listed in NIOSH due to IARC listing as carcinogen and teratogenic potential.  Compounded capsules MUST be prepared in BSC
Cidofovir,Cidofovir,Approved Name,DTXSID3043734,Cidofovir,IV,HAZARDOUS,Group 2,C,Manufacturer information specifies preparation in biological safety cabinet/isolator
Cisplatin,Cisplatin,Approved Name,DTXSID4024983,Cisplatin,IV,HAZARDOUS,Group 1,D,
Cladribine,Cladribine,Approved Name,DTXSID8022828,Cladribine,IV,HAZARDOUS,Group 1,D,
Clofarabine,Clofarabine,Approved Name,DTXSID5046437,Clofarabine,IV,HAZARDOUS,Group 1,D,
Clonazepam,Clonazepam,Approved Name,DTXSID1022845,Clonazepam,PO/IV,REPRODUCTIVE TOXIN,Group 3,D,NIOSH listed due to due to risk of congenital abnormalities when taken in 1st trimester.
Cobimetinib,Cobimetinib,Approved Name,DTXSID60239435,Cobimetinib,PO,HAZARDOUS: LIMITED RISK,Not listed,N/A,"BRAF inhibitor.  Film-coated tablets.  Systemic exposure can result in cutaneous malignancies.  Teratogenic potential, per PI.  Manufacturer PI does not require special handling.  "
Colchicine,Colchicine,Approved Name,DTXSID5024845,Colchicine,IV/PO,REPRODUCTIVE TOXIN,Group 3,C,
Crizotinib,Crizotinib,Approved Name,DTXSID701009329,Crizotinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,ALK tyrosine kinase inhibitor; Potential teratogen.  No manufacturer specified handling precautions.
Cyclophosphamide,Cyclophosphamide,Approved Name,DTXSID5020364,Cyclophosphamide,IV,HAZARDOUS,Group 1,D,
Cyclophosphamide,Cyclophosphamide,Approved Name,DTXSID5020364,Cyclophosphamide,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Cyclosporine,Cyclosporine,Synonym from Valid Source,DTXSID0020365,Cyclosporin A,IV,HAZARDOUS,Group 2,C,Carcinogenicity was evident in animal models at doses lower than recommended human doses. Cyclosporine has been deem carcinogenic (at the highest level of warning) by two independent organizations (IARC and NIOSH)
Cyclosporine,Cyclosporine,Synonym from Valid Source,DTXSID0020365,Cyclosporin A,PO,HAZARDOUS: LIMITED RISK,Group 2,C,Carcinogenicity was evident in animal models at doses lower than recommended human doses. Cyclosporine has been deem carcinogenic (at the highest level of warning) by two independent organizations (IARC and NIOSH)
Cytarabine,Cytarabine,Approved Name,DTXSID3022877,Cytarabine,IV/IT,HAZARDOUS,Group 1,D,Same recommendations apply to liposomal product.
Dabrafenib,Dabrafenib,Approved Name,DTXSID20152499,Dabrafenib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,"BRAF inhibitor. Oral capsule.  Systemic exposure can result in cutaneous malignancies.  Teratogenic potential, per PI.  Manufacturer PI does not require special handling.  "
Dacarbazine,Dacarbazine,Approved Name,DTXSID0020369,Dacarbazine,IV,HAZARDOUS,Group 1,C,
Dactinomycin (Actinomycin D),Dactinomycin (Actinomycin D),NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,
Daratumumab,Daratumumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,N/A,"Monoclonal antibody, no cytotoxic component.  No special handling requirements defined by manufacturer."
Dasatinib,Dasatinib,Approved Name,DTXSID4040979,Dasatinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,"PI indicates that tablets consist of a core tablet (containing the active drug substance), surrounded by a film coating to prevent exposure of pharmacy and clinical personnel to the active drug substance. Low risk of exposure to intact tablets.  "
Daunorubicin HCl,Daunorubicin HCl,Synonym,DTXSID0033382,Daunomycin hydrochloride,IV,HAZARDOUS,Group 1,D,
Decitabine,Decitabine,Approved Name,DTXSID7030432,Decitabine,IV,HAZARDOUS,Group 1,D,
Denosumab,Denosumab,NO_MATCH,-,-,SC,NO HANDLING PRECAUTIONS,Not listed,X,No special handling required in prescribing information.
Dexrazoxane,Dexrazoxane,Synonym,DTXSID60164152,Dexrazoxane hydrochloride,IV,HAZARDOUS,Group 2,C,Listed in group 2 due to carcinogenicity.
Dinutuximab,Dinutuximab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,NA,"Monoclonal antibody, no cytotoxic component.  No special handling requirements defined by manufacturer."
Divalproex,Divalproex,Synonym - WARNING: Synonym mapped to two or more chemicals.,DTXSID6023733,Valproic acid,PO,REPRODUCTIVE TOXIN,Group 2,X/D,,Divalproex,Synonym - WARNING: Synonym mapped to two or more chemicals.,DTXSID70227388,Divalproex sodium [USAN:USP],,,,,
Docetaxel,Docetaxel,Approved Name,DTXSID0040464,Docetaxel,IV,HAZARDOUS,Group 1,D,
Doxorubicin,Doxorubicin,Approved Name,DTXSID8021480,Doxorubicin,IV,HAZARDOUS,Group 1,D,Applies to liposomal product as well.
Dutasteride,Dutasteride,Approved Name,DTXSID8046452,Dutasteride,PO,REPRODUCTIVE TOXIN,Group 3,X,
Efavirenz,Efavirenz,Approved Name,DTXSID9046029,Efavirenz,PO,REPRODUCTIVE TOXIN,Not listed,D,
Elotuzumab,Elotuzumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,NA,"Monoclonal antibody, no cytotoxic component.  No special handling requirements defined by manufacturer."
Entecavir,Entecavir,Approved Name,DTXSID4046446,Entecavir,PO,HAZARDOUS: LIMITED RISK,Group 2,C,
Enzalutamide,Enzalutamide,Approved Name,DTXSID10912307,Enzalutamide,PO,REPRODUCTIVE TOXIN,Group 1,X,No special handling precautions specified by manufacturer.  Non-clinical studies have not demonstrated carcinogenic/mutagenic potential.  Similar to other anti-androgens so listed as reproductive toxin.
Epirubicin,Epirubicin,Approved Name,DTXSID0022987,Epirubicin,IV,HAZARDOUS,Group 1,D,
Epoprostenol,Epoprostenol,Approved Name,DTXSID5022988,Epoprostenol,IV,NO HANDLING PRECAUTIONS,Not listed,B,
Eribulin,Eribulin,Approved Name,DTXSID101009321,Eribulin,IV,HAZARDOUS,Group 1,D,"antimicrotubule agent; categorize similar to taxanes, vincas"
Erlotinib,Erlotinib,Approved Name,DTXSID8046454,Erlotinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,"No evidence of carcinogenicity/mutagenicity in animal models at 10 times the normal human dose.  Due to possible carcinogenic potential as well as reproductive toxicity, will list as hazardous limited risk."
Estradiol (all estrogens),Estradiol (all estrogens),NO_MATCH,-,-,PO,REPRODUCTIVE TOXIN,Group 2,X,"Applies to all estrogrens; known carcinogens, associated with breast and endometrial cancer in women with prolonged exposure.  Also produced endogenously. Limited potential for risks associated with short-term exposure in preparation of parenteral products.  Minimal risk for exposure in handling oral tablets."
Estradiol (all estrogens),Estradiol (all estrogens),NO_MATCH,-,-,Topical gel,REPRODUCTIVE TOXIN,Group 2,X,"Applies to all estrogrens; known carcinogens, associated with breast and endometrial cancer in women with prolonged exposure.  Also produced endogenously. Limited potential for risks associated with short-term exposure in preparation of parenteral products.  Minimal risk for exposure in handling oral tablets."
Estradiol (all estrogens),Estradiol (all estrogens),NO_MATCH,-,-,IM,REPRODUCTIVE TOXIN,Group 2,X,"Applies to all estrogrens; known carcinogens, associated with breast and endometrial cancer in women with prolonged exposure.  Also produced endogenously. Limited potential for risks associated with short-term exposure in preparation of parenteral products.  Minimal risk for exposure in handling oral tablets."
Estramustine (Estrogen nitrogen mustard),Estramustine (Estrogen nitrogen mustard),NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Group 1,X/D,
Estropipate,Estropipate,Approved Name,DTXSID3023005,Estropipate,PO,REPRODUCTIVE TOXIN,Group 2,X,"Applies to all estrogrens; known carcinogens, associated with breast and endometrial cancer in women with prolonged exposure.  Also produced endogenously. Limited potential for risks associated with short-term exposure in preparation of parenteral products.  Minimal risk for exposure in handling oral tablets."
Etoposide,Etoposide,Approved Name,DTXSID5023035,Etoposide,IV,HAZARDOUS,Group 1,D,
Etoposide,Etoposide,Approved Name,DTXSID5023035,Etoposide,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Everolimus,Everolimus,Approved Name,DTXSID0040599,Everolimus,PO,HAZARDOUS: LIMITED RISK,Group 1,C,"Manufacturer information specifies to use special handling precautions, as for other anticancer agents.  "
Exemestane,Exemestane,Approved Name,DTXSID5023037,Exemestane,PO,REPRODUCTIVE TOXIN,Group 1,X,Anti-estrogen.  PI indicates no evidence of mutagenicity.  Carcinogenicity only in high doses (50-450 mg/kg/day) for prolonged periods.  No special handling requirements specified by manufacturer.
Filgrastim                          Filgrastim-sndz                  tbo-Filgrastim,Filgrastim Filgrastim-sndz tbo-Filgrastim,NO_MATCH,-,-,SQ,NO HANDLING PRECAUTIONS,Not listed,C,
Finasteride,Finasteride,Approved Name,DTXSID3020625,Finasteride,PO,REPRODUCTIVE TOXIN,Group 3,X,
Fluconazole,Fluconazole,Approved Name,DTXSID3020627,Fluconazole,IV,REPRODUCTIVE TOXIN,Group 3,C/D,Risk associated with chronic exposure to 400-600 mg/day dosing through most or all of the 1st trimester.
Fluconazole,Fluconazole,Approved Name,DTXSID3020627,Fluconazole,PO,REPRODUCTIVE TOXIN,Group 3,C/D,Risk associated with chronic exposure to 400-600 mg/day dosing through most or all of the 1st trimester.
Fludarabine,Fludarabine,Approved Name,DTXSID4039657,Fludarabine,IV,HAZARDOUS,Group 1,D,
Fluorouracil,Fluorouracil,Synonym from Valid Source,DTXSID2020634,5-Fluorouracil,IV,HAZARDOUS,Group 1,D,
Fluoxymesterone,Fluoxymesterone,Expert Validated Synonym,DTXSID8033512,Fluoxymestrone,PO,REPRODUCTIVE TOXIN,Group 2,X,Androgen.
Flutamide,Flutamide,Approved Name,DTXSID7032004,Flutamide,PO,REPRODUCTIVE TOXIN,Group 1,D,Potential for hepatic toxicity in systemic doses.  No special handling precautions identified by manufacturer.  SDS indicates no handling precautions required for consumer product.  Teratogenic potential therefore listed as reproductive toxin.
Foscarnet,Foscarnet,Approved Name,DTXSID0048478,Foscarnet,IV,NO HANDLING PRECAUTIONS,Not listed,C,No special handling required.
Fosphenytoin,Fosphenytoin,Approved Name,DTXSID9044299,Fosphenytoin,IV,NO HANDLING PRECAUTIONS,Group 2,D,"Metabolized to phenytoin.  PI indicates potential for tumorigenesis in animal models with long-term exposure.  Does not specify handling precautions required.  SDS indicates potential for mutagenicity/carcinogenicity with long-term/chronic exposure.  Specifies no need for engineering controls or PPE unless bulk processing operations are performed.  Consider low risk for exposure with parenteral, preparation or administration.  "
Fulvestrant,Fulvestrant,Approved Name,DTXSID4022369,Fulvestrant,IM,REPRODUCTIVE TOXIN,Group 1,D,"Antiestrogen.  Packaged as pre-filled syringes, low risk for exposure potential.  No special handling precautions identified by manufacturer.  Listing as reproductive toxin, as with other anti-estrogen agents.    "
Ganciclovir,Ganciclovir,Approved Name,DTXSID8041032,Ganciclovir,IV/PO,HAZARDOUS,Group 2,C,PI indicates potential for carcinogenicity/mutagenicity in addition to potential for embryo-fetal toxicity.
Gefitinib,Gefitinib,Approved Name,DTXSID8041034,Gefitinib,PO,HAZARDOUS: LIMITED RISK,Not listed,NA,"EGFR inhibitor, same moa as erlotinib. PI indicates low mutagenic risk potential and possible carcinogenic potential in animals with prolonged exposure to systemic doses.  PI does not indicate handling precautions.  Due to possible carcinogenic potential as well as reproductive toxicity, will list as hazardous minimal risk."
Gemcitabine,Gemcitabine,Approved Name,DTXSID3040487,Gemcitabine,IV,HAZARDOUS,Group 1,D,
Gemtuzumab ozogamicin,Gemtuzumab ozogamicin,NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,
Hydroxyurea,Hydroxyurea,Approved Name,DTXSID6025438,Hydroxyurea,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Icatibant,Icatibant,Approved Name,DTXSID20903963,Icatibant,PO,REPRODUCTIVE TOXIN,Group 3,C,
Ibrutinib,Ibrutinib,Approved Name,DTXSID60893450,Ibrutinib,PO,HAZARDOUS: LIMITED RISK,Not listed,,Brutin kinase inhibitor.  Oral tablet.  No manufacturer specified handling precautions.  Small molecule tyrosine kinase inhibitor (TKI).  Minimal risk of exposure in handling intact product.
Idarubicin,Idarubicin,Approved Name,DTXSID7023142,Idarubicin,IV,HAZARDOUS,Group 1,D,
Idarucizumab,Idarucizumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,,"Reversal agent for dabigatran, monoclonal antibody.  No manufacturer specified handling precautions."
Idelalisib,Idelalisib,NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Not listed,D,PI3 kinase inhibitor.  No manufacturer specified handling precautions.  Similar in MOA to other TKI's.
Ifosfamide,Ifosfamide,Approved Name,DTXSID7020760,Ifosfamide,IV,HAZARDOUS,Group 1,D,
Imatinib,Imatinib,Approved Name,DTXSID3037125,Imatinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,TKI.  Manufacturer recommends handling precautions similar to cytotoxic drugs.  Minimal potential for exposure in handling intact capsules.
Infliximab,Infliximab,Approved Name,DTXSID9040504,Infliximab,IV,NO HANDLING PRECAUTIONS,Not listed,B,
Interferon alfa-2a,Interferon alfa-2a,Approved Name,DTXSID8031449,Interferon Alfa-2a,injection,NO HANDLING PRECAUTIONS,Not listed,C,
Interferon alfa-2b,Interferon alfa-2b,NO_MATCH,-,-,injection,NO HANDLING PRECAUTIONS,Not listed,C,
Investigational drugs,Investigational drugs,NO_MATCH,-,-,ANY,HAZARDOUS PRODUCT-SPECIFIC,Not listed,ANY,"The IDS pharmacy staff will review investigational protocols, investigator brochures, pharmacy manuals and other information available for specific investigational agents to determine risk level and hazardous drug handling requirements.  The determination will be based on activity, mechanism of action and side effect profile in comparison to other, similar agents.  In the absence of clear information as to the mutagenic, carcinogenic and/or embryo-fetal toxicity profile, the drug will be considered hazardous and handled with the highest-level of handling precautions."
Ipilimumab,Ipilimumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,Monoclonal antibody directed at cytotoxic T-lymphocyte antigen-4 (CTLA-4).  No handling precautions specified by manufacturer.
Irinotecan,Irinotecan,Approved Name,DTXSID1041051,Irinotecan,IV,HAZARDOUS,Group 1,D,"Applies to all formulations, including liposomal product."
Isotretinoin,Isotretinoin,Expert Validated Synonym,DTXSID4023177,13-cis Retinoic acid,PO,REPRODUCTIVE TOXIN,Not listed,X,
Ixabepilone,Ixabepilone,Approved Name,DTXSID70870252,Ixabepilone,IV,HAZARDOUS,Group 1,D,Similar to taxanes
Ixazomib,Ixazomib,NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Group 1,,"Proteasome inhibitor, similar to bortezomib, carfilzomib"
Lapatinib,Lapatinib,Approved Name,DTXSID7046675,Lapatinib,PO,HAZARDOUS: LIMITED RISK,Not listed,D,"EGFR inhibitor, similar in MOA to erlotinib and other TKI's.  PI indicates no mutagenic potential in laboratory models and possible carcinogenic potential with prolonged exposure to high doses in animal models.  Risk for embryo-fetal toxicity suggested in animal models.  No handling precautions specified in prescribing information.  Limited exposure potential due to formulation and use. "
Leflunomide,Leflunomide,Approved Name,DTXSID9023201,Leflunomide,PO,REPRODUCTIVE TOXIN,Group 2,X,
Lenalidomide,Lenalidomide,Approved Name,DTXSID8046664,Lenalidomide,PO,REPRODUCTIVE TOXIN,Group 2,X,
Lenvatinib,Lenvatinib,Approved Name,DTXSID50194605,Lenvatinib,PO,HAZARDOUS: LIMITED RISK,Not listed,,VEGF TK inhibitor.  PI indicates not mutagenic in laboratory models.  No handling precautions specified in prescribing information.
Letrozole,Letrozole,Approved Name,DTXSID4023202,Letrozole,PO,REPRODUCTIVE TOXIN,Group 1,D,Aromatase inhibitor.  PI indicates no evidence of mutagenic potential.  Animal models showed evidence of potential carcinogenicity with prolonged exposure (> 2 years).  No handling precautions specified in PI.
Leuprolide,Leuprolide,Expert Validated Synonym,DTXSID50872411,Leuprorelin,injection,REPRODUCTIVE TOXIN,Group 1,X,LHRH agonist.  Pre-filled syringe.  Low risk for exposure.  Concern for embryo-fetal toxicity.
Liposomal Daunorubicin and Liposomal Cytarabine,Liposomal Daunorubicin and Liposomal Cytarabine,NO_MATCH,-,-,injection,HAZARDOUS,Group 1,D,
Lomustine,Lomustine,Approved Name,DTXSID2023222,Lomustine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Macitentan,Macitentan,Approved Name,DTXSID50196063,Macitentan,PO,REPRODUCTIVE TOXIN,Group 3,X,"Endothelin receptor antagonist.  No handling precautions specified in PI.  However, REMS drug due in part to embryo-fetal toxicity, similar to thalidomide and other pulmonary hypertension agents.  Will categorize as reproductive toxin."
Mechlorethamine (Nitrogen mustard),Mechlorethamine (Nitrogen mustard),NO_MATCH,-,-,IV,HAZARDOUS,Group 1,D,
Medroxyprogesterone acetate,Medroxyprogesterone acetate,Approved Name,DTXSID0025527,Medroxyprogesterone acetate,Injectable,REPRODUCTIVE TOXIN,Group 2,X,"Progestin.  Progestins and estrogens are associated with risk for breast cancer with prolonged exposure.  Concern for potential embryo-fetal toxicity in at-risk personnel with acute exposure, therefore listed as reproductive toxin."
Medroxyprogesterone acetate,Medroxyprogesterone acetate,Approved Name,DTXSID0025527,Medroxyprogesterone acetate,PO,REPRODUCTIVE TOXIN,Group 2,X,"Progestin.  Progestins and estrogens are associated with risk for breast cancer with prolonged exposure.  Concern for potential embryo-fetal toxicity in at-risk personnel with acute exposure, therefore listed as reproductive toxin."
Megestrol,Megestrol,Approved Name,DTXSID001009330,Megestrol,PO,REPRODUCTIVE TOXIN,Group 1,D,"Progestin.  Progestins and estrogens are associated with risk for breast cancer with prolonged exposure.  Concern for potential embryo-fetal toxicity in at-risk personnel with acute exposure, therefore listed as reproductive toxin."
Melphalan,Melphalan,Approved Name,DTXSID6020804,Melphalan,IV,HAZARDOUS,Group 1,D,
Melphalan,Melphalan,Approved Name,DTXSID6020804,Melphalan,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Mercaptopurine,Mercaptopurine,Synonym from Valid Source,DTXSID0020810,6-Mercaptopurine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Methimazole,Methimazole,Approved Name,DTXSID4020820,Methimazole,,REPRODUCTIVE TOXIN,Group 2,D,"PI indicates risk for congenital malformations during first trimester of pregnancy.  No handling precautions specified by manufacturer.  SDS indicates potential for carcinogenicity only in animal models with prolonged, high-dose exposure (2 years).  Limited potential for exposure risks to personnel in capacity used, except for potential reproductive toxicity."
