cluster.index	parent.mass	number.of.spectra	RTMean	sum.precursor.intensity.	LibraryID	SpectrumID	Smiles	INCHI	ProteoSAFeClusterLink	MetFragScore	MetFragSMILES	MetFragID	FusionScore	FusionSMILES	FusionID	ConsensusScore	ConsensusSMILES	ConsensusID
964	-381.3143	7	15.1674	3.209148e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%22964%22%2C%22main.cluster%20index_upperinput%22%3A%22964%22%7D									
1023	-307.2423	5	14.0227	3.217182e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221023%22%2C%22main.cluster%20index_upperinput%22%3A%221023%22%7D	1	COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C	DTXSID1035783				1	COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C	DTXSID1035783
1209	-243.0477	5	4.9966	2.963321e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221209%22%2C%22main.cluster%20index_upperinput%22%3A%221209%22%7D	1.0000000,0.9241966,0.0000000	OC1=CC=C(C(=O)C2=CC(O)=C(O)C=C2)C(O)=C1,OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O,C(CSC1=CC=CC=C1)SC1=CC=CC=C1	DTXSID3047974,DTXSID5041306,DTXSID1024625				1,0.926,0.029	OC1=CC=C(C(=O)C2=CC(O)=C(O)C=C2)C(O)=C1,OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O,C(CSC1=CC=CC=C1)SC1=CC=CC=C1	DTXSID3047974,DTXSID5041306,DTXSID1024625
1272	-292.0933	7	1.1092	1.419574e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221272%22%2C%22main.cluster%20index_upperinput%22%3A%221272%22%7D	1.0000000,0.7215467	CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1	DTXSID6023369,DTXSID4040682				1,0.742	CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1	DTXSID6023369,DTXSID4040682
1399	-185.0971	6	4.5669	1.134501e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221399%22%2C%22main.cluster%20index_upperinput%22%3A%221399%22%7D	1.0000000,0.4843868	CCOC(=O)CC1(C)OCC(C)O1,OC(=O)CCCCCCCC(O)=O	DTXSID4047549,DTXSID8021640				1,0.532	CCOC(=O)CC1(C)OCC(C)O1,OC(=O)CCCCCCCC(O)=O	DTXSID4047549,DTXSID8021640
1724	-279.2111	7	11.5664	2.586316e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221724%22%2C%22main.cluster%20index_upperinput%22%3A%221724%22%7D									
1843	-211.0150	1	7.2431	8.747787e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221843%22%2C%22main.cluster%20index_upperinput%22%3A%221843%22%7D	1.0000000,0.9903231,0.6121708,0.3878292,0.3878292	CC(O)C(F)(F)C(F)(F)C(F)(F)F,COCC(F)(F)C(F)(F)C(F)(F)F,CC(C)OP(S)(=S)OC(C)C,OCCC(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)F	DTXSID30880135,DTXSID60591585,DTXSID3026770,DTXSID00382171,DTXSID50382141				1,0.992,0.634,0.485,0.472	COCC(F)(F)C(F)(F)C(F)(F)F,CC(O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)OP(S)(=S)OC(C)C,OCCC(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(C(F)(F)F)C(F)(F)F	DTXSID60591585,DTXSID30880135,DTXSID3026770,DTXSID50382141,DTXSID00382171
1952	-168.0806	6	1.4115	6.341574e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%221952%22%2C%22main.cluster%20index_upperinput%22%3A%221952%22%7D									
2108	-241.0320	5	4.9953	1.121874e+06	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%222108%22%2C%22main.cluster%20index_upperinput%22%3A%222108%22%7D									
2503	-163.0048	7	1.1092	4.150286e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%222503%22%2C%22main.cluster%20index_upperinput%22%3A%222503%22%7D									
2874	-371.1990	2	13.1778	1.234207e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%222874%22%2C%22main.cluster%20index_upperinput%22%3A%222874%22%7D	1	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12	DTXSID7023300				1	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12	DTXSID7023300
3441	-213.1296	2	6.3121	7.017798e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%223441%22%2C%22main.cluster%20index_upperinput%22%3A%223441%22%7D	1.0000000,0.6674777,0.5962776,0.5622083	OC(=O)CCCCCCCCCC(O)=O,COC(=O)CCCCCCCC(=O)OC,CCCCOC(=O)C(C)OC(=O)CCC,CC(C)(COCC1CO1)COCC1CO1	DTXSID0044862,DTXSID1044807,DTXSID3044831,DTXSID8025707				1,0.723,0.656,0.601	OC(=O)CCCCCCCCCC(O)=O,COC(=O)CCCCCCCC(=O)OC,CCCCOC(=O)C(C)OC(=O)CCC,CC(C)(COCC1CO1)COCC1CO1	DTXSID0044862,DTXSID1044807,DTXSID3044831,DTXSID8025707
5211	-297.1422	3	10.7062	6.262185e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%225211%22%2C%22main.cluster%20index_upperinput%22%3A%225211%22%7D	0	COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1	DTXSID5032525				1	COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1	DTXSID5032525
5273	-307.2416	1	16.5412	1.189107e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%225273%22%2C%22main.cluster%20index_upperinput%22%3A%225273%22%7D	1	COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C	DTXSID1035783				1	COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C	DTXSID1035783
5426	-213.0324	1	6.3108	5.799620e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%225426%22%2C%22main.cluster%20index_upperinput%22%3A%225426%22%7D	1.0000000,0.9550111,0.9546766,0.8837350	COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,COC1=C2C=COC2=CC2=C1C=CC(=O)O2,OC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O,FC(F)(F)C(=O)CC(=O)C1=CC=CC=C1	DTXSID8020830,DTXSID1025560,DTXSID5029211,DTXSID2049268				1,0.68,0.539,0.525	OC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O,FC(F)(F)C(=O)CC(=O)C1=CC=CC=C1,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,COC1=C2C=COC2=CC2=C1C=CC(=O)O2	DTXSID5029211,DTXSID2049268,DTXSID8020830,DTXSID1025560
5650	-297.1489	5	7.7926	5.007522e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%225650%22%2C%22main.cluster%20index_upperinput%22%3A%225650%22%7D	1.000000,0.517848	CCCC1C(=O)N2N(C1=O)C1=CC(C)=CC=C1N=C2N(C)C,CC(COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C	DTXSID6045408,DTXSID7028015						
6132	-211.1112	2	8.7739	4.440709e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%226132%22%2C%22main.cluster%20index_upperinput%22%3A%226132%22%7D	1	NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1	DTXSID2036827				1	NC1=CC=C(C=C1N)C1=CC(N)=C(N)C=C1	DTXSID2036827
7717	-197.0975	2	11.5683	8.722846e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%227717%22%2C%22main.cluster%20index_upperinput%22%3A%227717%22%7D	1	COC(=O)C1CCC(CC1)C(=O)OC	DTXSID3026566				1	COC(=O)C1CCC(CC1)C(=O)OC	DTXSID3026566
7800	-168.0868	5	2.2855	3.467026e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%227800%22%2C%22main.cluster%20index_upperinput%22%3A%227800%22%7D									
8620	-279.1746	2	10.9042	3.980921e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%228620%22%2C%22main.cluster%20index_upperinput%22%3A%228620%22%7D									
10135	-207.0466	1	5.6151	5.306851e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2210135%22%2C%22main.cluster%20index_upperinput%22%3A%2210135%22%7D	1	NNC1=C(F)C(F)=C(NN)C(F)=C1F	DTXSID00305264				1	NNC1=C(F)C(F)=C(NN)C(F)=C1F	DTXSID00305264
10732	-213.0935	2	5.6205	8.931640e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2210732%22%2C%22main.cluster%20index_upperinput%22%3A%2210732%22%7D	1	CCOC=C(C(=O)OCC)C(=O)OCC	DTXSID5052591				1	CCOC=C(C(=O)OCC)C(=O)OCC	DTXSID5052591
11083	-307.1447	2	13.3489	4.130884e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2211083%22%2C%22main.cluster%20index_upperinput%22%3A%2211083%22%7D	1.00000000,0.37948474,0.30545736,0.08903729	CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O,COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1	DTXSID8020911,DTXSID9044829,DTXSID9045631,DTXSID80322616				1,0.721,0.688,0.591	CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O,COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,CC1=CC(C)=C(C(=O)OC(=O)C2=C(C)C=C(C)C=C2C)C(C)=C1	DTXSID8020911,DTXSID9044829,DTXSID9045631,DTXSID80322616
12073	-149.0758	2	3.1164	6.590607e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2212073%22%2C%22main.cluster%20index_upperinput%22%3A%2212073%22%7D	1.0000000,0.7251784,0.6761458,0.6513154,0.6430840	CC(C)OC1=C(O)C=CC=C1,CC(O)COC1=CC=CC=C1,COC1=CC=C(CCO)C=C1,CC(C)(OO)C1=CC=CC=C1,CC1=C(O)C(C)=C(C)C(O)=C1	DTXSID5041431,DTXSID9027312,DTXSID5041518,DTXSID3024869,DTXSID7052446	1,0.813,0.664,0.615,0.608	COC1=CC=C(CCO)C=C1,CC(C)OC1=C(O)C=CC=C1,CC1=C(O)C(C)=C(C)C(O)=C1,CC(C)(OO)C1=CC=CC=C1,CC(O)COC1=CC=CC=C1	DTXSID5041518,DTXSID5041431,DTXSID7052446,DTXSID3024869,DTXSID9027312	1,0.569,0.493,0.418,0.356	CC(C)OC1=C(O)C=CC=C1,CC(O)COC1=CC=CC=C1,COC1=CC=C(CCO)C=C1,CC1=C(O)C(C)=C(C)C(O)=C1,CC(C)(OO)C1=CC=CC=C1	DTXSID5041431,DTXSID9027312,DTXSID5041518,DTXSID7052446,DTXSID3024869
14466	-223.0782	2	9.2616	2.978280e+04	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2214466%22%2C%22main.cluster%20index_upperinput%22%3A%2214466%22%7D	0	C[Si](C)(O)C1=CC=C(C=C1)[Si](C)(C)O	DTXSID1062625				1	C[Si](C)(O)C1=CC=C(C=C1)[Si](C)(C)O	DTXSID1062625
15123	-263.1469	4	12.4523	2.530481e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2215123%22%2C%22main.cluster%20index_upperinput%22%3A%2215123%22%7D									
15166	-299.2166	5	16.0124	1.533941e+07	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2215166%22%2C%22main.cluster%20index_upperinput%22%3A%2215166%22%7D	1.0000000,0.7804364,0.7198222,0.7039280	CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DTXSID7022047,DTXSID8048814,DTXSID4036489,DTXSID1033664				1,0.932,0.914,0.909	CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	DTXSID7022047,DTXSID8048814,DTXSID4036489,DTXSID1033664
15881	-211.0909	3	9.2601	3.263310e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2215881%22%2C%22main.cluster%20index_upperinput%22%3A%2215881%22%7D	1.0000000,0.3439563,0.2950461	CCOC(=O)CC1=CC=CC2=C1C=CC=C2,CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,C(COC1=CC=CC=C1)OC1=CC=CC=C1	DTXSID3034583,DTXSID3047891,DTXSID5026706				1,0.409,0.295	CCOC(=O)CC1=CC=CC2=C1C=CC=C2,CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,C(COC1=CC=CC=C1)OC1=CC=CC=C1	DTXSID3034583,DTXSID3047891,DTXSID5026706
15934	-339.2091	5	12.9633	4.043823e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2215934%22%2C%22main.cluster%20index_upperinput%22%3A%2215934%22%7D	1	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	DTXSID001009330						
16256	-349.2163	3	13.3503	3.077598e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2216256%22%2C%22main.cluster%20index_upperinput%22%3A%2216256%22%7D	1	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	DTXSID4022947				1	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	DTXSID4022947
16592	-307.2065	2	15.1702	1.087685e+05	N/A				https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f5495421a7d848b59eca86d97f5e1709&view=view_all_clusters_withID&show=true#%7B%22main.cluster%20index_lowerinput%22%3A%2216592%22%2C%22main.cluster%20index_upperinput%22%3A%2216592%22%7D	1	CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C	DTXSID7044972				1	CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C	DTXSID7044972
